"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","40","0.303","0.467","0.467","60.0%","77.1","59.6","17.6","9.4"
"2","R.Fitzpatrick","","29","0.279","0.438","0.438","55.2%","68.0","53.2","14.8","9.6"
"3","T.Brady","","54","0.263","0.479","0.419","57.4%","66.7","56.9","9.8","10.6"
"4","M.Stafford","","35","0.266","0.459","0.393","60.0%","72.7","61.4","11.3","9.5"
"5","D.Brees","","55","0.196","0.364","0.364","54.5%","66.7","62.9","3.7","8.8"
"6","R.Grossman","","38","0.191","0.290","0.257","52.6%","61.8","54.8","7.0","14.8"
"7","C.Newton","","51","0.179","0.265","0.255","47.1%","64.9","58.4","6.5","11.9"
"8","K.Kolb","","32","0.158","0.282","0.251","43.8%","66.7","65.1","1.6","7.0"
"9","J.Flacco","","33","0.119","0.233","0.233","33.3%","58.6","60.9","-2.3","7.6"
"10","C.Henne","","60","0.164","0.211","0.211","50.0%","62.5","55.0","7.5","9.6"
"11","T.Romo","","43","0.134","0.182","0.182","46.5%","63.9","59.9","3.9","8.4"
"12","M.Vick","","44","0.073","0.183","0.164","47.7%","45.2","52.3","-7.1","10.8"
"13","M.Schaub","","27","0.149","0.192","0.140","66.7%","70.8","64.7","6.1","8.2"
"14","M.Hasselbeck","","39","0.107","0.124","0.124","41.0%","63.6","60.5","3.1","8.2"
"15","J.Freeman","","47","0.120","0.111","0.111","51.1%","68.3","61.9","6.4","8.9"
"16","P.Rivers","","55","0.117","0.103","0.100","54.5%","70.2","63.8","6.4","6.5"
"17","A.Smith","","26","0.147","0.098","0.098","46.2%","75.0","62.9","12.1","6.2"
"18","K.Orton","","61","0.018","0.042","0.028","45.9%","53.3","60.9","-7.5","8.6"
"19","L.McCown","","30","0.071","0.025","0.025","50.0%","70.8","67.7","3.1","5.3"
"20","M.Sanchez","","49","0.057","0.075","-0.003","44.9%","59.1","61.8","-2.7","8.8"
"21","J.Cutler","","39","0.134","0.120","-0.012","48.7%","68.8","60.6","8.2","7.1"
"22","J.Campbell","","27","0.039","-0.013","-0.013","44.4%","59.1","59.4","-0.3","8.9"
"23","A.Dalton","","21","0.080","-0.023","-0.023","42.9%","66.7","59.1","7.6","7.1"
"24","E.Manning","","37","0.027","-0.025","-0.058","48.6%","56.3","58.1","-1.8","10.2"
"25","T.Jackson","","50","0.016","-0.067","-0.094","38.0%","56.8","59.0","-2.2","8.9"
"26","C.McCoy","","45","-0.019","-0.121","-0.121","35.6%","48.7","56.6","-7.9","7.3"
"27","S.Bradford","","39","-0.000","-0.018","-0.180","38.5%","56.7","63.9","-7.2","6.1"
"28","M.Ryan","","54","0.068","-0.226","-0.270","40.7%","67.4","59.9","7.5","4.9"
"29","B.Roethlisberger","","47","-0.009","-0.234","-0.276","44.7%","53.7","60.3","-6.6","10.3"
"30","D.McNabb","","20","-0.057","-0.374","-0.411","30.0%","46.7","63.3","-16.6","4.4"
"31","K.Collins","","36","0.001","-0.377","-0.422","36.1%","53.3","59.4","-6.1","8.9"
"32","M.Cassel","","38","0.020","-0.409","-0.445","28.9%","61.1","63.9","-2.8","7.6"
