"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Manning","","38","0.288","0.574","0.574","55.3%","71.4","62.2","9.2","7.7"
"2","J.Campbell","","36","0.258","0.406","0.406","50.0%","70.0","57.3","12.7","9.8"
"3","P.Rivers","","29","0.272","0.391","0.391","58.6%","81.8","65.9","16.0","5.5"
"4","K.Collins","","40","0.220","0.372","0.372","62.5%","73.7","66.1","7.6","5.5"
"5","T.Brady","","45","0.194","0.340","0.340","51.1%","67.5","63.0","4.5","6.8"
"6","A.Smith","","32","0.110","0.294","0.294","34.4%","63.0","71.0","-8.0","3.7"
"7","D.McNabb","","37","0.104","0.217","0.217","45.9%","62.9","66.8","-3.9","3.4"
"8","J.Flacco","","42","0.139","0.182","0.182","47.6%","66.7","61.8","4.9","8.5"
"9","J.Freeman","","32","0.160","0.259","0.180","56.3%","62.5","59.1","3.4","10.9"
"10","M.Ryan","","40","0.108","0.124","0.124","45.0%","58.8","55.6","3.3","9.9"
"11","B.Roethlisberger","","40","0.116","0.115","0.115","47.5%","65.6","60.2","5.4","7.5"
"12","D.Garrard","","29","0.081","0.112","0.112","44.8%","52.4","53.1","-0.7","12.5"
"13","M.Vick","","34","0.146","0.140","0.107","44.1%","66.7","57.5","9.2","11.5"
"14","J.Kitna","","42","0.129","0.101","0.097","50.0%","74.2","65.4","8.8","6.3"
"15","D.Brees","","43","0.073","0.094","0.094","51.2%","64.1","65.2","-1.1","7.7"
"16","M.Schaub","","65","0.031","0.110","0.077","44.6%","51.7","61.4","-9.8","10.4"
"17","R.Fitzpatrick","","29","0.014","-0.044","-0.075","51.7%","60.9","64.3","-3.4","5.8"
"18","M.Flynn","","33","0.004","-0.088","-0.103","48.5%","57.7","61.7","-4.0","9.8"
"19","E.Manning","","37","-0.012","-0.109","-0.109","45.9%","61.1","67.8","-6.7","6.8"
"20","J.Skelton","","41","-0.078","-0.271","-0.271","34.1%","40.5","60.0","-19.5","9.2"
"21","D.Stanton","","29","-0.050","-0.274","-0.274","41.4%","45.5","59.9","-14.4","12.3"
"22","T.Jackson","","38","-0.042","-0.280","-0.280","34.2%","50.0","62.9","-12.9","8.1"
"23","M.Sanchez","","51","-0.088","-0.317","-0.317","31.4%","39.5","61.2","-21.7","9.9"
"24","C.Palmer","","38","0.013","-0.193","-0.335","44.7%","62.5","64.8","-2.3","7.0"
"25","S.Bradford","","37","0.015","-0.137","-0.335","37.8%","62.1","63.7","-1.6","7.9"
"26","M.Hasselbeck","","46","0.035","-0.246","-0.339","52.2%","64.3","63.0","1.3","7.5"
"27","J.Cutler","","32","-0.032","-0.304","-0.340","40.6%","46.2","57.5","-11.4","8.8"
"28","A.Rodgers","","15","0.017","-0.533","-0.533","26.7%","63.6","68.2","-4.6","8.9"
"29","K.Orton","","48","-0.052","-0.446","-0.557","39.6%","46.3","62.7","-16.4","7.5"
"30","J.Clausen","","29","0.002","-0.561","-0.561","17.2%","58.3","65.8","-7.5","7.3"
"31","J.Delhomme","","22","0.024","-0.580","-0.580","22.7%","60.0","63.8","-3.8","8.5"
"32","B.Croyle","","23","-0.034","-0.716","-0.716","8.7%","41.2","56.7","-15.6","12.1"
"33","C.Henne","","26","-0.129","-0.665","-0.736","26.9%","27.8","60.1","-32.3","7.6"
