"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"LeSean McCoy",FA,"RB1","1","10","2.1","1.8","0"
"2",1,"Jamaal Charles",FA,"RB2","1","13","3.1","3.0","0"
"3",1,"Matt Forte",FA,"RB3","1","17","4.4","3.2","+4"
"4",1,"Adrian Peterson",FA,"RB4","1","18","5.0","3.4","-1"
"5",1,"Calvin Johnson",FA,"WR1","2","32","5.3","4.1","0"
"6",2,"Demaryius Thomas",FA,"WR2","3","21","7.0","2.2","+2"
"7",2,"Jimmy Graham",FA,"TE1","4","30","7.9","5.2","-1"
"8",2,"Dez Bryant",FA,"WR3","4","18","8.5","2.5","+1"
"9",2,"Eddie Lacy",FA,"RB5","1","38","10.3","5.0","-5"
"10",3,"Montee Ball",FA,"RB6","3","26","12.6","4.3","0"
"11",3,"DeMarco Murray",FA,"RB7","5","46","12.7","5.4","+3"
"12",3,"A.J. Green",FA,"WR4","7","28","12.9","4.3","0"
"13",3,"Brandon Marshall",FA,"WR5","8","26","15.1","4.3","+2"
"14",3,"Julio Jones",FA,"WR6","7","57","15.2","6.2","-1"
"15",3,"Giovani Bernard",FA,"RB8","4","26","15.8","5.3","+2"
"16",3,"Marshawn Lynch",FA,"RB9","9","44","17.8","6.6","0"
"17",3,"Antonio Brown",FA,"WR7","8","37","19.2","5.4","+1"
"18",3,"Andre Ellington",FA,"RB10","5","42","19.6","6.2","+6"
"19",3,"Jordy Nelson",FA,"WR8","12","50","20.5","5.4","0"
"20",3,"Doug Martin",FA,"RB11","9","60","21.8","9.3","+1"
"21",4,"Alshon Jeffery",FA,"WR9","12","50","23.1","5.6","+1"
"22",4,"Le'Veon Bell",FA,"RB12","9","43","23.6","8.0","+7"
"23",4,"Arian Foster",FA,"RB13","8","80","24.8","12.3","+3"
"24",4,"Reggie Bush",FA,"RB14","15","53","27.6","8.5","+10"
"25",4,"Randall Cobb",NYJ,"WR10","16","54","27.8","6.3","0"
"26",4,"Zac Stacy",FA,"RB15","5","53","29.4","9.6","+7"
"27",4,"Andre Johnson",FA,"WR11","11","57","31.4","9.3","+10"
"28",4,"Peyton Manning",FA,"QB1","18","61","32.4","6.2","-17"
"29",4,"Rob Gronkowski",FA,"TE2","6","82","32.5","13.5","+1"
"30",4,"Julius Thomas",FA,"TE3","6","66","33.6","11.1","-3"
"31",4,"Pierre Garcon",FA,"WR12","8","76","34.0","10.5","+9"
"32",5,"Vincent Jackson",FA,"WR13","20","53","35.1","7.1","+4"
"33",5,"Keenan Allen",LAC,"WR14","21","104","35.8","12.2","-5"
"34",5,"Roddy White",FA,"WR15","15","81","36.8","10.4","-2"
"35",5,"Aaron Rodgers",NYJ,"QB2","25","75","37.1","7.1","-12"
"36",5,"Drew Brees",FA,"QB3","28","52","37.3","4.9","-16"
"37",5,"Shane Vereen",FA,"RB16","18","74","37.4","12.4","-6"
"38",5,"Victor Cruz",FA,"WR16","15","65","37.4","9.1","+7"
"39",5,"Alfred Morris",FA,"RB17","17","79","39.6","11.9","-4"
