"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"174",11,"James Jones",FA,"WR67","138","194","170.8","15.3","+68"
"175",11,"David Nelson",FA,"WR68","127","204","170.1","18.6","+40"
"176",11,"Tim Hightower",FA,"RB57","115","200","162.1","21.8","-1"
"177",11,"Emmanuel Sanders",FA,"WR69","132","183","165.6","14.4","+46"
"178",11,"Eddie Royal",FA,"WR70","130","193","170.5","16.8","+77"
"179",11,"Kendall Hunter",FA,"RB58","97","198","162.4","31.1","-22"
"180",11,"Kellen Davis",FA,"TE29","127","190","162.5","20.5","+107"
"181",11,"Baltimore Ravens",BAL,"DST2","145","195","177.0","14.6","-57"
"182",11,"Alex Smith",FA,"QB23","128","199","175.5","18.8","0"
"183",11,"Alex Green",FA,"RB59","143","209","175.5","19.1","+30"
"184",11,"Sam Bradford",FA,"QB24","127","197","173.2","20.4","-5"
"185",11,"Mike Goodson",FA,"RB60","127","200","175.9","18.3","-12"
"186",11,"Jonathan Dwyer",FA,"RB61","108","195","153.4","24.7","-19"
"187",11,"Stephen Williams",FA,"WR71","142","196","169.7","20.1","-"
"188",11,"Russell Wilson",DEN,"QB25","103","196","164.7","24.2","-26"
"189",11,"Pittsburgh Steelers",PIT,"DST3","134","198","183.2","12.9","-55"
"190",11,"Alfred Morris",FA,"RB62","105","196","157.4","28.9","-27"
"191",11,"Brian Hartline",FA,"WR72","137","191","176.5","14.6","+103"
"192",11,"Jacoby Ford",FA,"WR73","159","194","181.0","9.5","+35"
"193",12,"Scott Chandler",FA,"TE30","139","198","175.4","18.8","+3"
"194",12,"Earl Bennett",FA,"WR74","160","199","184.1","11.2","+28"
"195",12,"Mike Tolbert",FA,"RB63","135","208","180.2","21.0","+33"
"196",12,"Philadelphia Eagles",PHI,"DST4","163","200","186.6","9.8","-37"
"197",12,"Steve Smith",FA,"WR75","156","199","179.3","13.4","+24"
"198",12,"Robert Turbin",FA,"RB64","125","200","170.6","27.2","-33"
"199",12,"Houston Texans",HOU,"DST5","133","198","184.5","18.5","-76"
"200",12,"Josh Gordon",FA,"WR76","149","200","177.9","17.4","+31"
"201",12,"Anthony Fasano",FA,"TE31","160","199","181.1","12.9","+99"
"202",12,"Chicago Bears",CHI,"DST6","166","199","187.7","8.7","-55"
"203",12,"Ronnie Brown",FA,"RB65","135","194","172.1","17.2","-60"
"204",12,"Devery Henderson",FA,"WR77","156","200","183.7","15.3","+45"
"205",12,"Green Bay Packers",GB,"DST7","154","200","186.9","10.8","-41"
"206",12,"Joe McKnight",FA,"RB66","151","196","165.3","17.3","+79"
"207",12,"Steve Breaston",FA,"WR78","149","200","186.5","13.1","+7"
"208",12,"Dwayne Allen",FA,"TE32","124","197","170.5","22.7","+64"
"209",12,"Christian Ponder",FA,"QB26","154","188","174.2","11.3","+21"
"210",12,"Dennis Pitta",FA,"TE33","153","197","173.1","14.9","-"
"211",12,"Terrell Owens",FA,"WR79","155","178","164.5","7.9","+5"
"212",12,"Bilal Powell",FA,"RB67","113","190","158.4","25.5","+48"
"213",12,"Mohamed Sanu Sr.",FA,"WR80","159","199","187.1","12.4","+26"
"214",12,"Vick Ballard",FA,"RB68","123","186","153.5","22.4","+56"
"215",12,"Matt Cassel",FA,"QB27","151","227","183.0","21.8","+20"
"216",12,"Lamar Miller",FA,"RB69","151","188","170.5","12.4","-4"
"217",12,"Montario Hardesty",FA,"RB70","107","184","156.5","29.4","+21"
"218",12,"Tim Tebow",FA,"TE34","133","191","166.0","23.7","+19"
"219",12,"Joel Dreessen",FA,"TE35","159","199","177.0","14.5","-29"
"220",12,"Taiwan Jones",FA,"RB71","151","200","179.4","16.2","-36"
"221",12,"Braylon Edwards",FA,"WR81","157","197","182.1","13.7","-2"
