"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Christian McCaffrey",SF,"RB1","1","3","1.1","0.3","0"
"2",1,"Saquon Barkley",NYG,"RB2","1","6","2.4","0.8","0"
"3",1,"Ezekiel Elliott",FA,"RB3","2","40","3.4","2.9","0"
"4",1,"Alvin Kamara",NO,"RB4","2","14","4.4","1.8","+2"
"5",1,"Michael Thomas",NO,"WR1","3","13","5.6","1.6","0"
"6",2,"Dalvin Cook",MIN,"RB5","2","28","7.2","4.0","-2"
"7",2,"Davante Adams",LV,"WR2","3","25","9.4","2.7","+1"
"8",2,"Julio Jones",FA,"WR3","5","24","11.4","2.3","+9"
"9",2,"Derrick Henry",TEN,"RB6","4","31","11.4","7.8","-2"
"10",2,"Tyreek Hill",MIA,"WR4","8","37","12.6","3.1","+4"
"11",2,"Clyde Edwards-Helaire",KC,"RB7","4","42","12.9","7.4","0"
"12",2,"Austin Ekeler",LAC,"RB8","4","39","13.1","7.6","+1"
"13",3,"DeAndre Hopkins",ARI,"WR5","9","48","15.6","5.9","+5"
"14",3,"Chris Godwin",TB,"WR6","11","63","16.8","6.3","+8"
"15",3,"Joe Mixon",CIN,"RB9","4","44","16.8","7.2","-5"
"16",3,"Travis Kelce",KC,"TE1","11","26","17.3","1.2","+4"
"17",3,"Miles Sanders",CAR,"RB10","6","52","17.6","7.9","-5"
"18",3,"Kenyan Drake",FA,"RB11","6","57","17.7","9.3","-2"
"19",3,"George Kittle",SF,"TE2","12","46","18.4","2.7","+5"
"20",3,"Allen Robinson II",PIT,"WR7","13","62","22.4","7.6","+10"
"21",3,"Josh Jacobs",LV,"RB12","6","66","22.5","7.7","-12"
"22",3,"Aaron Jones",GB,"RB13","8","58","23.4","7.4","-3"
"23",4,"Kenny Golladay",FA,"WR8","12","93","24.3","9.0","+2"
"24",4,"Nick Chubb",CLE,"RB14","7","51","25.8","6.8","-9"
"25",4,"Patrick Mahomes II",KC,"QB1","19","54","26.2","9.3","-4"
"26",4,"DJ Moore",CHI,"WR9","10","62","27.0","8.0","+2"
"27",4,"JuJu Smith-Schuster",NE,"WR10","13","62","29.9","8.5","+6"
"28",4,"Adam Thielen",CAR,"WR11","13","82","30.9","9.9","+4"
