"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","M.Ryan","","44","0.278","0.566","0.566","65.9%","76.5","68.5","8.0","8.8"
"2","P.Mahomes","","50","0.236","0.561","0.561","58.0%","63.2","62.7","0.5","10.1"
"3","J.Goff","","43","0.291","0.490","0.490","65.1%","82.9","68.6","14.3","5.8"
"4","E.Manning","","35","0.292","0.463","0.463","62.9%","86.2","70.4","15.8","5.9"
"5","D.Brees","","54","0.223","0.405","0.405","61.1%","79.6","73.1","6.4","5.6"
"6","A.Smith","","30","0.166","0.392","0.389","56.7%","60.0","63.2","-3.2","10.1"
"7","B.Mayfield","","24","0.262","0.386","0.386","54.2%","77.3","62.9","14.4","10.0"
"8","R.Tannehill","","31","0.210","0.342","0.342","48.4%","73.9","66.5","7.4","10.0"
"9","B.Roethlisberger","","44","0.236","0.333","0.315","50.0%","81.1","68.4","12.6","6.6"
"10","D.Watson","","51","0.177","0.304","0.304","54.9%","63.2","59.5","3.6","11.5"
"11","J.Garoppolo","","39","0.151","0.298","0.298","59.0%","66.7","67.5","-0.8","9.1"
"12","R.Wilson","","30","0.166","0.297","0.297","43.3%","64.0","62.1","1.9","8.6"
"13","P.Rivers","","31","0.146","0.296","0.296","41.9%","60.0","61.5","-1.5","9.2"
"14","J.Allen","","38","0.151","0.271","0.271","50.0%","68.2","67.2","1.0","8.6"
"15","D.Carr","","44","0.163","0.259","0.234","54.5%","71.1","67.2","3.9","5.9"
"16","J.Flacco","","44","0.111","0.185","0.185","50.0%","65.8","66.1","-0.3","9.6"
"17","M.Stafford","","39","0.109","0.133","0.133","48.7%","77.1","74.3","2.8","5.5"
"18","C.Newton","","34","0.089","0.130","0.130","47.1%","62.5","63.0","-0.5","9.1"
"19","R.Fitzpatrick","","59","0.121","0.179","0.124","45.8%","60.0","58.2","1.8","11.1"
"20","M.Mariota","","27","0.051","0.102","0.102","55.6%","66.7","72.2","-5.6","3.7"
"21","A.Dalton","","49","0.092","0.099","0.087","49.0%","64.4","62.4","2.0","9.9"
"22","C.Wentz","","49","0.062","0.028","-0.005","51.0%","67.6","66.2","1.4","7.8"
"23","S.Darnold","","33","-0.062","-0.061","-0.061","36.4%","50.0","66.5","-16.5","6.7"
"24","A.Rodgers","","53","0.010","-0.068","-0.068","37.7%","61.4","64.8","-3.4","7.5"
"25","M.Trubisky","","45","0.034","-0.064","-0.070","46.7%","68.6","67.7","0.9","9.7"
"26","A.Luck","","46","0.003","-0.149","-0.149","37.0%","62.5","66.2","-3.7","5.5"
"27","B.Bortles","","43","-0.046","-0.158","-0.158","37.2%","61.8","74.6","-12.8","4.0"
"28","S.Bradford","","22","0.035","-0.181","-0.187","36.4%","68.4","66.6","1.8","9.0"
"29","C.Keenum","","43","0.010","-0.163","-0.188","46.5%","64.7","67.3","-2.6","5.4"
"30","D.Prescott","","41","-0.038","-0.285","-0.287","31.7%","55.9","68.3","-12.4","5.5"
"31","K.Cousins","","61","0.025","-0.365","-0.372","37.7%","72.7","74.3","-1.6","6.1"
"32","T.Brady","","29","-0.008","-0.383","-0.383","37.9%","58.3","66.1","-7.8","11.7"
"33","T.Taylor","","22","-0.091","-0.577","-0.577","18.2%","30.8","55.3","-24.5","13.3"
