"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","S.Bradford","","35","0.349","0.606","0.606","48.6%","84.4","65.7","18.7","7.5"
"2","M.Ryan","","35","0.258","0.536","0.536","54.3%","70.0","64.2","5.8","7.2"
"3","A.Smith","","41","0.301","0.475","0.475","58.5%","82.4","65.6","16.8","7.6"
"4","J.Goff","","31","0.211","0.335","0.335","51.6%","72.4","64.5","7.9","8.6"
"5","D.Brees","","41","0.191","0.285","0.285","58.5%","73.0","65.6","7.4","6.5"
"6","T.Taylor","","36","0.120","0.283","0.272","47.2%","59.3","64.7","-5.4","6.8"
"7","B.Bortles","","24","0.099","0.249","0.249","58.3%","52.4","59.4","-7.1","8.2"
"8","D.Carr","","38","0.148","0.226","0.226","50.0%","68.8","65.2","3.6","6.2"
"9","P.Rivers","","36","0.136","0.219","0.219","55.6%","66.7","64.9","1.8","6.0"
"10","D.Prescott","","44","0.104","0.192","0.192","50.0%","63.2","65.3","-2.2","7.8"
"11","T.Siemian","","37","0.116","0.186","0.186","51.4%","60.7","60.2","0.5","7.4"
"12","C.Newton","","30","0.084","0.170","0.163","46.7%","58.3","62.6","-4.3","9.0"
"13","B.Roethlisberger","","40","0.093","0.157","0.157","45.0%","66.7","68.4","-1.7","6.3"
"14","M.Mariota","","46","0.084","0.153","0.153","43.5%","61.0","64.0","-3.1","9.1"
"15","T.Brady","","45","0.042","0.130","0.130","40.0%","44.4","53.5","-9.1","15.8"
"16","A.Rodgers","","57","0.098","0.143","0.109","54.4%","66.7","66.5","0.2","6.9"
"17","D.Kizer","","45","0.119","0.122","0.104","48.9%","66.7","61.2","5.5","11.7"
"18","J.Flacco","","22","0.017","0.075","0.075","45.5%","52.9","62.8","-9.8","5.2"
"19","M.Stafford","","43","0.149","0.200","0.035","48.8%","74.4","68.9","5.5","7.5"
"20","C.Wentz","","46","0.119","0.118","0.026","50.0%","68.4","62.6","5.8","10.6"
"21","M.Glennon","","47","0.019","-0.142","-0.142","34.0%","65.0","65.9","-0.9","4.3"
"22","E.Manning","","45","0.040","-0.162","-0.170","48.9%","76.3","73.5","2.8","5.2"
"23","C.Palmer","","57","-0.010","-0.114","-0.182","45.6%","57.4","63.7","-6.3","9.0"
"24","R.Wilson","","33","0.006","-0.213","-0.213","48.5%","51.9","55.5","-3.7","10.3"
"25","K.Cousins","","50","-0.007","-0.138","-0.225","42.0%","57.5","63.1","-5.6","9.3"
"26","J.McCown","","42","0.033","-0.238","-0.238","33.3%","68.4","67.4","1.0","5.1"
"27","D.Watson","","36","-0.038","-0.211","-0.302","41.7%","52.2","63.8","-11.6","9.1"
"28","B.Hoyer","","41","0.044","-0.324","-0.388","43.9%","68.6","66.3","2.3","7.3"
"29","A.Dalton","","39","-0.013","-0.623","-0.723","30.8%","55.2","66.0","-10.9","7.7"
"30","T.Savage","","22","-0.023","-0.673","-0.892","36.4%","53.8","67.0","-13.1","7.6"
"31","S.Tolzien","","24","-0.005","-0.727","-0.945","33.3%","50.0","60.4","-10.4","9.2"
