"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","37","0.461","0.950","0.950","64.9%","86.2","65.5","20.7","8.8"
"2","K.Cousins","","36","0.336","0.765","0.765","63.9%","72.7","64.8","7.9","10.8"
"3","P.Rivers","","42","0.228","0.418","0.418","61.9%","64.9","58.3","6.6","11.3"
"4","J.Brissett","","46","0.223","0.406","0.397","52.2%","74.3","68.0","6.3","7.6"
"5","J.Goff","","42","0.164","0.392","0.392","50.0%","59.5","63.2","-3.7","10.1"
"6","L.Jackson","","33","0.071","0.353","0.353","39.4%","45.0","63.5","-18.5","10.1"
"7","T.Bridgewater","","41","0.145","0.319","0.319","48.8%","63.9","67.0","-3.1","7.5"
"8","M.Stafford","","53","0.136","0.276","0.276","58.5%","66.7","68.7","-2.0","8.6"
"9","D.Carr","","32","0.255","0.354","0.275","56.3%","78.6","63.7","14.9","9.6"
"10","D.Prescott","","37","0.226","0.264","0.264","59.5%","84.0","69.0","15.0","8.4"
"11","R.Tannehill","","36","0.228","0.276","0.249","58.3%","82.1","67.6","14.5","6.9"
"12","R.Fitzpatrick","","45","0.157","0.209","0.208","51.1%","67.6","61.3","6.4","9.9"
"13","K.Murray","","32","0.090","0.205","0.205","46.9%","66.7","72.3","-5.6","5.3"
"14","J.Allen","","35","0.117","0.201","0.201","51.4%","64.0","64.4","-0.4","10.6"
"15","T.Brady","","47","0.124","0.177","0.177","46.8%","73.8","71.3","2.5","5.3"
"16","J.Garoppolo","","29","0.049","0.125","0.125","44.8%","60.0","67.6","-7.6","8.4"
"17","C.Keenum","","16","0.054","0.061","0.061","31.3%","75.0","77.3","-2.3","4.1"
"18","G.Minshew II","","42","0.002","0.049","0.049","35.7%","53.6","64.5","-10.9","8.5"
"19","D.Watson","","42","0.070","0.051","0.037","52.4%","69.7","68.4","1.3","8.0"
"20","R.Wilson","","47","0.036","0.064","-0.045","44.7%","52.6","58.4","-5.8","11.0"
"21","M.Trubisky","","56","0.026","-0.051","-0.051","41.1%","66.7","67.6","-0.9","6.6"
"22","A.Dalton","","54","-0.012","0.029","-0.080","46.3%","52.4","64.5","-12.1","9.2"
"23","M.Moore","","23","-0.047","-0.117","-0.117","43.5%","55.6","68.5","-12.9","7.6"
"24","D.Jones","","50","-0.005","-0.170","-0.197","44.0%","62.9","68.1","-5.3","7.6"
"25","C.Wentz","","36","0.018","-0.207","-0.285","47.2%","64.0","65.4","-1.4","12.0"
"26","J.Flacco","","45","0.017","-0.386","-0.456","31.1%","63.6","66.9","-3.2","9.1"
"27","M.Ryan","","34","-0.003","-0.469","-0.501","38.2%","59.3","66.8","-7.6","8.0"
"28","S.Darnold","","38","-0.071","-0.688","-0.738","23.7%","35.5","57.5","-22.0","13.1"
