"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","D.Jones","","47","0.264","0.551","0.551","55.3%","71.8","65.6","6.2","8.1"
"2","D.Haskins","","18","0.336","0.548","0.548","50.0%","80.0","60.6","19.4","10.3"
"3","D.Carr","","34","0.309","0.493","0.493","58.8%","89.7","72.4","17.3","4.4"
"4","P.Mahomes","","39","0.229","0.438","0.438","51.3%","76.7","71.0","5.7","7.6"
"5","R.Fitzpatrick","","57","0.190","0.408","0.408","50.9%","60.8","60.6","0.2","10.1"
"6","C.Keenum","","26","0.243","0.336","0.336","53.8%","76.2","62.5","13.6","6.4"
"7","T.Brady","","39","0.208","0.275","0.275","51.3%","81.3","70.1","11.1","5.5"
"8","L.Jackson","","48","0.156","0.295","0.273","58.3%","66.7","66.4","0.3","7.6"
"9","A.Dalton","","61","0.140","0.254","0.252","49.2%","61.1","61.0","0.1","10.9"
"10","B.Mayfield","","39","0.132","0.246","0.246","53.8%","62.5","63.3","-0.8","9.2"
"11","R.Tannehill","","36","0.143","0.238","0.238","50.0%","68.0","66.2","1.8","9.0"
"12","M.Ryan","","47","0.172","0.243","0.230","57.4%","74.4","67.8","6.7","9.2"
"13","D.Brees","","45","0.144","0.217","0.217","42.2%","73.0","69.6","3.3","7.0"
"14","P.Rivers","","44","0.124","0.179","0.179","52.3%","73.0","70.6","2.4","5.5"
"15","C.Wentz","","47","0.146","0.164","0.164","53.2%","77.5","70.0","7.5","5.1"
"16","D.Lock","","39","0.141","0.129","0.129","46.2%","75.8","66.7","9.0","6.7"
"17","M.Rudolph","","24","0.102","0.100","0.100","29.2%","70.0","66.2","3.8","6.5"
"18","K.Murray","","25","0.056","0.096","0.096","40.0%","61.1","65.5","-4.3","8.1"
"19","J.Allen","","38","0.033","0.096","0.096","39.5%","50.0","58.5","-8.5","12.2"
"20","J.Goff","","50","0.119","0.181","0.095","46.0%","69.2","67.9","1.4","7.2"
"21","J.Brissett","","34","0.003","-0.001","-0.001","44.1%","58.3","66.0","-7.6","9.8"
"22","D.Watson","","46","-0.004","-0.056","-0.056","39.1%","59.4","65.7","-6.3","6.7"
"23","J.Winston","","54","0.009","-0.038","-0.089","48.1%","53.2","57.8","-4.6","13.3"
"24","D.Prescott","","47","-0.016","-0.106","-0.106","44.7%","56.8","64.1","-7.3","10.5"
"25","G.Minshew II","","43","-0.101","-0.107","-0.107","34.9%","43.3","66.2","-22.9","7.9"
"26","S.Darnold","","32","0.007","-0.146","-0.146","40.6%","64.0","67.1","-3.1","8.2"
"27","J.Garoppolo","","35","-0.008","-0.155","-0.163","42.9%","59.3","65.1","-5.9","7.7"
"28","R.Wilson","","38","-0.036","-0.165","-0.165","31.6%","55.2","66.2","-11.0","10.0"
"29","D.Blough","","29","-0.023","-0.167","-0.167","31.0%","52.2","60.9","-8.7","10.6"
"30","A.Rodgers","","44","0.004","-0.201","-0.211","47.7%","68.4","72.3","-3.9","6.5"
"31","W.Grier","","53","0.018","-0.293","-0.293","37.7%","65.9","68.1","-2.2","8.6"
"32","M.Trubisky","","46","-0.033","-0.314","-0.314","34.8%","54.5","66.2","-11.6","8.3"
"33","D.Hodges","","20","0.056","-0.442","-0.450","30.0%","68.8","65.4","3.3","9.4"
"34","K.Cousins","","37","-0.040","-0.607","-0.643","24.3%","55.2","70.8","-15.6","8.2"
