"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","R.Fitzpatrick","","40","0.385","0.839","0.839","62.5%","75.0","62.2","12.8","12.2"
"2","D.Brees","","48","0.285","0.492","0.492","68.8%","84.1","71.0","13.1","7.8"
"3","P.Mahomes","","34","0.207","0.418","0.418","47.1%","60.0","57.2","2.8","13.4"
"4","A.Smith","","43","0.182","0.359","0.359","60.5%","72.4","71.0","1.4","3.5"
"5","S.Darnold","","25","0.271","0.486","0.346","64.0%","80.0","69.2","10.8","8.4"
"6","J.Goff","","36","0.110","0.318","0.318","50.0%","54.5","64.0","-9.5","10.0"
"7","P.Rivers","","57","0.175","0.296","0.296","50.9%","68.0","64.3","3.7","9.7"
"8","A.Rodgers","","34","0.171","0.280","0.280","50.0%","69.0","65.0","4.0","9.5"
"9","J.Flacco","","40","0.152","0.255","0.255","45.0%","73.5","71.4","2.1","6.0"
"10","T.Brady","","45","0.150","0.253","0.253","51.1%","66.7","64.7","2.0","8.2"
"11","A.Dalton","","34","0.186","0.329","0.247","58.8%","75.0","71.2","3.8","5.0"
"12","A.Luck","","60","0.123","0.166","0.166","51.7%","75.0","71.8","3.2","5.5"
"13","R.Wilson","","43","0.054","0.073","0.073","44.2%","57.6","60.7","-3.1","10.2"
"14","J.Allen","","24","-0.025","0.008","0.008","37.5%","42.9","56.0","-13.2","14.5"
"15","K.Cousins","","43","-0.025","0.000","0.000","44.2%","57.1","69.8","-12.7","7.0"
"16","C.Newton","","43","0.039","-0.017","-0.017","48.8%","68.0","68.2","-0.2","6.2"
"17","M.Trubisky","","49","0.043","-0.040","-0.040","38.8%","69.7","68.0","1.7","6.3"
"18","R.Tannehill","","34","0.085","0.016","-0.047","44.1%","71.4","65.1","6.4","10.4"
"19","B.Bortles","","37","-0.037","-0.061","-0.061","40.5%","54.5","66.6","-12.0","7.0"
"20","B.Roethlisberger","","50","-0.022","-0.041","-0.072","46.0%","56.1","66.1","-10.0","9.3"
"21","C.Keenum","","42","0.046","0.014","-0.077","52.4%","64.1","64.7","-0.6","9.4"
"22","T.Taylor","","57","-0.086","-0.150","-0.150","33.3%","39.5","59.5","-20.1","10.9"
"23","J.Garoppolo","","42","-0.072","-0.109","-0.165","45.2%","46.9","64.4","-17.6","10.8"
"24","M.Ryan","","52","-0.011","-0.171","-0.171","36.5%","53.8","60.4","-6.5","9.2"
"25","D.Prescott","","44","0.010","-0.181","-0.181","38.6%","65.5","68.2","-2.7","7.4"
"26","D.Watson","","47","-0.028","-0.207","-0.228","40.4%","50.0","59.7","-9.7","11.1"
"27","E.Manning","","47","-0.001","-0.167","-0.237","31.9%","63.9","68.4","-4.6","6.6"
"28","N.Foles","","40","-0.039","-0.248","-0.275","35.0%","55.9","68.0","-12.1","8.1"
"29","M.Stafford","","50","-0.040","-0.170","-0.287","46.0%","58.7","70.4","-11.7","7.7"
"30","D.Carr","","48","0.047","-0.219","-0.304","45.8%","76.3","72.6","3.7","5.2"
"31","B.Gabbert","","22","-0.087","-0.196","-0.316","36.4%","50.0","70.5","-20.5","6.4"
"32","S.Bradford","","38","-0.039","-0.327","-0.327","36.8%","58.8","71.6","-12.8","6.1"
"33","M.Mariota","","20","-0.003","-0.469","-0.557","45.0%","56.3","63.8","-7.5","7.4"
"34","N.Peterman","","22","-0.133","-1.063","-1.126","4.5%","27.8","64.4","-36.7","8.2"
