"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","M.Trubisky","","34","0.212","0.431","0.431","58.8%","71.4","68.5","3.0","7.4"
"2","P.Mahomes","","43","0.188","0.356","0.356","55.8%","70.6","68.0","2.6","6.2"
"3","M.Glennon","","15","0.218","0.334","0.334","46.7%","71.4","62.2","9.3","8.8"
"4","N.Mullens","","36","0.193","0.330","0.330","55.6%","69.0","64.1","4.9","8.0"
"5","A.Luck","","34","0.099","0.285","0.285","50.0%","61.5","71.1","-9.5","8.5"
"6","P.Rivers","","49","0.182","0.250","0.250","55.1%","68.4","60.4","8.0","8.4"
"7","D.Watson","","39","0.259","0.226","0.226","46.2%","84.6","60.9","23.7","8.4"
"8","S.Darnold","","49","0.174","0.226","0.226","49.0%","68.6","60.4","8.2","10.9"
"9","N.Foles","","33","0.201","0.273","0.214","45.5%","77.4","67.5","9.9","7.5"
"10","R.Wilson","","42","0.207","0.184","0.184","42.9%","82.1","65.0","17.2","7.4"
"11","B.Roethlisberger","","38","0.150","0.181","0.181","55.3%","66.7","59.7","6.9","11.1"
"12","J.Allen","","38","0.100","0.168","0.168","47.4%","56.5","57.7","-1.2","17.3"
"13","M.Ryan","","42","0.040","0.122","0.122","52.4%","61.1","70.0","-8.9","6.9"
"14","M.Stafford","","31","0.151","0.120","0.120","41.9%","78.6","67.2","11.4","7.0"
"15","J.Johnson","","41","0.122","0.119","0.119","43.9%","69.6","63.4","6.2","8.6"
"16","T.Brady","","40","0.105","0.077","0.077","50.0%","69.4","63.6","5.9","9.3"
"17","C.Keenum","","53","0.063","0.064","0.064","50.9%","68.9","69.8","-0.9","6.2"
"18","L.Jackson","","42","0.054","0.072","0.041","47.6%","66.7","69.6","-3.0","7.1"
"19","J.Driskel","","42","-0.032","0.039","0.039","31.0%","42.4","59.0","-16.5","10.3"
"20","K.Cousins","","31","0.085","0.131","0.013","48.4%","70.0","71.4","-1.4","7.3"
"21","B.Mayfield","","41","0.030","-0.012","-0.034","51.2%","58.1","60.1","-2.0","10.1"
"22","A.Rodgers","","51","0.044","-0.037","-0.037","43.1%","62.5","60.8","1.7","11.3"
"23","J.Goff","","59","0.045","-0.039","-0.076","50.8%","70.0","67.9","2.1","6.4"
"24","M.Mariota","","24","-0.000","-0.097","-0.097","29.2%","63.2","67.8","-4.6","6.8"
"25","D.Carr","","41","0.026","-0.101","-0.101","43.9%","63.6","63.4","0.2","9.4"
"26","D.Brees","","42","0.016","-0.132","-0.132","45.2%","67.6","69.0","-1.4","6.3"
"27","E.Manning","","49","-0.064","-0.222","-0.222","30.6%","47.7","64.1","-16.4","7.9"
"28","J.Winston","","30","-0.035","-0.282","-0.282","30.0%","52.0","63.7","-11.7","10.4"
"29","D.Prescott","","46","-0.012","-0.294","-0.294","41.3%","63.2","70.7","-7.6","7.1"
"30","C.Newton","","38","-0.049","-0.317","-0.317","31.6%","57.1","71.6","-14.5","5.5"
"31","C.Kessler","","30","-0.019","-0.430","-0.491","33.3%","60.0","70.1","-10.1","5.5"
"32","J.Rosen","","32","-0.041","-0.593","-0.712","31.3%","61.9","77.5","-15.6","4.6"
"33","R.Tannehill","","34","-0.053","-0.731","-0.731","20.6%","47.8","66.9","-19.0","9.6"
