1	547	Ray Rice
ARI	RB	14	245	1047	4.3	10	16	10	52	0	4	2	12.6	175.9
WAS	RB	15	151	640	4.2	2	60	49	379	1	2	2	11	164.9
DEN	RB	15	249	1199	4.8	4	20	12	51	1	4	3	10.9	163
CIN	RB	15	273	1067	3.9	6	22	15	82	0	5	2	10.8	161.9
BUF	RB	16	107	561	5.2	4	53	39	269	2	2	0	9.9	158
NE	RB	16	180	665	3.7	11	13	9	159	0	0	0	9.8	157.4
CAR	RB	16	155	836	5.4	7	25	16	135	0	0	0	9.7	155.1
DAL	RB	13	163	895	5.5	2	35	26	183	0	1	0	11.2	145.8
KC	RB	16	113	510	4.5	1	65	47	334	1	4	3	8.6	137.4
HOU	RB	15	175	942	5.4	4	19	13	98	0	4	3	9	135
NYG	RB	14	152	571	3.8	7	23	15	128	1	3	0	9.6	134.9
NYJ	RB	14	75	280	3.7	1	60	42	449	2	0	0	9.5	132.9
TB	RB	14	184	781	4.2	5	25	15	148	0	5	3	9.4	131.9
LV	RB	7	113	614	5.4	4	23	19	154	1	1	1	17.7	123.8
IND	RB	16	134	645	4.8	5	19	16	86	0	0	0	7.4	119.1
MIN	RB	16	109	531	4.9	1	28	23	190	3	1	0	7.4	119.1
GB	RB	15	134	559	4.2	2	24	19	268	1	1	1	7.8	117.7
DET	RB	7	72	356	4.9	4	28	22	179	3	1	1	16.5	115.5
DAL	RB	12	128	577	4.5	1	44	33	221	0	5	2	9.6	114.8
DET	RB	6	84	390	4.6	2	40	27	287	1	0	0	18.8	112.7
GB	RB	13	133	578	4.3	1	37	29	216	0	1	1	8.6	112.4
CLE	RB	10	161	587	3.6	3	34	22	130	0	2	1	11	109.7
SF	RB	16	112	473	4.2	2	26	16	195	0	0	0	5.9	94.8
DET	RB	16	80	316	4	1	35	26	230	1	1	0	5.8	92.6
NO	RB	10	122	474	3.9	5	13	11	46	0	1	1	9.1	91
KC	FB	15	149	597	4	2	13	9	68	0	0	0	5.8	87.5
CHI	RB	11	114	422	3.7	6	9	5	50	0	1	1	7.8	86.2
PIT	RB	16	110	479	4.4	3	21	17	69	0	2	2	5.4	85.8
MIA	RB	13	165	581	3.5	0	16	12	72	1	2	1	6.3	81.3
TB	RB	16	31	105	3.4	0	53	41	291	0	0	0	5	80.6
DEN	RB	16	96	402	4.2	1	32	16	148	1	2	2	4.9	79
NE	RB	15	77	351	4.6	1	31	18	157	0	0	0	5.3	78.8
LV	FB	12	17	112	6.6	0	36	27	299	2	1	1	6.5	78.1
CLE	RB	13	76	340	4.5	1	31	23	165	0	2	1	6	77.5
BAL	RB	16	108	444	4.1	2	20	13	83	0	2	2	4.6	73.7
IND	RB	12	118	433	3.7	1	22	15	93	0	1	0	6.1	73.6
CIN	RB	16	112	380	3.4	3	17	13	38	0	0	0	4.6	72.8
ATL	RB	16	57	205	3.6	1	27	21	188	1	1	1	4.4	70.3
CHI	RB	13	79	337	4.3	0	23	19	133	1	3	1	5.4	70
TEN	RB	12	59	185	3.1	1	36	28	187	0	1	1	5.8	69.2
GB	FB	16	30	78	2.6	4	18	15	77	2	0	0	4.2	66.5
ARI	RB	14	43	167	3.9	0	17	13	234	2	0	0	4.6	65.1
ATL	RB	15	44	151	3.4	0	33	26	179	1	0	0	4.3	65
NYG	RB	16	46	163	3.5	0	37	27	170	0	0	0	4	64.3
TB	RB	7	37	206	5.6	0	31	26	163	0	1	0	9	62.9
LAR	RB	11	88	368	4.2	1	22	13	86	0	1	1	5.7	62.4
WAS	RB	5	84	321	3.8	1	15	10	78	1	0	0	12.4	61.9
KC	RB	16	153	478	3.1	0	7	5	43	0	0	0	3.6	57.1
SEA	RB	16	46	145	3.2	1	34	23	128	0	0	0	3.5	56.3
NE	RB	16	88	443	5	1	5	3	13	0	1	0	3.4	54.6
CLE	RB	10	88	266	3	0	21	14	122	0	1	0	5.3	52.8
CIN	RB	13	17	85	5	0	31	22	210	0	0	0	4	51.5
IND	RB	16	101	377	3.7	2	8	5	18	0	3	3	3.2	50.5
WAS	RB	6	56	328	5.9	0	14	10	76	0	0	0	8.4	50.4
BUF	RB	13	57	152	2.7	1	30	19	124	0	3	2	3.7	48.6
SEA	RB	16	53	248	4.7	1	14	10	48	0	2	0	2.8	45.6
DET	RB	15	58	195	3.4	2	8	8	62	0	2	1	2.9	43.7
