CHI	RB	16	242	889	3.7	6	35	25	185	1	2	2	10.6	170.4
TB	RB	16	172	724	4.2	6	40	31	309	0	3	2	10.4	166.3
SF	RB	16	137	772	5.6	8	22	14	180	2	2	2	10.3	165.2
CHI	RB	16	64	213	3.3	0	104	79	456	3	3	0	10.2	163.9
NO	RB	16	146	637	4.4	5	43	34	235	1	0	0	9.8	157.2
HOU	RB	16	83	410	4.9	2	62	44	410	3	1	1	9.6	154
HOU	RB	16	245	1070	4.4	6	16	10	42	0	4	2	9.6	153.2
NE	RB	16	247	912	3.7	7	20	12	94	0	2	1	9.5	152.6
BUF	RB	12	151	775	5.1	2	41	29	194	2	4	1	12.3	147.9
WAS	RB	15	211	898	4.3	5	23	17	142	0	3	2	9.8	147
GB	RB	14	107	460	4.3	1	45	39	253	5	0	0	10.4	146.3
PIT	RB	10	116	464	4	4	38	34	251	3	1	1	14.6	145.5
DEN	RB	16	132	496	3.8	3	50	43	256	1	0	0	8.9	142.2
ARI	RB	13	94	345	3.7	2	47	36	370	4	1	1	10.9	141.5
KC	RB	11	111	498	4.5	5	37	30	213	2	1	1	12.8	141.1
SF	RB	14	137	544	4	6	30	21	180	1	0	0	9.7	135.4
LV	RB	16	108	387	3.6	3	40	36	292	0	0	0	7.6	121.9
KC	RB	13	101	465	4.6	4	34	28	181	1	3	2	9.1	118.6
TB	RB	16	154	470	3.1	6	24	16	115	1	1	1	7.3	116.5
PHI	RB	10	119	525	4.4	6	14	10	69	1	0	0	11.1	111.4
IND	RB	16	52	199	3.8	2	58	44	320	0	1	1	6.6	105.9
PIT	RB	14	66	175	2.7	1	57	47	305	1	1	1	7.5	104.4
SF	RB	13	123	623	5.1	1	22	19	120	1	2	1	7.9	103.3
CLE	RB	8	43	179	4.2	2	44	37	285	1	1	0	12.7	101.4
NE	RB	13	65	302	4.6	3	38	27	279	0	1	1	7.8	101.1
PHI	RB	11	61	245	4	5	26	24	204	0	4	1	8.8	96.9
BUF	RB	16	166	599	3.6	2	16	13	100	0	0	0	5.9	94.9
WAS	RB	11	37	138	3.7	0	58	42	378	0	1	0	8.5	93.6
BAL	RB	16	133	711	5.3	2	8	7	45	0	2	1	5.8	92.6
DAL	RB	15	86	455	5.3	2	20	15	107	1	1	1	5.9	89.2
