GB	RB	12	133	728	5.5	8	35	26	206	1	1	1	14.3	171.4
LAC	RB	14	106	554	5.2	3	53	39	404	3	1	1	12.1	168.8
SF	RB	14	153	814	5.3	3	31	27	261	2	1	1	11.6	162.5
IND	RB	16	85	314	3.7	2	81	63	425	2	1	0	10.1	160.9
TEN	RB	16	155	517	3.3	1	67	59	400	1	1	1	10	160.7
LV	RB	16	55	259	4.7	1	81	68	607	0	3	2	9.8	156.6
MIN	RB	11	133	615	4.6	2	49	40	305	2	2	2	13.8	152
TB	RB	16	234	871	3.7	5	29	20	92	1	1	1	9.4	150.3
NO	RB	12	138	645	4.7	6	27	21	170	1	3	1	11.9	142.5
NYJ	RB	13	143	685	4.8	6	28	21	152	0	0	0	10.8	140.7
DET	RB	10	118	641	5.4	3	39	32	213	1	1	1	13.9	139.4
NE	RB	13	209	931	4.5	6	11	7	50	0	1	1	10.7	139.1
SEA	RB	15	112	514	4.6	4	42	34	214	1	0	0	9.1	136.8
CLE	RB	16	40	201	5	0	62	47	429	3	1	0	8.2	132
MIN	RB	16	140	578	4.1	6	26	22	141	0	0	0	8.2	131.9
BUF	RB	14	161	514	3.2	3	46	34	238	0	0	0	9.1	127.2
JAX	RB	8	133	439	3.3	5	26	22	185	1	0	0	15	120.4
LV	RB	16	172	723	4.2	4	24	18	116	0	3	3	7.5	119.9
PHI	RB	16	87	364	4.2	3	35	28	230	2	2	1	7.3	117.4
DET	RB	14	40	171	4.3	0	74	61	384	0	0	0	8.3	116.5
GB	RB	16	121	464	3.8	3	41	27	210	0	0	0	7.2	114.4
BAL	RB	10	114	411	3.6	7	21	15	105	1	3	3	10.9	108.6
MIA	RB	14	156	722	4.6	0	16	12	124	1	1	0	7.3	102.6
DEN	RB	14	130	521	4	5	20	14	72	0	1	1	7.2	101.3
KC	RB	14	50	256	5.1	4	24	23	160	2	1	1	7	98.6
JAX	RB	14	172	571	3.3	5	17	10	33	0	2	1	7	98.4
ATL	RB	14	90	315	3.5	4	32	27	152	0	1	0	7	97.7
HOU	RB	16	150	499	3.3	2	27	20	154	0	0	0	6.1	97.3
CIN	RB	12	56	211	3.8	3	48	35	218	0	0	0	8	95.9
BAL	RB	14	41	110	2.7	3	43	35	196	2	1	1	6.7	93.6
WAS	RB	10	43	178	4.1	0	55	41	268	1	1	0	9.2	91.6
BAL	RB	11	137	718	5.2	2	2	2	20	0	0	0	8.2	89.8
PIT	RB	14	56	256	4.6	0	29	26	199	3	1	0	6.4	89.5
DEN	RB	16	34	183	5.4	1	51	38	275	0	1	1	5.5	87.8
DET	RB	16	154	418	2.7	5	15	10	67	0	2	1	5.4	86.5
NYJ	RB	8	92	276	3	3	31	19	193	1	2	2	10.7	85.9
TB	RB	16	33	106	3.2	1	45	38	304	0	1	1	5.2	83
PHI	RB	13	120	511	4.3	3	13	7	58	0	1	1	6.3	81.9
PHI	RB	11	68	259	3.8	2	25	22	192	0	4	0	7.4	81.1
LV	RB	6	90	376	4.2	3	20	15	84	0	0	0	13.2	79
KC	RB	13	51	246	4.8	2	23	20	224	0	0	0	6.1	79
BUF	RB	13	115	385	3.3	1	21	13	205	0	1	0	6	78
BAL	RB	13	41	188	4.6	1	40	25	235	0	2	1	5.5	71.3
SEA	RB	14	85	419	4.9	2	12	9	75	0	0	0	5	70.4
SF	RB	12	111	428	3.9	2	14	8	73	0	2	1	5.7	68.1
LAR	RB	11	67	403	6	2	9	5	41	1	0	0	6.1	67.4
SF	FB	16	8	30	3.8	0	40	30	324	1	2	2	4.2	67.4
ARI	RB	16	60	208	3.5	2	23	20	103	0	1	0	3.9	63.1
GB	RB	12	21	103	4.9	3	23	16	115	1	1	0	5.2	61.8
LAC	RB	9	50	206	4.1	2	19	15	135	0	0	0	6.8	61.1
PHI	RB	6	29	120	4.1	1	23	15	160	2	0	0	10.2	61
