ATL	RB	13	118	520	4.4	8	40	31	421	3	1	0	14.7	191.1
NYJ	RB	14	218	813	3.7	7	43	30	263	1	1	1	13.1	183.6
CIN	RB	15	222	839	3.8	9	27	21	174	0	0	0	11.8	176.3
BAL	RB	16	193	774	4	5	45	34	236	1	2	0	10.7	171
PHI	RB	15	94	438	4.7	2	71	52	427	2	1	0	10.8	162.5
DET	RB	10	92	357	3.9	1	67	53	371	5	0	0	16.2	161.8
NE	RB	16	39	166	4.3	0	86	60	551	5	0	0	10.1	161.7
MIN	RB	15	159	539	3.4	2	53	43	255	2	0	0	9.9	148.4
WAS	RB	16	68	356	5.2	3	62	49	349	2	2	1	9.2	147.5
CAR	RB	13	218	824	3.8	9	21	8	60	0	3	2	11.3	146.4
PHI	RB	13	155	661	4.3	8	14	13	115	1	3	2	11.1	144.6
CLE	RB	16	73	358	4.9	1	74	53	514	0	2	1	9	144.2
DEN	RB	16	174	612	3.5	4	46	31	265	1	4	3	8.9	142.7
GB	RB	15	77	457	5.9	3	56	44	348	0	2	1	9.4	140.5
NYG	RB	13	181	593	3.3	3	42	35	201	1	1	0	10.6	138.4
JAX	RB	15	130	465	3.6	1	68	50	312	1	2	1	9.2	137.7
GB	RB	15	148	583	3.9	7	29	22	107	1	2	1	9.1	137
WAS	RB	15	168	704	4.2	6	18	12	82	1	0	0	8.8	132.6
MIN	RB	16	121	402	3.3	6	38	32	263	0	1	1	8.3	132.5
NO	RB	16	133	548	4.1	4	26	22	200	1	0	0	7.9	126.8
BUF	RB	15	101	576	5.7	8	11	9	50	1	1	0	8.4	125.6
CIN	RB	10	91	337	3.7	2	51	39	336	1	1	1	12.2	122.3
LV	RB	16	83	492	5.9	1	39	29	194	2	0	0	7.2	115.6
SF	RB	16	74	196	2.6	4	39	29	263	2	1	1	6.8	108.9
IND	RB	15	47	164	3.5	7	35	26	179	1	0	0	7.2	108.3
TEN	RB	15	110	490	4.5	5	15	13	137	0	0	0	7	105.7
DEN	RB	7	110	437	4	4	24	16	128	1	0	0	14.6	102.5
BAL	RB	12	88	382	4.3	2	41	30	162	1	1	0	8.5	102.4
PIT	RB	9	98	343	3.5	4	27	18	118	2	0	0	11.1	100.1
JAX	RB	11	117	439	3.8	3	28	20	186	0	6	3	8.6	94.5
KC	RB	15	88	293	3.3	1	34	28	188	2	0	0	6.3	94.1
NO	RB	15	4	19	4.8	0	54	40	281	4	0	0	6.3	94
MIA	RB	15	35	115	3.3	3	31	23	249	3	1	1	6.2	93.4
DET	RB	14	88	334	3.8	4	23	18	196	0	1	1	6.6	93
SF	FB	14	0	0	0	0	0	0	0	0	0	0	6.5	91.55
TB	RB	10	129	560	4.3	2	16	13	98	0	0	0	9.1	90.8
TB	RB	8	144	421	2.9	3	16	14	134	0	1	1	10.7	85.5
LV	RB	14	87	467	5.4	2	23	17	115	0	1	1	6.1	85.2
NYG	RB	14	112	456	4.1	0	24	15	162	0	1	0	5.5	76.8
CIN	RB	16	74	344	4.6	2	20	17	145	0	1	1	4.7	75.9
SEA	RB	9	109	349	3.2	3	17	13	96	0	0	0	8.4	75.5
WAS	RB	7	99	460	4.6	3	8	8	73	0	3	2	10.8	75.3
BAL	FB	16	5	22	4.4	1	49	37	266	0	0	0	4.6	73.8
CHI	RB	12	62	200	3.2	4	27	19	142	0	2	2	6.1	73.2
CAR	RB	16	57	265	4.6	0	33	25	226	0	1	1	4.5	72.1
TB	RB	7	51	149	2.9	1	32	24	190	1	1	1	9.7	67.9
HOU	RB	14	100	420	4.2	1	16	12	40	0	2	1	4.4	62
DEN	RB	9	87	291	3.3	1	27	20	85	0	2	1	6.8	61.6
SEA	RB	6	30	172	5.7	1	19	17	208	0	0	0	10.2	61
GB	RB	9	63	145	2.3	0	25	19	134	2	1	0	6.5	58.9
LV	FB	16	17	47	2.8	2	14	12	227	1	0	0	3.6	57.4
NO	FB	16	18	37	2.1	4	20	16	70	1	0	0	3.5	56.7
NE	RB	7	64	283	4.4	0	24	17	94	0	1	0	7.8	54.7
DET	RB	12	90	265	2.9	1	15	10	62	0	0	0	4.1	48.7
PHI	RB	13	77	312	4.1	1	13	6	55	0	1	1	3.6	46.7
GB	FB	16	34	150	4.4	2	10	9	46	1	0	0	2.9	46.6
MIA	RB	16	33	179	5.4	2	10	9	46	0	1	0	2.7	43.5
GB	RB	5	71	360	5.1	0	7	4	28	0	0	0	8.6	42.8
DAL	RB	14	69	243	3.5	2	6	3	11	0	0	0	2.9	40.4
NYG	RB	15	17	63	3.7	0	25	20	153	0	1	1	2.6	39.6
NYG	RB	5	33	158	4.8	1	19	11	94	0	2	2	7.6	38.2
DAL	RB	13	9	31	3.4	1	24	16	122	0	1	0	2.9	37.3
LAC	RB	13	60	192	3.2	0	16	13	70	0	2	1	2.9	37.2
TB	RB	15	55	223	4.1	1	6	5	28	0	0	0	2.4	36.1
JAX	RB	11	32	164	5.1	1	7	4	35	1	0	0	3.3	35.9
SEA	RB	11	31	125	4	1	11	11	84	0	2	1	3.3	35.9
IND	RB	16	15	20	1.3	0	26	20	136	0	1	0	2.2	35.6
SF	RB	9	38	138	3.6	0	9	8	115	1	2	2	3.9	35.3
LAR	RB	11	21	101	4.8	0	21	16	91	0	1	0	3.2	35.2
CAR	FB	16	35	114	3.3	0	15	10	72	1	0	0	2.2	34.6
PHI	RB	13	27	129	4.8	2	11	5	42	0	0	0	2.6	34.1
HOU	RB	10	23	105	4.6	0	18	13	94	0	0	0	3.3	32.9
ARI	RB	16	34	96	2.8	0	19	12	85	0	0	0	1.9	30.1
LAC	RB	8	41	131	3.2	0	15	7	93	0	0	0	3.7	29.4
ARI	RB	10	18	157	8.7	2	2	1	6	0	0	0	2.9	29.3
CAR	RB	3	36	144	4	2	1	1	11	0	0	0	9.5	28.5
LAC	RB	2	19	116	6.1	0	8	6	35	1	0	0	13.6	27.1
DET	RB	2	18	101	5.6	0	5	5	57	1	0	0	13.4	26.8
NYG	RB	10	30	111	3.7	2	4	2	12	0	0	0	2.6	26.3
DEN	RB	12	22	107	4.9	0	3	2	75	1	0	0	2.2	26.2
BUF	RB	13	12	-3	-0.2	1	10	7	90	0	1	0	1.8	23.7
CHI	RB	12	32	126	3.9	0	7	5	55	0	0	0	1.9	23.1
JAX	RB	13	41	144	3.5	0	5	3	22	0	0	0	1.5	19.6
MIA	RB	4	22	55	2.5	0	10	6	78	0	1	0	4.8	19.3
NYJ	RB	6	6	18	3	0	13	6	50	1	1	0	3.1	18.8
DEN	FB	11	4	33	8.2	1	7	5	44	0	0	0	1.7	18.7
ATL	FB	16	0	0	0	0	10	7	52	1	0	0	1.1	18.2
ATL	RB	5	31	151	4.9	0	2	1	11	0	0	0	3.4	17.2
