DET	RB	13	114	521	4.6	8	57	46	357	2	3	2	14.6	189.8
SEA	RB	12	141	681	4.8	5	46	37	287	4	1	0	15.6	187.8
TB	RB	14	192	978	5.1	7	42	28	165	1	2	2	13.3	186.3
HOU	RB	12	147	691	4.7	6	46	33	314	2	2	1	15	179.5
KC	RB	13	181	803	4.4	4	54	36	297	1	0	0	13.5	176
PHI	RB	12	164	867	5.3	6	52	28	197	0	4	2	14.2	170.4
BAL	RB	15	134	805	6	9	24	18	120	0	2	0	11.2	168.5
ARI	RB	16	97	448	4.6	1	67	53	402	4	2	0	10.5	168
LAC	RB	10	116	530	4.6	1	65	54	403	2	1	0	16.5	165.3
PIT	RB	13	169	721	4.3	6	43	35	215	0	2	0	12.7	164.6
MIA	RB	10	142	584	4.1	3	47	41	388	2	2	2	16.4	164.2
ATL	RB	15	195	678	3.5	9	34	25	164	0	2	0	10.9	163.2
CIN	RB	16	124	416	3.4	3	59	47	355	3	1	1	9.9	158.1
BUF	RB	16	156	687	4.4	2	50	38	269	0	1	1	9	143.6
SF	RB	11	126	600	4.8	7	28	13	133	3	2	2	12.9	142.3
NYG	RB	15	147	682	4.6	6	27	21	114	0	1	0	9.1	136.6
NO	RB	15	146	656	4.5	4	26	23	176	1	1	0	9.1	136.2
TB	RB	13	97	367	3.8	6	47	36	233	0	0	0	10.2	132
LAR	RB	15	138	624	4.5	5	24	16	159	1	0	0	8.7	130.3
BAL	RB	16	144	723	5	6	13	9	129	0	1	1	8	128.2
GB	RB	14	119	505	4.2	2	35	31	236	1	0	0	9.1	127.1
SF	RB	16	81	319	3.9	5	46	33	253	1	0	0	7.9	126.2
DET	RB	16	156	604	3.9	7	18	12	101	0	0	0	7.8	124.5
DAL	RB	16	101	435	4.3	4	40	28	192	1	0	0	7.5	120.7
NE	RB	14	35	121	3.5	2	62	49	375	1	1	0	8.3	116.6
LAR	RB	16	101	419	4.1	5	33	23	162	0	1	1	6.8	109.1
NE	RB	10	67	274	4.1	3	33	25	192	3	0	0	10.8	107.6
LAR	RB	13	145	625	4.3	2	14	11	123	1	1	1	7.8	101.8
BUF	RB	13	112	481	4.3	4	18	14	95	1	0	0	7.8	101.6
NYJ	RB	15	187	653	3.5	2	19	16	89	0	1	1	6.7	100.2
SF	RB	8	104	521	5	2	19	16	156	1	1	1	12.5	99.7
CIN	RB	6	119	428	3.6	3	26	21	138	1	1	1	16.6	99.6
