IND	RB	10	90	425	4.7	2	47	38	300	6	3	2	15.4	154.5
NYJ	RB	16	198	820	4.1	6	27	18	123	1	2	1	9.5	152.3
CAR	RB	13	175	809	4.6	3	31	25	181	1	2	1	11.2	146
PHI	RB	15	57	329	5.8	6	62	40	387	0	4	1	9.7	145.6
LAC	RB	14	160	582	3.6	3	45	36	271	1	0	0	10.4	145.3
NYG	RB	16	217	721	3.3	7	37	18	130	0	1	0	9.1	145.1
ATL	RB	15	190	707	3.7	6	27	20	148	0	0	0	9.4	141.5
NYG	RB	11	167	639	3.8	4	41	30	226	0	1	1	12.6	138.5
LAR	RB	12	179	765	4.3	4	26	16	148	1	2	1	11.3	135.3
WAS	RB	14	40	216	5.4	1	47	42	477	2	2	1	9.1	127.3
LAR	RB	16	66	246	3.7	3	53	45	352	1	2	2	7.8	124.8
NO	RB	11	45	222	4.9	2	55	45	378	1	0	0	11.2	123
CLE	RB	16	148	607	4.1	8	14	9	87	0	3	2	7.6	122.4
LV	RB	16	155	534	3.4	2	56	36	212	0	1	1	7.5	120.6
IND	RB	15	159	519	3.3	3	34	27	229	0	2	1	7.9	117.8
NYJ	RB	16	155	663	4.3	1	34	24	151	1	1	1	7.2	115.4
KC	RB	16	134	463	3.5	6	25	16	147	1	4	2	7.2	115
JAX	RB	13	135	582	4.3	4	31	23	124	0	2	2	8.7	113.6
CLE	RB	14	171	673	3.9	4	13	11	64	1	2	1	8	112.7
TB	RB	15	94	406	4.3	1	45	33	315	1	3	3	7.4	111.1
DET	RB	11	76	297	3.9	2	56	40	253	0	0	0	9.7	107
DEN	RB	8	106	434	4.1	3	34	21	139	1	1	0	12.8	102.3
NE	RB	16	125	547	4.4	5	12	10	54	0	1	1	6.1	98.1
HOU	RB	16	169	528	3.1	2	18	15	113	1	0	0	6.1	97.1
TEN	RB	16	152	569	3.7	2	23	18	133	0	2	2	6	96.2
DET	RB	14	20	51	2.6	0	50	34	316	4	0	0	6.8	94.7
MIN	RB	11	113	538	4.8	0	41	27	135	0	0	0	8.6	94.3
ATL	RB	16	65	248	3.8	1	38	30	225	1	1	1	5.5	87.3
LV	RB	15	82	424	5.2	2	23	17	143	0	1	0	5.7	85.7
JAX	RB	14	102	326	3.2	2	24	20	186	0	1	1	5.8	81.2
TB	RB	11	135	494	3.7	2	20	13	64	0	0	0	7.3	80.8
ATL	RB	16	58	217	3.7	1	40	29	173	1	1	0	5	80
ATL	RB	10	23	144	6.3	2	15	13	222	3	1	1	7.8	77.6
GB	RB	16	85	333	3.9	2	29	18	140	0	1	0	4.8	77.3
MIN	RB	11	119	370	3.1	4	12	9	60	0	0	0	6.9	76
LV	FB	15	21	85	4	0	59	37	265	1	1	1	5.1	76
SEA	RB	16	74	310	4.2	0	20	16	186	2	1	1	4.7	75.6
IND	RB	16	78	351	4.5	1	26	21	173	0	2	2	4.7	75.4
JAX	RB	16	32	186	5.8	1	37	25	198	1	0	0	4.7	75.4
SF	RB	14	83	333	4	4	16	12	68	0	1	1	5.3	74.1
NE	RB	8	89	412	4.6	5	3	1	7	0	0	0	9.1	72.9
NO	RB	15	10	32	3.2	0	51	38	296	1	2	2	4.9	72.8
LAC	RB	13	85	223	2.6	0	41	29	211	0	0	0	5.6	72.4
BAL	RB	13	68	292	4.3	4	10	8	114	0	1	1	5.4	70.6
BUF	RB	16	105	432	4.1	2	9	8	49	0	1	0	4.3	68.1
LAC	RB	6	74	330	4.5	3	10	9	69	0	1	0	11.2	66.9
ARI	RB	14	63	208	3.3	1	15	11	79	3	0	0	4.7	65.7
BUF	RB	9	77	299	3.9	0	22	19	125	1	3	1	7.3	65.4
NO	RB	10	76	362	4.8	3	11	8	63	0	2	2	6.4	64.5
LAR	RB	13	76	293	3.9	1	23	18	152	0	2	2	5	64.5
TEN	RB	14	40	131	3.3	0	36	26	197	1	1	1	4.5	62.8
TB	RB	8	66	185	2.8	1	27	19	190	0	2	1	7.6	60.5
MIA	RB	16	36	122	3.4	0	27	21	187	1	0	0	3.6	57.9
DAL	RB	16	51	343	6.7	3	5	4	23	0	2	2	3.4	54.6
MIA	RB	12	44	168	3.8	2	19	13	121	0	1	1	4.5	53.9
TEN	RB	16	13	57	4.4	0	31	22	159	2	3	1	3.4	53.6
NE	RB	6	94	340	3.6	2	5	4	20	0	0	0	8.7	52
DEN	RB	15	54	272	5	3	7	4	25	0	1	0	3.4	51.7
TEN	RB	13	94	392	4.2	2	3	1	13	0	1	1	4	51.5
WAS	FB	16	9	22	2.4	3	14	11	81	2	0	0	3.2	51.3
BAL	RB	13	93	363	3.9	2	6	2	13	0	1	1	3.8	49.6
DAL	RB	16	29	99	3.4	0	22	18	217	0	0	0	3.1	49.6
SF	FB	16	6	9	1.5	0	25	18	189	2	1	1	3	47.8
PHI	RB	14	46	172	3.7	4	3	2	16	0	1	0	3.2	44.8
BUF	RB	7	36	126	3.5	0	25	16	176	0	1	1	6.3	44.2
NYJ	RB	15	33	141	4.3	1	15	11	92	0	0	0	2.7	40.3
BAL	FB	16	0	0	0	0	27	19	182	1	2	2	2.4	39.2
CAR	RB	10	32	145	4.5	1	6	5	60	1	0	0	3.8	37.5
DEN	RB	5	55	172	3.1	1	13	9	62	0	1	1	7.3	36.4
WAS	RB	15	16	75	4.7	1	10	8	107	0	1	0	2.1	32.2
NYG	RB	9	26	115	4.4	0	16	10	87	0	0	0	3.4	30.2
HOU	RB	16	39	153	3.9	0	8	6	86	0	0	0	1.9	29.9
CAR	RB	6	63	219	3.5	0	6	5	44	0	1	1	4.9	29.3
CAR	FB	8	37	78	2.1	0	17	12	93	0	0	0	3.6	29.1
ARI	RB	4	53	246	4.6	0	6	2	11	0	1	0	6.9	27.7
LV	RB	12	43	96	2.2	0	16	11	71	0	1	0	2.3	27.7
CHI	RB	14	36	158	4.4	0	6	5	57	0	0	0	1.9	26.5
KC	RB	2	1	3	3	0	7	6	64	2	0	0	12.4	24.7
MIN	RB	15	21	88	4.2	0	11	9	62	0	0	0	1.6	24
KC	FB	16	2	8	4	0	14	10	71	1	0	0	1.5	23.9
ARI	FB	16	7	11	1.6	0	12	8	140	0	0	0	1.4	23.1
MIA	RB	3	31	148	4.8	1	1	1	8	0	0	0	7.5	22.6
JAX	RB	6	29	86	3	2	1	1	-4	0	0	0	3.5	21.2
ATL	FB	16	0	0	0	0	14	9	62	1	0	0	1.3	21.2
GB	FB	16	24	85	3.5	1	4	4	23	0	0	0	1.3	20.8
IND	RB	6	10	18	1.8	0	6	6	68	1	0	0	3.4	20.6
CIN	RB	9	9	27	3	1	10	7	49	0	0	0	2.3	20.6
ARI	RB	10	15	41	2.7	1	11	7	29	0	0	0	2	20
