NYG	RB	14	221	1015	4.6	6	31	23	245	0	3	3	12.8	179
ATL	RB	16	222	800	3.6	10	30	19	128	1	3	1	11	175.8
CIN	RB	15	278	1094	3.9	6	29	22	104	0	3	2	11.6	173.8
NE	RB	16	76	301	4	4	55	40	446	3	1	0	9.8	156.7
DET	RB	16	82	414	5	3	69	52	485	0	2	2	9.7	155.9
LV	RB	12	216	707	3.3	2	63	42	258	1	2	2	12.7	152.5
DAL	RB	10	161	663	4.1	4	42	35	251	0	3	2	14.6	146.4
CAR	RB	16	173	737	4.3	5	20	13	187	2	2	2	9	143.4
ATL	RB	16	94	362	3.9	1	59	53	402	1	0	0	8.8	141.4
DEN	RB	10	167	731	4.4	4	33	26	221	0	5	4	13.9	139.2
LAC	RB	12	184	707	3.8	1	57	39	252	0	2	2	11.4	136.9
LV	FB	16	59	271	4.6	0	73	52	496	1	2	0	8.4	134.7
NO	RB	15	105	473	4.5	1	53	39	354	1	0	0	8.9	133.7
IND	RB	16	211	814	3.9	2	27	17	152	1	3	0	8.2	131.6
DAL	RB	16	111	402	3.6	3	36	25	262	2	2	2	7.3	117.4
BUF	RB	10	115	437	3.8	3	42	34	217	1	5	4	11.5	115.4
CAR	FB	16	54	183	3.4	7	39	27	268	0	0	0	7.1	114.1
DEN	RB	8	138	525	3.8	4	26	21	167	0	1	1	14	112.2
NYG	RB	10	73	385	5.3	8	17	12	86	0	0	0	10.9	109.1
LAC	RB	14	46	220	4.8	0	60	49	371	0	0	0	7.7	108.1
KC	RB	16	12	70	5.8	0	76	52	452	1	2	2	6.6	106.2
NO	RB	16	156	602	3.9	5	10	6	29	0	0	0	6.2	99.1
PIT	RB	13	156	623	4	2	25	18	106	0	2	2	7.6	98.9
NYJ	RB	14	110	437	4	4	36	17	140	0	0	0	7	98.7
PHI	RB	16	115	564	4.9	4	19	13	56	0	4	3	5.8	93
PIT	RB	14	110	410	3.7	2	23	19	244	0	3	3	6.5	90.4
ARI	RB	14	110	356	3.2	4	30	17	106	0	0	0	6.2	87.2
CHI	RB	13	114	411	3.6	5	11	9	83	0	1	1	6.6	86.4
LAR	RB	16	98	475	4.8	0	36	24	163	0	3	2	5.4	85.8
MIA	RB	12	91	325	3.6	4	22	15	156	0	3	2	6.9	83.1
LAC	FB	16	95	311	3.3	3	15	15	108	1	0	0	5.1	80.9
CAR	RB	9	93	336	3.6	1	23	17	157	1	2	0	8.7	78.3
GB	RB	12	135	464	3.4	0	29	18	125	0	1	0	6.4	76.9
JAX	RB	6	86	414	4.8	1	18	14	86	1	2	0	12.7	76
KC	RB	16	59	233	3.9	2	30	24	158	0	2	1	4.6	73.1
SEA	RB	16	80	354	4.4	0	23	19	181	0	0	0	4.5	72.5
JAX	RB	10	101	283	2.8	2	26	19	130	0	3	1	7.2	72.3
NYG	RB	16	71	358	5	4	9	4	34	1	1	1	4.4	71.2
BAL	RB	16	108	532	4.9	1	11	7	47	0	0	0	4.4	70.9
NE	RB	13	62	251	4	3	13	8	149	1	1	1	5.4	70
IND	RB	10	108	417	3.9	1	13	9	93	0	0	0	6.8	68
LV	RB	12	35	221	6.3	0	16	16	195	1	0	0	5.3	63.6
SF	RB	11	72	371	5.2	2	12	9	60	0	1	1	5.6	62.1
ATL	RB	16	18	63	3.5	0	35	31	203	1	1	1	3.8	61.6
ARI	RB	8	88	234	2.7	5	1	1	24	0	1	1	6.8	54.8
GB	RB	5	71	248	3.5	1	15	14	97	0	1	0	10.9	54.5
MIN	RB	16	50	169	3.4	1	27	20	155	0	2	2	3.4	54.4
ARI	RB	13	60	217	3.6	0	25	19	132	0	2	0	4.1	53.9
HOU	RB	11	65	279	4.3	2	11	11	49	0	1	1	4.9	53.8
DEN	RB	14	85	330	3.9	1	12	10	62	0	2	1	3.8	53.2
HOU	RB	16	63	374	5.9	1	5	3	38	0	0	0	3.1	50.2
CIN	RB	14	36	258	7.2	1	9	9	85	0	0	0	3.5	49.3
KC	RB	13	85	309	3.6	1	14	10	62	0	2	2	3.8	49.1
JAX	FB	13	42	209	5	1	10	8	113	0	0	0	3.7	48.2
WAS	RB	16	23	88	3.8	2	23	15	109	0	0	0	2.9	46.7
BAL	RB	16	9	32	3.6	1	24	21	143	0	0	0	2.8	44.5
CLE	RB	15	8	30	3.8	0	32	24	187	0	1	1	2.9	43.7
DET	RB	12	37	134	3.6	1	16	10	79	1	0	0	3.6	43.3
NE	RB	10	56	274	4.9	2	2	2	11	0	0	0	4.2	42.5
SEA	RB	16	12	49	4.1	0	15	13	126	2	0	0	2.7	42.5
GB	FB	14	23	63	2.7	1	18	15	148	0	0	0	3	42.1
MIA	RB	13	51	250	4.9	1	9	6	45	0	0	0	3.2	41.5
PIT	RB	16	26	102	3.9	2	22	14	60	0	4	1	2.5	40.2
DEN	RB	15	42	158	3.8	1	11	7	61	1	1	1	2.6	38.9
GB	RB	6	71	255	3.6	1	6	4	31	0	1	0	6.4	38.6
MIA	FB	16	13	13	1	2	12	11	79	1	3	1	2.4	38.2
PIT	RB	6	51	182	3.6	0	11	9	62	1	3	1	6.2	37.4
