"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","K.Cousins","","46","0.305","0.535","0.535","60.9%","77.5","63.1","14.4","11.5"
"2","T.Lawrence","","46","0.229","0.461","0.461","58.7%","71.4","66.9","4.5","7.1"
"3","B.Purdy","","27","0.244","0.436","0.436","59.3%","80.0","71.5","8.5","5.5"
"4","J.Goff","","41","0.207","0.415","0.415","53.7%","75.0","72.1","2.9","7.0"
"5","J.Hurts","","44","0.198","0.366","0.366","50.0%","67.7","63.8","3.9","9.6"
"6","D.Mills","","22","0.241","0.272","0.272","59.1%","88.9","71.7","17.2","7.2"
"7","M.Trubisky","","33","0.200","0.248","0.228","60.6%","73.3","61.9","11.4","10.9"
"8","P.Mahomes","","44","0.088","0.141","0.131","47.7%","66.7","68.2","-1.5","7.0"
"9","J.Herbert","","59","0.128","0.108","0.108","44.1%","81.3","73.3","8.0","5.1"
"10","B.Mayfield","","44","0.036","0.068","0.068","38.6%","64.7","70.7","-6.0","8.6"
"11","J.Burrow","","43","-0.007","0.065","0.065","48.8%","56.3","69.9","-13.7","7.1"
"12","M.White","","47","0.052","0.040","0.040","42.6%","65.9","67.1","-1.3","8.0"
"13","G.Smith","","43","0.067","0.083","0.039","46.5%","58.3","59.7","-1.4","10.9"
"14","R.Wilson","","49","0.044","0.098","0.029","38.8%","65.7","72.3","-6.6","4.5"
"15","S.Darnold","","29","0.062","0.001","0.001","44.8%","70.0","66.9","3.1","4.3"
"16","D.Carr","","25","-0.007","-0.003","-0.003","40.0%","57.9","67.2","-9.3","10.0"
"17","D.Watson","","51","0.050","-0.005","-0.005","51.0%","68.4","67.3","1.1","7.0"
"18","D.Prescott","","45","-0.004","-0.008","-0.024","46.7%","61.5","69.9","-8.4","8.4"
"19","D.Jones","","36","0.028","-0.041","-0.041","50.0%","66.7","67.7","-1.0","6.2"
"20","R.Tannehill","","47","0.047","-0.015","-0.051","51.1%","65.8","64.6","1.2","9.2"
"21","T.Huntley","","21","0.037","-0.062","-0.062","38.1%","66.7","65.3","1.3","6.8"
"22","J.Allen","","43","-0.025","-0.101","-0.101","39.5%","59.3","68.3","-9.1","8.3"
"23","M.Jones","","40","0.012","-0.088","-0.101","40.0%","72.7","75.3","-2.6","5.0"
"24","T.Tagovailoa","","35","-0.111","-0.126","-0.126","37.1%","41.7","66.2","-24.6","12.4"
"25","T.Brady","","58","0.018","-0.208","-0.235","37.9%","66.7","68.1","-1.4","6.6"
"26","C.McCoy","","57","0.021","-0.323","-0.323","38.6%","67.5","69.4","-1.9","7.5"
