"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","J.Allen","","36","0.330","0.807","0.787","55.6%","64.5","59.9","4.7","13.5"
"2","J.Garoppolo","","36","0.211","0.587","0.587","50.0%","60.0","65.4","-5.4","7.8"
"3","D.Jones","","37","0.261","0.443","0.443","59.5%","80.8","69.5","11.3","5.3"
"4","J.Fields","","33","0.199","0.398","0.398","51.5%","71.4","69.0","2.4","8.2"
"5","D.Carr","","37","0.212","0.336","0.336","40.5%","70.4","62.4","8.0","11.0"
"6","P.Mahomes","","51","0.178","0.336","0.336","56.9%","69.0","67.1","2.0","6.5"
"7","K.Cousins","","46","0.216","0.361","0.331","63.0%","84.2","76.7","7.5","4.4"
"8","J.Brissett","","39","0.184","0.300","0.300","53.8%","65.6","60.6","5.0","9.3"
"9","B.Zappe","","28","0.228","0.298","0.298","53.6%","81.0","67.7","13.2","8.7"
"10","T.Brady","","54","0.160","0.291","0.291","57.4%","70.0","68.7","1.3","6.8"
"11","G.Smith","","34","0.149","0.246","0.246","47.1%","66.7","64.4","2.3","12.5"
"12","Z.Wilson","","26","0.129","0.218","0.218","53.8%","66.7","66.1","0.6","9.4"
"13","J.Herbert","","40","0.120","0.198","0.198","50.0%","66.7","66.4","0.3","5.4"
"14","K.Murray","","45","0.127","0.194","0.194","55.6%","73.7","71.9","1.8","7.7"
"15","A.Rodgers","","43","0.091","0.163","0.163","51.2%","64.1","66.6","-2.5","7.5"
"16","J.Hurts","","53","0.107","0.154","0.154","60.4%","76.5","75.4","1.1","3.6"
"17","A.Dalton","","29","0.050","0.036","0.036","51.7%","66.7","68.1","-1.4","7.5"
"18","M.Mariota","","39","0.022","0.034","0.034","38.5%","58.3","64.7","-6.4","8.9"
"19","J.Burrow","","44","0.045","0.024","0.009","47.7%","70.6","72.1","-1.5","3.4"
"20","C.Wentz","","49","0.055","0.005","0.005","46.9%","67.6","66.1","1.5","9.4"
"21","K.Pickett","","59","0.036","-0.065","-0.065","49.2%","66.7","65.3","1.4","7.1"
"22","R.Tannehill","","35","0.066","-0.072","-0.072","42.9%","65.2","58.3","6.9","9.0"
"23","D.Mills","","27","0.020","-0.074","-0.074","40.7%","66.7","67.9","-1.3","5.9"
"24","T.Lawrence","","51","-0.033","-0.099","-0.110","41.2%","56.8","67.3","-10.5","9.6"
"25","L.Jackson","","46","0.050","-0.114","-0.114","43.5%","70.4","65.7","4.6","9.4"
"26","R.Wilson","","46","-0.020","-0.213","-0.213","43.5%","55.3","63.7","-8.4","9.8"
"27","S.Thompson","","39","0.008","-0.207","-0.244","46.2%","59.4","62.6","-3.2","6.9"
"28","M.Ryan","","52","0.045","-0.260","-0.280","42.3%","72.2","69.2","3.0","6.9"
"29","B.Mayfield","","43","-0.022","-0.219","-0.287","32.6%","58.8","67.7","-8.8","7.8"
"30","M.Stafford","","48","0.020","-0.236","-0.330","37.5%","70.0","71.2","-1.2","7.7"
"31","C.Rush","","20","0.006","-0.375","-0.375","30.0%","62.5","67.6","-5.1","7.3"
"32","J.Goff","","41","0.039","-0.402","-0.499","36.6%","61.3","60.6","0.7","8.8"
