"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Patrick Mahomes II",KC,"QB1","1","2","1.7","0.5","-"
"2",1,"Christian McCaffrey",SF,"RB1","1","6","1.9","1.4","-"
"3",1,"Kyler Murray",ARI,"QB2","3","17","5.3","3.8","-"
"4",2,"Alvin Kamara",NO,"RB2","4","9","6.0","1.7","-"
"5",2,"Saquon Barkley",NYG,"RB3","4","16","7.9","3.0","-"
"6",2,"Dalvin Cook",MIN,"RB4","4","23","8.2","5.4","-"
"7",2,"Davante Adams",LV,"WR1","5","15","8.8","3.5","-"
"8",2,"Lamar Jackson",BAL,"QB3","3","31","11.5","7.7","-"
"9",2,"Deshaun Watson",CLE,"QB4","4","22","11.9","4.2","-"
"10",3,"Tyreek Hill",MIA,"WR2","8","19","12.5","3.2","-"
"11",3,"Dak Prescott",DAL,"QB5","4","29","15.1","7.5","-"
"12",3,"Josh Allen",BUF,"QB6","6","35","15.1","8.1","-"
"13",3,"DK Metcalf",SEA,"WR3","8","40","15.3","7.8","-"
"14",3,"Russell Wilson",DEN,"QB7","3","31","17.1","8.5","-"
"15",3,"Derrick Henry",TEN,"RB5","8","33","17.9","6.8","-"
"16",3,"DeAndre Hopkins",ARI,"WR4","8","33","18.2","7.0","-"
"17",3,"Nick Chubb",CLE,"RB6","5","32","18.9","6.3","-"
"18",4,"A.J. Brown",PHI,"WR5","12","38","20.8","8.3","-"
"19",4,"Jonathan Taylor",IND,"RB7","9","37","20.9","8.5","-"
"20",4,"Michael Thomas",NO,"WR6","8","47","21.2","9.9","-"
"21",4,"Ezekiel Elliott",FA,"RB8","5","45","22.3","10.8","-"
"22",4,"George Kittle",SF,"TE1","18","39","25.1","6.6","-"
"23",4,"Miles Sanders",CAR,"RB9","9","42","25.6","9.5","-"
"24",4,"Travis Kelce",KC,"TE2","18","41","26.1","7.3","-"
"25",4,"Calvin Ridley",JAC,"WR7","13","48","26.6","8.6","-"
"26",4,"Josh Jacobs",LV,"RB10","12","52","29.2","10.5","-"
"27",5,"Joe Burrow",CIN,"QB8","16","35","29.6","4.4","-"
"28",5,"Chris Godwin",TB,"WR8","18","42","30.5","8.3","-"
"29",5,"Clyde Edwards-Helaire",KC,"RB11","11","55","32.1","11.3","-"
"30",5,"Justin Jefferson",MIN,"WR9","15","88","32.9","19.5","-"
"31",5,"Justin Herbert",LAC,"QB9","9","95","33.0","21.9","-"
"32",5,"Aaron Jones",GB,"RB12","20","55","33.5","11.2","-"
"33",5,"D'Andre Swift",PHI,"RB13","12","65","35.2","16.2","-"
"34",5,"Stefon Diggs",BUF,"WR10","18","70","35.4","13.1","-"
"35",5,"Terry McLaurin",WAS,"WR11","26","54","36.1","6.3","-"
"36",5,"Aaron Rodgers",NYJ,"QB10","17","61","37.9","9.9","-"
"37",5,"CeeDee Lamb",DAL,"WR12","22","52","38.0","8.2","-"
"38",5,"J.K. Dobbins",BAL,"RB14","20","70","40.4","15.2","-"
"39",5,"Joe Mixon",CIN,"RB15","13","62","40.9","16.3","-"
"40",5,"DJ Moore",CHI,"WR13","30","49","40.9","5.0","-"
"41",5,"Amari Cooper",CLE,"WR14","34","47","41.0","4.3","-"
"42",5,"Allen Robinson II",PIT,"WR15","25","52","41.4","6.8","-"
"43",6,"Austin Ekeler",LAC,"RB16","24","64","42.4","10.3","-"
"44",6,"Keenan Allen",LAC,"WR16","32","69","45.4","8.3","-"
"45",6,"Kenny Golladay",FA,"WR17","34","54","45.9","5.5","-"
"46",6,"Antonio Gibson",WAS,"RB17","27","97","47.5","18.6","-"
"47",6,"Mike Evans",TB,"WR18","32","72","47.7","9.1","-"
"48",6,"Ryan Tannehill",TEN,"QB11","31","85","48.0","12.8","-"
"49",6,"Tua Tagovailoa",MIA,"QB12","35","75","50.5","9.6","-"
"50",6,"JuJu Smith-Schuster",NE,"WR19","27","91","52.2","11.8","-"
"51",6,"Baker Mayfield",TB,"QB13","39","93","56.6","13.9","-"
"52",6,"Matt Ryan",FA,"QB14","39","75","57.1","9.8","-"
"53",6,"Jared Goff",DET,"QB15","35","82","58.0","12.1","-"
"54",7,"Matthew Stafford",LAR,"QB16","44","81","59.6","9.1","-"
"55",7,"Cooper Kupp",LAR,"WR20","51","77","60.0","8.0","-"
"56",7,"Jerry Jeudy",DEN,"WR21","49","77","61.0","7.8","-"
"57",7,"Darren Waller",NYG,"TE3","30","107","61.0","19.9","-"
"58",7,"Julio Jones",FA,"WR22","41","86","61.0","13.2","-"
"59",7,"Cam Akers",LAR,"RB18","41","100","61.3","14.2","-"
"60",7,"Mark Andrews",BAL,"TE4","30","84","62.3","14.3","-"
"61",7,"Tee Higgins",CIN,"WR23","37","116","63.5","25.5","-"
"62",7,"Carson Wentz",FA,"QB17","29","117","65.0","20.3","-"
"63",7,"Courtland Sutton",DEN,"WR24","47","82","65.2","9.0","-"
"64",7,"DJ Chark Jr.",CAR,"WR25","49","88","65.5","10.5","-"
"65",7,"Kareem Hunt",FA,"RB19","32","82","65.9","9.8","-"
"66",7,"David Montgomery",DET,"RB20","37","84","67.5","10.7","-"
"67",7,"Tyler Lockett",SEA,"WR26","46","90","67.9","14.0","-"
"68",7,"Diontae Johnson",PIT,"WR27","42","120","70.0","21.4","-"
"69",7,"Odell Beckham Jr.",BAL,"WR28","37","91","71.2","15.8","-"
"70",7,"Robert Woods",HOU,"WR29","40","90","71.8","13.2","-"
"71",7,"Chris Carson",FA,"RB21","55","84","72.2","8.2","-"
"72",7,"T.J. Hockenson",MIN,"TE5","54","99","75.4","11.8","-"
"73",7,"Daniel Jones",NYG,"QB18","44","112","76.6","18.8","-"
"74",7,"Tyler Boyd",CIN,"WR30","58","94","77.6","10.8","-"
"75",8,"Deebo Samuel",SF,"WR31","66","103","80.1","9.6","-"
"76",8,"Kenyan Drake",FA,"RB22","41","114","81.3","15.8","-"
"77",8,"Kirk Cousins",MIN,"QB19","63","117","81.8","16.2","-"
"78",8,"Noah Fant",SEA,"TE6","67","100","81.8","9.8","-"
"79",8,"Ronald Jones II",DAL,"RB23","60","107","82.0","11.3","-"
"80",8,"Brandon Aiyuk",SF,"WR32","51","141","83.0","23.5","-"
