"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Rivers","","35","0.461","0.999","0.999","62.9%","81.8","63.7","18.1","9.3"
"2","C.Keenum","","37","0.275","0.558","0.558","56.8%","70.0","62.2","7.8","10.5"
"3","M.Ryan","","35","0.288","0.484","0.484","57.1%","78.8","64.7","14.0","8.2"
"4","T.Siemian","","25","0.192","0.466","0.466","40.0%","55.0","57.4","-2.4","11.0"
"5","B.Hundley","","32","0.182","0.402","0.402","46.9%","68.0","68.9","-0.9","5.1"
"6","A.Dalton","","33","0.209","0.361","0.361","57.6%","69.2","63.1","6.1","6.3"
"7","B.Roethlisberger","","51","0.201","0.304","0.298","60.8%","73.3","65.4","7.9","6.8"
"8","D.Carr","","29","0.227","0.321","0.291","51.7%","75.0","63.3","11.7","8.3"
"9","C.Wentz","","46","0.139","0.254","0.254","50.0%","63.9","64.0","-0.1","8.1"
"10","R.Wilson","","44","0.160","0.251","0.251","50.0%","60.6","56.8","3.8","10.0"
"11","J.Goff","","51","0.162","0.244","0.244","47.1%","66.7","61.9","4.8","8.0"
"12","D.Kizer","","44","0.139","0.156","0.156","40.9%","62.1","55.3","6.8","12.5"
"13","R.Fitzpatrick","","50","0.079","0.116","0.116","52.0%","61.4","62.8","-1.4","7.8"
"14","T.Taylor","","38","0.082","0.066","0.066","42.1%","65.5","63.0","2.5","8.1"
"15","T.Brady","","34","0.127","0.182","0.050","47.1%","64.3","61.6","2.7","8.1"
"16","B.Bortles","","46","0.007","0.046","0.046","54.3%","59.4","69.2","-9.8","7.9"
"17","C.Newton","","44","-0.018","0.043","0.043","31.8%","39.3","53.5","-14.2","12.7"
"18","T.Savage","","42","0.050","0.081","0.039","45.2%","59.5","63.8","-4.4","7.5"
"19","J.McCown","","43","0.051","0.087","-0.016","46.5%","54.5","59.1","-4.5","10.8"
"20","M.Mariota","","28","0.048","-0.040","-0.040","39.3%","70.8","68.3","2.6","7.4"
"21","D.Brees","","41","0.054","-0.046","-0.046","43.9%","68.8","64.8","3.9","8.4"
"22","B.Gabbert","","46","-0.001","-0.039","-0.084","43.5%","59.5","65.7","-6.3","9.2"
"23","M.Stafford","","43","-0.016","-0.059","-0.094","37.2%","57.1","65.5","-8.4","8.8"
"24","M.Moore","","43","0.033","-0.132","-0.132","44.2%","69.7","68.0","1.7","5.9"
"25","J.Flacco","","39","-0.003","-0.155","-0.155","38.5%","62.5","67.4","-4.9","8.2"
"26","K.Cousins","","40","0.005","-0.073","-0.160","47.5%","63.3","67.5","-4.2","7.5"
"27","A.Smith","","43","0.005","-0.175","-0.212","46.5%","65.7","69.3","-3.5","4.7"
"28","J.Brissett","","42","-0.002","-0.205","-0.249","38.1%","63.0","68.1","-5.1","5.6"
"29","M.Trubisky","","41","-0.020","-0.284","-0.319","36.6%","53.1","62.2","-9.1","8.6"
"30","C.Beathard","","49","0.033","-0.352","-0.352","34.7%","61.1","61.1","-0.0","7.6"
"31","D.Prescott","","34","0.097","-0.215","-0.439","44.1%","80.0","67.1","12.9","8.4"
"32","E.Manning","","33","-0.033","-0.594","-0.594","24.2%","50.0","64.2","-14.2","7.3"
"33","P.Lynch","","21","0.041","-0.611","-0.726","19.0%","64.3","65.2","-0.9","6.5"
