"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Rivers","","41","0.295","0.544","0.544","58.5%","77.8","65.7","12.1","8.8"
"2","T.Taylor","","38","0.210","0.370","0.370","47.4%","70.4","64.5","5.9","7.6"
"3","M.Stafford","","35","0.181","0.326","0.326","54.3%","69.0","65.9","3.0","8.1"
"4","D.Brees","","33","0.193","0.286","0.286","51.5%","73.3","65.7","7.6","8.3"
"5","J.Garoppolo","","34","0.140","0.330","0.277","47.1%","60.6","65.2","-4.6","8.1"
"6","D.Kizer","","44","0.102","0.256","0.256","40.9%","53.3","60.2","-6.9","9.6"
"7","J.Winston","","58","0.109","0.213","0.212","51.7%","56.0","58.7","-2.7","11.7"
"8","P.Mahomes","","43","0.132","0.191","0.191","53.5%","64.7","61.6","3.1","7.7"
"9","M.Ryan","","47","0.088","0.153","0.153","44.7%","66.7","69.1","-2.4","6.7"
"10","A.Dalton","","48","0.037","0.115","0.115","41.7%","56.1","65.1","-9.0","7.0"
"11","J.Brissett","","31","0.063","0.114","0.114","38.7%","62.5","66.7","-4.2","6.5"
"12","T.Brady","","44","0.008","0.107","0.107","50.0%","50.0","63.8","-13.8","8.7"
"13","C.Keenum","","38","0.117","0.105","0.105","42.1%","75.0","68.8","6.2","7.5"
"14","T.Yates","","29","0.070","0.088","0.088","44.8%","60.9","62.0","-1.1","9.3"
"15","D.Stanton","","38","-0.026","0.010","0.010","39.5%","45.5","58.9","-13.4","10.9"
"16","D.Prescott","","37","0.022","-0.004","-0.004","35.1%","56.7","60.6","-4.0","7.3"
"17","D.Fales","","50","0.063","-0.006","-0.006","44.0%","70.7","67.1","3.7","5.8"
"18","R.Wilson","","41","0.026","-0.022","-0.022","36.6%","64.3","66.5","-2.2","6.2"
"19","L.Jones","","31","0.135","-0.039","-0.039","45.2%","85.2","66.8","18.4","7.9"
"20","B.Petty","","40","-0.032","-0.048","-0.048","35.0%","52.8","64.4","-11.7","8.3"
"21","P.Lynch","","39","0.075","-0.010","-0.109","53.8%","67.7","61.8","6.0","9.3"
"22","D.Carr","","33","0.056","-0.173","-0.173","39.4%","70.4","64.6","5.7","7.8"
"23","M.Mariota","","34","-0.025","-0.057","-0.246","47.1%","57.1","67.2","-10.0","7.7"
"24","S.Mannion","","41","-0.007","-0.246","-0.246","31.7%","58.8","65.2","-6.4","7.4"
"25","C.Newton","","47","-0.074","-0.253","-0.267","38.3%","42.4","60.9","-18.5","10.1"
"26","B.Bortles","","37","-0.067","-0.270","-0.270","35.1%","44.1","61.6","-17.4","10.6"
"27","J.Flacco","","50","-0.050","-0.177","-0.315","40.0%","53.2","66.8","-13.6","6.8"
"28","N.Sudfeld","","29","0.114","-0.362","-0.362","37.9%","86.4","71.7","14.7","4.3"
"29","E.Manning","","32","-0.119","-0.339","-0.389","31.3%","35.7","63.3","-27.6","5.9"
"30","B.Hundley","","35","-0.007","-0.368","-0.412","42.9%","60.9","68.3","-7.4","6.2"
"31","M.Trubisky","","41","-0.015","-0.418","-0.418","29.3%","57.1","66.4","-9.3","6.5"
"32","K.Cousins","","41","-0.044","-0.501","-0.501","26.8%","54.1","69.5","-15.4","6.4"
