"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"374",15,"Andre Roberts",FA,"WR121","254","272","263.0","9.0","+19"
"375",15,"Dion Sims",FA,"TE51","286","299","293.3","5.4","-24"
"376",15,"Dennis Pitta",FA,"TE52","184","347","265.5","81.5","-"
"377",15,"Troy Niklas",FA,"TE53","209","324","266.5","57.5","-"
"378",15,"Stefon Diggs",BUF,"WR122","197","337","267.0","70.0","-"
"379",15,"Clay Harbor",FA,"TE54","274","323","297.3","20.1","-"
"380",15,"Jordan Norwood",FA,"WR123","187","393","290.0","103.0","-"
"381",15,"Johnny Manziel",FA,"QB37","218","419","329.0","72.0","-82"
"382",15,"Vick Ballard",FA,"RB104","190","379","284.5","94.5","-"
"383",15,"Ryan Mallett",FA,"QB38","225","422","330.8","70.1","-113"
"384",15,"Bruce Ellington",FA,"WR124","206","387","296.5","90.5","-"
"385",15,"Ryan Griffin",FA,"TE55","282","296","289.0","7.0","-"
"386",15,"Luke Willson",FA,"TE56","281","305","293.0","12.0","-"
"387",15,"Brandon Myers",FA,"TE57","269","318","293.5","24.5","-"
"388",15,"Levine Toilolo",FA,"TE58","272","318","295.0","23.0","-"
"389",15,"Stepfan Taylor",FA,"RB105","260","332","296.0","36.0","-"
"390",15,"Jesse James",FA,"TE59","270","326","298.0","28.0","-"
"391",15,"Rhett Ellison",FA,"TE60","296","337","316.7","16.7","-"
"392",15,"Bobby Rainey",FA,"RB106","245","362","303.5","58.5","-146"
"393",15,"Marcel Reece",FA,"RB107","246","380","313.0","67.0","-"
"394",15,"Michael Campanaro",FA,"WR125","255","349","302.0","47.0","-"
"395",15,"Ed Dickson",FA,"TE61","301","305","303.0","2.0","-"
"396",15,"Brandon Pettigrew",FA,"TE62","275","333","304.0","29.0","+23"
"397",15,"Chris Givens",FA,"WR126","258","391","324.5","66.5","-"
"398",15,"Miles Austin",FA,"WR127","265","370","317.5","52.5","+9"
"399",15,"Gary Barnidge",FA,"TE63","300","327","313.5","13.5","+12"
"400",15,"Devin Hester",FA,"WR128","276","358","317.0","41.0","-41"
"401",15,"Vance McDonald",FA,"TE64","317","329","323.0","6.0","-"
"402",15,"Tyler Kroft",MIA,"TE65","320","326","323.0","3.0","+16"
"403",16,"C.J. Fiedorowicz",FA,"TE66","314","339","326.5","12.5","-"
"404",16,"Joseph Fauria",FA,"TE67","321","336","328.5","7.5","-22"
"405",16,"Cooper Helfet",FA,"TE68","328","329","328.5","0.5","-"
"406",16,"Chris Hogan",FA,"WR129","309","375","342.0","33.0","-40"
"407",16,"E.J. Manuel",FA,"QB39","334","420","366.3","38.2","-76"
"408",16,"Mark Sanchez",FA,"QB40","335","423","367.3","39.5","-112"
"409",16,"Donald Brown",FA,"RB108","330","402","366.0","36.0","-"
"410",16,"Jimmy Clausen",FA,"QB41","336","425","380.5","44.5","-83"
"411",16,"Chad Henne",FA,"QB42","337","435","386.0","49.0","-"
"412",16,"Dri Archer",FA,"RB109","338","388","363.0","25.0","-102"
"413",16,"Drew Stanton",FA,"QB43","338","427","382.5","44.5","-51"
"414",16,"Jamison Crowder",NYG,"WR130","339","385","362.0","23.0","-98"
"415",16,"Ricardo Lockette",FA,"WR131","340","395","367.5","27.5","-44"
"416",16,"Brock Osweiler",FA,"QB44","346","445","395.5","49.5","-111"
"417",16,"Storm Johnson",FA,"RB110","352","410","381.0","29.0","-"
