"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"David Johnson",FA,"RB1","1","2","1.1","0.4","0"
"2",1,"Le'Veon Bell",FA,"RB2","1","3","1.9","0.4","0"
"3",1,"Antonio Brown",FA,"WR1","2","7","3.5","0.7","0"
"4",1,"Julio Jones",FA,"WR2","3","14","5.4","1.9","0"
"5",2,"LeSean McCoy",FA,"RB3","3","19","6.5","3.6","0"
"6",2,"Odell Beckham Jr.",BAL,"WR3","4","13","6.7","2.0","0"
"7",2,"Melvin Gordon III",FA,"RB4","3","18","8.1","3.0","+1"
"8",2,"Mike Evans",TB,"WR4","4","18","9.0","2.7","+1"
"9",2,"A.J. Green",FA,"WR5","4","18","9.4","2.7","+1"
"10",2,"Devonta Freeman",FA,"RB5","3","28","9.6","3.5","-3"
"11",2,"Jordy Nelson",FA,"WR6","5","23","11.2","2.6","+1"
"12",3,"Jay Ajayi",FA,"RB6","5","27","11.9","3.8","+1"
"13",3,"DeMarco Murray",FA,"RB7","8","28","14.5","3.8","-2"
"14",3,"Jordan Howard",FA,"RB8","6","26","14.5","4.3","+1"
"15",3,"Michael Thomas",NO,"WR7","8","20","14.6","2.7","+2"
"16",3,"Todd Gurley II",FA,"RB9","10","37","18.0","4.6","+2"
"17",3,"Dez Bryant",FA,"WR8","10","38","18.5","4.4","+2"
"18",3,"Ezekiel Elliott",FA,"RB10","3","76","20.4","13.1","-4"
"19",4,"Amari Cooper",CLE,"WR9","14","44","21.8","4.6","+4"
"20",4,"Doug Baldwin",FA,"WR10","15","57","22.8","5.8","+5"
"21",4,"Brandin Cooks",DAL,"WR11","12","43","23.1","6.7","+1"
"22",4,"Rob Gronkowski",FA,"TE1","11","53","24.0","6.5","-2"
"23",4,"Isaiah Crowell",FA,"RB11","8","51","25.6","7.0","+7"
"24",4,"Leonard Fournette",FA,"RB12","14","59","25.7","8.8","0"
"25",4,"T.Y. Hilton",FA,"WR12","13","47","27.1","7.8","+3"
