"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","J.Winston","","25","0.394","0.913","0.913","68.0%","73.7","63.1","10.6","7.7"
"2","T.Bridgewater","","41","0.329","0.597","0.597","58.5%","80.0","64.6","15.4","8.6"
"3","M.Stafford","","29","0.282","0.574","0.574","51.7%","76.9","68.7","8.3","8.8"
"4","P.Mahomes","","44","0.316","0.544","0.544","56.8%","79.4","63.5","15.9","9.4"
"5","J.Garoppolo","","27","0.268","0.563","0.516","55.6%","77.3","71.0","6.2","7.4"
"6","T.Taylor","","40","0.208","0.440","0.440","52.5%","65.6","63.9","1.7","9.3"
"7","R.Wilson","","32","0.280","0.352","0.352","50.0%","85.7","66.2","19.5","9.9"
"8","J.Hurts","","44","0.233","0.342","0.342","59.1%","84.4","72.8","11.6","3.3"
"9","B.Mayfield","","32","0.238","0.312","0.312","53.1%","77.8","63.5","14.2","10.1"
"10","K.Murray","","41","0.185","0.304","0.304","41.5%","65.6","60.5","5.1","8.2"
"11","M.Jones","","44","0.191","0.282","0.282","54.5%","76.3","68.7","7.6","5.9"
"12","T.Brady","","50","0.168","0.285","0.280","56.0%","71.1","67.9","3.2","8.4"
"13","J.Burrow","","33","0.200","0.252","0.252","48.5%","76.9","65.8","11.1","8.5"
"14","T.Heinicke","","21","0.242","0.250","0.250","52.4%","78.6","59.7","18.9","8.7"
"15","D.Prescott","","70","0.163","0.221","0.218","55.7%","73.7","67.2","6.5","6.5"
"16","J.Herbert","","53","0.139","0.201","0.176","54.7%","67.4","63.8","3.6","8.0"
"17","K.Cousins","","59","0.146","0.172","0.172","44.1%","78.3","71.5","6.8","6.3"
"18","D.Carr","","65","0.087","0.166","0.155","47.7%","65.4","68.8","-3.4","10.4"
"19","D.Jones","","45","0.073","0.132","0.121","48.9%","61.1","64.8","-3.6","8.5"
"20","B.Roethlisberger","","38","0.015","0.079","0.079","50.0%","56.3","66.7","-10.5","6.1"
"21","T.Tagovailoa","","32","0.034","0.041","0.041","46.9%","59.3","63.8","-4.6","9.3"
"22","L.Jackson","","45","0.038","0.046","0.037","48.9%","65.5","69.7","-4.2","7.8"
"23","C.Wentz","","48","0.045","-0.020","-0.020","52.1%","71.4","70.3","1.1","5.2"
"24","S.Darnold","","39","0.095","-0.025","-0.025","43.6%","72.7","62.3","10.4","8.3"
"25","J.Goff","","69","0.020","-0.013","-0.057","46.4%","67.9","71.5","-3.7","6.2"
"26","T.Lawrence","","56","-0.038","-0.056","-0.075","41.1%","56.0","68.4","-12.4","8.4"
"27","J.Allen","","69","0.008","-0.084","-0.084","42.0%","62.5","65.9","-3.4","9.5"
"28","Z.Wilson","","45","-0.029","-0.089","-0.119","37.8%","55.6","65.4","-9.9","10.0"
"29","A.Dalton","","43","-0.002","-0.197","-0.228","55.8%","71.1","76.1","-5.0","4.3"
"30","R.Tannehill","","44","-0.008","-0.326","-0.387","47.7%","60.0","67.2","-7.2","7.7"
"31","A.Rodgers","","33","-0.009","-0.342","-0.401","39.4%","57.7","65.2","-7.5","9.2"
"32","M.Ryan","","45","-0.015","-0.410","-0.410","37.8%","63.6","72.9","-9.3","5.6"
