"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","T.Brady","","44","0.349","0.704","0.704","70.5%","76.9","63.4","13.5","10.8"
"2","J.Allen","","36","0.270","0.622","0.622","52.8%","62.5","59.0","3.5","12.4"
"3","D.Mills","","36","0.278","0.537","0.537","58.3%","77.8","68.5","9.3","8.8"
"4","J.Herbert","","52","0.185","0.510","0.510","50.0%","61.9","67.9","-6.0","9.0"
"5","M.Ryan","","48","0.249","0.496","0.496","58.3%","73.3","67.0","6.4","7.5"
"6","B.Roethlisberger","","28","0.176","0.504","0.448","53.6%","60.0","67.4","-7.4","7.7"
"7","R.Tannehill","","29","0.201","0.446","0.446","51.7%","66.7","66.5","0.2","7.1"
"8","C.Wentz","","44","0.220","0.435","0.410","52.3%","73.5","69.4","4.2","5.9"
"9","L.Jackson","","59","0.298","0.449","0.408","67.8%","86.0","68.3","17.8","7.2"
"10","M.Stafford","","38","0.238","0.396","0.370","55.3%","71.4","61.8","9.7","12.7"
"11","M.Jones","","33","0.249","0.369","0.369","60.6%","82.1","69.2","12.9","8.1"
"12","B.Mayfield","","36","0.204","0.286","0.286","44.4%","79.3","69.8","9.5","9.1"
"13","G.Smith","","21","0.152","0.278","0.278","47.6%","62.5","61.8","0.7","9.1"
"14","J.Winston","","38","0.139","0.328","0.275","47.4%","53.6","58.2","-4.7","12.2"
"15","A.Rodgers","","40","0.226","0.260","0.217","50.0%","77.1","61.9","15.2","9.4"
"16","D.Prescott","","39","0.153","0.237","0.213","53.8%","71.0","67.4","3.6","8.6"
"17","T.Bridgewater","","42","0.146","0.180","0.180","54.8%","68.6","62.3","6.3","8.9"
"18","K.Cousins","","37","0.124","0.121","0.102","48.6%","80.6","74.2","6.5","8.0"
"19","K.Murray","","38","0.139","0.101","0.101","52.6%","78.6","68.2","10.4","7.8"
"20","R.Wilson","","24","0.124","0.097","0.097","58.3%","68.8","60.8","8.0","11.9"
"21","J.Fields","","28","0.067","0.077","0.077","46.4%","63.2","64.1","-0.9","10.3"
"22","J.Brissett","","45","0.076","0.070","0.059","48.9%","69.2","68.2","1.1","6.4"
"23","T.Lawrence","","46","0.087","0.041","0.041","52.2%","69.7","64.7","5.0","7.6"
"24","D.Jones","","16","-0.051","0.007","0.007","37.5%","38.5","56.4","-17.9","14.8"
"25","J.Burrow","","45","0.067","0.025","-0.005","44.4%","70.3","67.8","2.5","8.2"
"26","P.Mahomes","","71","0.042","0.050","-0.017","54.9%","66.0","69.6","-3.6","6.1"
"27","Z.Wilson","","38","0.008","-0.055","-0.055","42.1%","61.3","65.4","-4.1","8.8"
"28","T.Heinicke","","52","-0.042","-0.148","-0.148","46.2%","48.8","60.8","-12.1","9.7"
"29","M.Glennon","","30","0.066","-0.015","-0.155","53.3%","69.6","65.0","4.6","8.8"
"30","D.Carr","","46","-0.013","-0.188","-0.188","37.0%","62.9","69.7","-6.8","9.1"
"31","J.Hurts","","51","-0.002","-0.192","-0.192","37.3%","64.7","69.6","-4.9","6.3"
"32","T.Lance","","52","-0.033","-0.198","-0.200","34.6%","53.6","64.3","-10.7","9.3"
"33","J.Goff","","43","0.020","-0.276","-0.329","39.5%","67.7","69.4","-1.7","7.5"
"34","S.Darnold","","43","0.010","-0.405","-0.406","41.9%","61.8","66.5","-4.7","7.4"
