"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","D.Prescott","","29","0.394","0.837","0.837","58.6%","77.8","63.2","14.6","8.4"
"2","R.Tannehill","","35","0.300","0.641","0.641","54.3%","71.9","64.0","7.9","10.2"
"3","T.Brady","","38","0.279","0.470","0.470","57.9%","80.6","67.4","13.1","7.1"
"4","J.Goff","","31","0.211","0.344","0.344","51.6%","77.8","70.4","7.4","6.9"
"5","K.Cousins","","26","0.169","0.272","0.272","42.3%","66.7","62.5","4.2","13.3"
"6","M.Stafford","","38","0.163","0.357","0.357","52.6%","65.6","67.6","-2.0","8.7"
"7","D.Mills","","38","0.162","0.216","0.216","44.7%","71.9","65.1","6.8","11.5"
"8","A.Rodgers","","22","0.150","0.186","0.186","50.0%","77.8","71.1","6.6","6.0"
"9","R.Wilson","","31","0.149","0.275","0.125","48.4%","57.7","57.3","0.4","12.2"
"10","T.Lawrence","","43","0.143","0.199","0.199","51.2%","71.9","67.4","4.5","5.8"
"11","P.Mahomes","","53","0.141","0.307","0.307","49.1%","64.3","67.3","-3.1","5.8"
"12","J.Garoppolo","","36","0.119","0.138","0.138","55.6%","74.2","69.8","4.4","8.7"
"13","T.Tagovailoa","","31","0.112","0.162","0.162","51.6%","71.4","70.0","1.4","5.7"
"14","D.Lock","","29","0.107","0.294","0.294","44.8%","52.2","60.8","-8.6","11.0"
"15","T.Siemian","","18","0.101","0.120","0.120","44.4%","64.3","62.0","2.3","6.1"
"16","C.Keenum","","29","0.079","0.053","-0.083","51.7%","70.8","68.0","2.9","4.4"
"17","M.Jones","","37","0.067","0.089","-0.036","51.4%","66.7","68.5","-1.8","8.1"
"18","J.Herbert","","72","0.061","0.232","0.232","40.3%","53.1","65.9","-12.7","9.8"
"19","B.Roethlisberger","","46","0.055","0.039","0.039","43.5%","68.2","68.9","-0.7","6.4"
"20","D.Carr","","44","0.051","0.107","0.107","40.9%","62.5","68.5","-6.0","7.6"
"21","S.Darnold","","52","0.040","-0.295","-0.301","40.4%","70.7","68.9","1.8","6.6"
"22","J.Allen","","52","0.038","0.116","0.116","46.2%","54.5","63.5","-8.9","9.3"
"23","M.Ryan","","38","0.032","-0.089","-0.089","34.2%","64.5","63.4","1.1","10.5"
"24","A.Dalton","","57","0.031","-0.259","-0.353","43.9%","71.7","71.2","0.5","6.8"
"25","K.Murray","","53","0.028","-0.120","-0.120","43.4%","71.8","71.1","0.7","6.5"
"26","G.Minshew II","","42","0.021","0.079","0.057","40.5%","57.6","67.0","-9.4","6.7"
"27","C.Wentz","","40","0.002","-0.260","-0.310","37.5%","58.6","63.4","-4.8","10.3"
"28","T.Heinicke","","23","-0.016","-0.331","-0.331","34.8%","52.9","61.6","-8.7","8.5"
"29","T.Huntley","","46","-0.043","-0.215","-0.233","39.1%","51.6","64.2","-12.6","8.6"
"30","J.Love","","18","-0.054","-0.134","-0.182","44.4%","58.8","73.0","-14.2","6.4"
"31","J.Fromm","","40","-0.064","-0.206","-0.339","35.0%","50.0","66.4","-16.4","6.7"
"32","B.Allen","","35","-0.065","-0.218","-0.218","25.7%","51.7","68.2","-16.5","5.7"
"33","Z.Wilson","","30","-0.129","-0.542","-0.542","16.7%","36.8","68.0","-31.2","6.6"
