"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","39","0.315","0.580","0.580","69.2%","74.2","60.3","13.8","9.2"
"2","J.Goff","","30","0.273","0.566","0.566","60.0%","80.8","73.8","6.9","5.8"
"3","J.Garoppolo","","27","0.273","0.475","0.475","55.6%","78.3","66.5","11.8","5.7"
"4","T.Huntley","","55","0.161","0.263","0.263","50.9%","71.8","68.4","3.4","6.2"
"5","P.Mahomes","","52","0.140","0.270","0.242","53.8%","68.9","69.9","-1.0","6.2"
"6","J.Allen","","42","0.109","0.227","0.227","54.8%","61.3","64.9","-3.6","10.2"
"7","J.Hurts","","38","0.194","0.234","0.158","57.9%","76.9","65.7","11.3","9.0"
"8","D.Mills","","32","0.079","0.127","0.127","40.6%","63.3","65.5","-2.2","7.0"
"9","N.Mullens","","30","0.109","0.105","0.105","46.7%","69.0","64.2","4.7","7.3"
"10","D.Prescott","","41","0.095","0.033","0.021","48.8%","75.7","68.7","7.0","6.1"
"11","J.Herbert","","44","0.022","0.026","0.003","47.7%","61.1","66.9","-5.8","8.7"
"12","J.Burrow","","30","0.055","0.002","0.002","36.7%","71.4","69.8","1.6","7.1"
"13","M.Stafford","","37","0.052","0.024","-0.004","40.5%","72.4","72.7","-0.2","7.9"
"14","M.Jones","","49","0.029","0.024","-0.010","49.0%","59.1","63.6","-4.5","10.6"
"15","D.Carr","","44","0.065","0.022","-0.011","47.7%","69.4","67.1","2.3","9.0"
"16","G.Gilbert","","34","0.045","-0.012","-0.012","38.2%","66.7","65.9","0.8","6.2"
"17","T.Tagovailoa","","33","0.087","0.091","-0.017","51.5%","61.5","59.9","1.6","9.8"
"18","D.Lock","","18","0.005","-0.018","-0.042","33.3%","50.0","56.3","-6.3","14.0"
"19","J.Fields","","49","0.061","-0.066","-0.070","53.1%","72.2","66.3","5.9","7.6"
"20","M.Ryan","","41","0.044","-0.110","-0.110","41.5%","63.3","59.8","3.5","8.6"
"21","B.Roethlisberger","","34","-0.016","-0.115","-0.115","47.1%","64.0","71.3","-7.3","4.7"
"22","C.Wentz","","19","-0.115","-0.095","-0.127","42.1%","41.7","67.1","-25.5","9.3"
"23","K.Cousins","","31","0.002","-0.133","-0.133","32.3%","54.5","58.5","-3.9","11.3"
"24","T.Lawrence","","48","-0.019","-0.138","-0.138","39.6%","61.1","68.9","-7.8","6.6"
"25","C.Newton","","59","-0.062","-0.196","-0.196","39.0%","50.0","65.9","-15.9","7.9"
"26","R.Wilson","","36","0.010","-0.256","-0.256","38.9%","60.7","64.0","-3.3","13.4"
"27","K.Murray","","47","-0.035","-0.205","-0.274","38.3%","59.0","70.0","-11.0","7.1"
"28","Z.Wilson","","35","-0.043","-0.240","-0.280","37.1%","61.9","74.8","-12.9","4.9"
"29","R.Tannehill","","43","0.058","-0.278","-0.322","41.9%","71.9","66.7","5.2","6.9"
"30","T.Bridgewater","","27","-0.024","-0.334","-0.334","37.0%","60.0","70.2","-10.2","8.1"
"31","T.Brady","","54","-0.047","-0.337","-0.337","35.2%","54.2","68.6","-14.4","8.3"
"32","M.Glennon","","26","-0.022","-0.609","-0.650","34.6%","54.2","66.4","-12.3","7.7"
