"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","GB","0.241","48.7%","0.414","54.9%","-0.114","36.1%"
"2","","NO","0.199","51.7%","0.306","54.7%","0.014","46.4%"
"3","","NE","0.197","51.3%","0.307","55.3%","0.019","44.8%"
"4","","CAR","0.102","44.8%","0.093","45.4%","0.117","43.9%"
"5","","LAC","0.087","45.6%","0.185","51.1%","-0.061","37.3%"
"6","","PIT","0.055","44.9%","0.134","47.4%","-0.065","41.2%"
"7","","DET","0.054","44.9%","0.117","49.3%","-0.081","35.4%"
"8","","PHI","0.052","47.0%","0.075","48.7%","0.010","43.9%"
"9","","NYG","0.050","44.1%","0.164","48.6%","-0.143","36.5%"
"10","","DAL","0.047","45.2%","0.144","48.4%","-0.111","39.8%"
"11","","ATL","0.046","43.6%","0.130","47.5%","-0.087","37.3%"
"12","","BAL","0.041","41.6%","0.111","44.3%","-0.057","37.8%"
"13","","HOU","0.025","44.7%","0.116","47.5%","-0.066","41.9%"
"14","","LV","0.006","42.4%","0.052","46.7%","-0.054","36.8%"
"15","","BUF","0.000","44.6%","0.014","46.2%","-0.025","41.7%"
"16","","SF","-0.011","40.8%","0.057","43.2%","-0.091","37.8%"
"17","","CIN","-0.030","41.7%","0.005","42.9%","-0.080","39.9%"
"18","","MIA","-0.033","39.0%","0.032","41.9%","-0.116","35.2%"
"19","","TEN","-0.040","39.4%","0.034","44.3%","-0.170","30.8%"
"20","","MIN","-0.052","39.3%","-0.070","39.7%","-0.026","38.6%"
"21","","WAS","-0.058","41.9%","-0.049","43.7%","-0.073","38.8%"
"22","","NYJ","-0.071","40.3%","-0.060","42.0%","-0.088","37.9%"
"23","","SEA","-0.072","38.8%","-0.037","41.9%","-0.121","34.4%"
"24","","ARI","-0.077","41.4%","-0.076","41.9%","-0.078","40.4%"
"25","","CLE","-0.087","40.4%","-0.053","41.7%","-0.151","38.0%"
"26","","DEN","-0.089","39.4%","-0.100","39.9%","-0.077","39.0%"
"27","","KC","-0.095","38.8%","-0.050","42.6%","-0.149","34.2%"
"28","","CHI","-0.110","39.3%","-0.105","43.1%","-0.117","34.1%"
"29","","TB","-0.113","43.0%","-0.090","45.3%","-0.164","37.9%"
"30","","IND","-0.129","39.3%","-0.095","43.5%","-0.182","32.6%"
"31","","JAX","-0.174","36.2%","-0.210","35.8%","-0.129","36.7%"
"32","","LA","-0.187","36.7%","-0.198","38.8%","-0.169","33.3%"
