"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","KC","0.179","50.7%","0.274","53.6%","-0.019","44.5%"
"2","","BUF","0.111","49.0%","0.203","51.9%","-0.064","43.5%"
"3","","PHI","0.100","47.9%","0.121","45.8%","0.072","50.7%"
"4","","SF","0.084","46.2%","0.171","48.6%","-0.021","43.2%"
"5","","CIN","0.081","47.8%","0.153","50.9%","-0.064","41.5%"
"6","","DET","0.073","45.8%","0.174","49.1%","-0.070","41.0%"
"7","","MIA","0.054","44.6%","0.111","46.7%","-0.050","40.7%"
"8","","JAX","0.045","46.6%","0.137","50.8%","-0.100","39.9%"
"9","","NYG","0.034","45.1%","0.058","47.8%","-0.002","41.0%"
"10","","DAL","0.031","45.2%","0.082","48.3%","-0.031","41.4%"
"11","","GB","0.017","46.2%","0.035","46.4%","-0.009","45.9%"
"12","","CLE","0.013","44.1%","0.021","44.5%","0.002","43.5%"
"13","","SEA","0.013","44.8%","0.060","49.9%","-0.071","35.8%"
"14","","PIT","0.012","45.1%","0.016","44.9%","0.006","45.3%"
"15","","LV","0.009","43.4%","0.057","44.3%","-0.071","41.9%"
"16","","LAC","0.007","44.2%","0.037","46.0%","-0.057","40.1%"
"17","","BAL","0.004","45.3%","-0.020","43.5%","0.034","47.6%"
"18","","MIN","0.004","45.8%","0.069","49.6%","-0.128","38.1%"
"19","","ATL","0.002","45.4%","-0.001","45.7%","0.004","45.1%"
"20","","TB","-0.030","44.0%","0.052","47.4%","-0.208","36.7%"
"21","","CAR","-0.036","40.9%","-0.062","39.7%","-0.005","42.2%"
"22","","NO","-0.036","45.6%","0.018","48.6%","-0.108","41.6%"
"23","","CHI","-0.037","41.1%","-0.070","41.3%","-0.002","40.9%"
"24","","NE","-0.047","41.1%","-0.026","41.9%","-0.082","39.8%"
"25","","WAS","-0.066","41.0%","-0.045","43.2%","-0.092","38.2%"
"26","","TEN","-0.066","41.2%","-0.034","43.8%","-0.104","38.1%"
"27","","DEN","-0.078","39.5%","-0.050","40.3%","-0.124","38.1%"
"28","","ARI","-0.081","40.7%","-0.080","40.8%","-0.085","40.7%"
"29","","LA","-0.083","41.2%","-0.096","43.9%","-0.062","36.8%"
"30","","NYJ","-0.086","39.1%","-0.081","40.7%","-0.093","36.1%"
"31","","IND","-0.153","40.3%","-0.139","42.1%","-0.179","37.2%"
"32","","HOU","-0.168","37.9%","-0.147","38.4%","-0.206","37.1%"
