"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","C.Palmer","","613","0.193","0.323","0.314","53.0%","65.1","59.9","5.3","10.9"
"2","A.Dalton","","479","0.173","0.287","0.272","52.6%","66.9","63.0","4.0","9.0"
"3","R.Wilson","","633","0.188","0.267","0.255","52.6%","70.6","62.7","7.9","8.7"
"4","B.Roethlisberger","","533","0.173","0.248","0.241","52.7%","68.5","61.9","6.5","10.2"
"5","T.Brady","","727","0.124","0.215","0.195","47.6%","64.9","65.0","-0.1","7.9"
"6","B.Weeden","","172","0.146","0.207","0.194","51.7%","69.8","65.4","4.4","7.3"
"7","K.Cousins","","622","0.148","0.194","0.176","49.4%","69.8","64.1","5.7","8.0"
"8","D.Brees","","708","0.127","0.191","0.172","48.0%","68.7","66.7","2.0","7.9"
"9","C.Newton","","680","0.112","0.179","0.171","50.1%","60.8","60.6","0.1","10.4"
"10","R.Fitzpatrick","","651","0.094","0.157","0.150","45.9%","59.8","61.3","-1.5","9.2"
"11","T.Taylor","","541","0.109","0.131","0.131","43.3%","63.8","60.7","3.0","10.5"
"12","M.Ryan","","707","0.096","0.137","0.121","51.5%","66.7","66.6","0.2","7.8"
"13","J.Winston","","650","0.095","0.138","0.119","48.0%","59.3","59.3","-0.0","10.1"
"14","A.Smith","","622","0.086","0.117","0.106","46.3%","66.7","67.0","-0.2","6.8"
"15","E.Manning","","701","0.085","0.130","0.100","46.8%","63.4","64.7","-1.3","7.7"
"16","J.Cutler","","568","0.106","0.134","0.095","47.9%","64.9","62.7","2.3","8.4"
"17","P.Rivers","","764","0.103","0.117","0.087","47.9%","67.0","64.2","2.7","7.3"
"18","J.McCown","","358","0.089","0.111","0.087","47.5%","64.1","63.4","0.7","7.8"
"19","A.Rodgers","","735","0.072","0.093","0.078","45.2%","61.6","62.7","-1.1","8.1"
"20","T.Bridgewater","","554","0.090","0.075","0.070","43.0%","67.1","63.9","3.3","7.2"
"21","M.Stafford","","698","0.080","0.089","0.069","49.4%","68.3","67.7","0.6","6.5"
"22","M.Mariota","","470","0.081","0.087","0.059","46.6%","63.0","62.2","0.8","9.4"
"23","B.Osweiler","","332","0.055","0.047","0.040","47.3%","61.8","63.0","-1.2","8.8"
"24","B.Hoyer","","419","0.054","0.051","0.037","46.8%","61.0","62.7","-1.7","9.5"
"25","B.Bortles","","734","0.053","0.069","0.034","45.9%","59.2","62.1","-3.0","9.2"
"26","M.Hasselbeck","","298","0.053","0.059","0.032","46.6%","62.4","64.7","-2.3","7.4"
"27","D.Carr","","651","0.051","0.059","0.016","44.4%","61.5","64.3","-2.8","8.0"
"28","R.Tannehill","","692","0.058","0.024","0.007","42.5%","62.7","61.8","0.9","8.8"
"29","J.Flacco","","463","0.055","0.032","0.006","46.9%","65.2","65.4","-0.2","7.5"
"30","S.Bradford","","614","0.052","0.025","0.001","45.0%","65.4","65.7","-0.3","7.0"
"31","A.Luck","","350","0.025","0.010","-0.009","41.7%","56.8","61.1","-4.2","9.8"
"32","R.Mallett","","263","0.001","-0.014","-0.022","43.0%","56.7","63.9","-7.2","8.6"
"33","J.Manziel","","285","0.029","-0.008","-0.022","41.4%","59.2","61.7","-2.6","8.2"
"34","C.Kaepernick","","322","0.008","-0.027","-0.041","41.0%","59.0","64.2","-5.2","7.7"
"35","B.Gabbert","","347","0.022","-0.050","-0.066","40.9%","63.3","65.1","-1.8","7.2"
"36","P.Manning","","365","0.020","-0.042","-0.073","41.4%","60.2","62.6","-2.4","9.4"
"37","M.Cassel","","247","0.003","-0.068","-0.121","43.7%","60.4","65.0","-4.6","8.2"
"38","N.Foles","","378","-0.013","-0.194","-0.222","36.5%","57.2","64.1","-6.9","8.1"
"39","Z.Mettenberger","","188","0.017","-0.303","-0.332","41.0%","62.0","64.4","-2.4","7.9"
