"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","J.McCown","","257","0.210","0.390","0.374","54.5%","67.7","62.9","4.9","7.9"
"2","P.Manning","","727","0.210","0.361","0.346","55.0%","68.8","62.4","6.4","7.9"
"3","A.Rodgers","","349","0.194","0.317","0.316","52.7%","68.2","62.3","5.9","8.2"
"4","N.Foles","","406","0.189","0.311","0.307","49.3%","66.3","61.0","5.3","9.5"
"5","P.Rivers","","639","0.201","0.303","0.291","53.4%","70.7","62.7","8.0","7.9"
"6","D.Brees","","742","0.157","0.223","0.209","50.5%","69.3","63.9","5.4","8.1"
"7","R.Wilson","","563","0.140","0.173","0.166","48.3%","64.9","59.2","5.7","9.6"
"8","C.Kaepernick","","563","0.095","0.158","0.155","45.5%","59.3","60.8","-1.5","9.5"
"9","T.Brady","","720","0.092","0.148","0.143","48.8%","61.4","62.7","-1.4","8.4"
"10","A.Dalton","","683","0.109","0.160","0.136","48.2%","63.1","62.1","1.0","8.6"
"11","C.Newton","","639","0.102","0.145","0.135","47.1%","62.5","61.7","0.9","9.0"
"12","R.Fitzpatrick","","427","0.105","0.149","0.129","45.7%","63.1","62.0","1.0","8.7"
"13","T.Romo","","610","0.093","0.131","0.119","48.2%","64.4","64.2","0.2","8.0"
"14","A.Luck","","688","0.082","0.126","0.110","47.7%","60.7","62.2","-1.5","8.2"
"15","B.Roethlisberger","","660","0.104","0.117","0.093","47.7%","65.0","62.0","3.0","8.5"
"16","J.Locker","","227","0.086","0.094","0.092","44.5%","61.0","59.6","1.4","9.8"
"17","M.Stafford","","701","0.070","0.120","0.090","46.9%","59.6","62.9","-3.3","8.4"
"18","M.Ryan","","744","0.102","0.115","0.088","48.3%","68.5","65.7","2.8","6.8"
"19","A.Smith","","642","0.061","0.083","0.079","45.0%","62.0","64.5","-2.5","6.7"
"20","M.Vick","","194","0.080","0.128","0.063","44.3%","55.8","57.9","-2.1","11.0"
"21","J.Cutler","","401","0.116","0.123","0.061","48.1%","64.0","59.2","4.8","9.3"
"22","C.Palmer","","653","0.093","0.078","0.049","46.7%","64.5","60.8","3.7","9.4"
"23","M.McGloin","","236","0.044","0.070","0.039","42.8%","56.2","60.9","-4.7","8.7"
"24","S.Bradford","","298","0.054","0.079","0.034","47.0%","61.2","64.7","-3.5","7.0"
"25","R.Griffin III","","593","0.048","0.029","0.015","44.4%","61.3","62.7","-1.4","8.7"
"26","R.Tannehill","","689","0.054","0.025","0.014","44.4%","61.6","61.5","0.1","9.6"
"27","J.Flacco","","715","0.046","0.021","0.008","41.1%","59.4","60.5","-1.1","9.4"
"28","C.Ponder","","307","0.062","0.031","0.006","44.6%","64.7","63.5","1.1","8.6"
"29","M.Cassel","","289","0.043","0.028","-0.017","42.6%","61.4","63.6","-2.1","8.5"
"30","J.Campbell","","356","0.020","-0.005","-0.029","41.3%","57.6","61.8","-4.3","7.6"
"31","T.Lewis","","199","0.029","-0.029","-0.034","39.7%","59.6","61.0","-1.4","8.9"
"32","M.Glennon","","507","0.034","-0.034","-0.042","42.0%","61.8","61.9","-0.1","9.0"
"33","E.Manning","","629","0.022","-0.024","-0.052","44.0%","58.3","61.1","-2.8","9.6"
"34","C.Henne","","589","0.019","-0.046","-0.056","43.0%","61.4","63.7","-2.4","6.6"
"35","G.Smith","","569","0.020","-0.008","-0.060","41.5%","56.0","60.2","-4.2","9.0"
"36","K.Clemens","","295","0.014","-0.036","-0.060","42.4%","58.9","62.7","-3.8","8.8"
"37","E.Manuel","","400","0.019","-0.045","-0.061","44.5%","59.2","61.7","-2.5","8.3"
"38","M.Schaub","","401","0.023","-0.044","-0.076","42.6%","61.9","63.6","-1.7","7.9"
"39","C.Keenum","","288","-0.004","-0.077","-0.096","41.3%","55.9","61.6","-5.7","9.1"
"40","M.Flynn","","250","0.033","-0.049","-0.116","42.0%","63.6","63.4","0.2","7.1"
"41","B.Weeden","","316","0.002","-0.109","-0.122","38.3%","53.8","57.9","-4.1","9.3"
"42","J.Freeman","","170","-0.051","-0.157","-0.178","35.3%","44.4","58.1","-13.7","10.4"
"43","K.Cousins","","165","-0.038","-0.150","-0.191","37.0%","53.3","64.6","-11.3","8.2"
