"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","609","0.217","0.370","0.362","55.2%","74.3","67.1","7.2","8.0"
"2","R.Tannehill","","567","0.184","0.340","0.329","55.6%","67.9","65.2","2.7","8.3"
"3","P.Mahomes","","694","0.179","0.323","0.311","55.0%","68.4","65.6","2.8","8.4"
"4","J.Allen","","727","0.190","0.292","0.283","56.3%","72.3","65.7","6.6","8.6"
"5","T.Brady","","682","0.167","0.274","0.249","50.9%","68.1","64.4","3.7","9.2"
"6","R.Fitzpatrick","","318","0.155","0.247","0.245","56.0%","69.3","65.9","3.4","7.7"
"7","D.Watson","","698","0.165","0.228","0.219","53.4%","73.0","66.5","6.5","8.9"
"8","P.Rivers","","596","0.133","0.226","0.212","50.7%","70.0","69.2","0.8","7.3"
"9","J.Garoppolo","","162","0.121","0.201","0.201","50.0%","68.1","67.9","0.2","6.4"
"10","B.Mayfield","","575","0.139","0.211","0.197","52.7%","67.3","64.5","2.8","8.7"
"11","D.Brees","","422","0.131","0.209","0.190","50.9%","72.6","71.0","1.6","6.2"
"12","K.Cousins","","610","0.150","0.216","0.188","52.8%","72.0","67.4","4.6","8.0"
"13","L.Jackson","","575","0.122","0.194","0.185","48.0%","66.7","65.7","1.0","8.7"
"14","J.Herbert","","703","0.110","0.177","0.172","48.8%","68.3","68.2","0.0","7.4"
"15","D.Carr","","607","0.138","0.213","0.172","51.9%","70.9","68.3","2.6","8.3"
"16","R.Wilson","","702","0.152","0.188","0.165","51.3%","72.2","65.3","6.8","8.4"
"17","D.Prescott","","254","0.117","0.192","0.157","55.1%","69.3","69.0","0.3","7.8"
"18","M.Stafford","","618","0.106","0.181","0.153","50.6%","66.5","67.5","-1.0","8.9"
"19","M.Ryan","","721","0.106","0.148","0.143","48.8%","67.5","66.3","1.2","8.5"
"20","K.Murray","","736","0.116","0.160","0.139","50.3%","71.0","68.8","2.2","8.0"
"21","B.Roethlisberger","","672","0.087","0.132","0.122","47.9%","65.8","66.9","-1.1","6.9"
"22","J.Burrow","","485","0.106","0.136","0.122","49.1%","67.3","65.2","2.1","8.5"
"23","M.Trubisky","","354","0.098","0.130","0.117","53.4%","67.9","66.8","1.1","7.8"
"24","T.Bridgewater","","598","0.113","0.127","0.109","49.8%","72.5","68.5","4.0","7.3"
"25","G.Minshew II","","394","0.102","0.092","0.087","47.5%","69.9","65.6","4.3","8.0"
"26","J.Goff","","626","0.083","0.093","0.060","48.7%","70.5","69.6","0.9","6.7"
"27","J.Hurts","","231","0.020","0.059","0.055","43.3%","57.5","65.8","-8.3","8.8"
"28","C.Newton","","545","0.063","0.066","0.048","48.8%","68.2","69.2","-1.0","7.0"
"29","T.Tagovailoa","","352","0.055","0.046","0.034","48.3%","66.2","67.4","-1.2","7.8"
"30","N.Mullens","","365","0.059","0.080","0.023","47.7%","66.1","68.7","-2.6","6.4"
"31","A.Dalton","","398","0.057","0.041","0.021","48.5%","67.9","68.4","-0.4","6.7"
"32","J.Flacco","","161","0.041","0.025","0.010","41.6%","59.7","62.0","-2.3","11.0"
"33","D.Lock","","518","0.023","0.027","-0.007","43.6%","59.6","65.2","-5.6","9.0"
"34","D.Jones","","577","0.035","0.007","-0.019","45.6%","64.8","67.1","-2.2","7.7"
"35","B.Allen","","173","0.017","-0.027","-0.041","48.6%","64.7","68.4","-3.6","6.8"
"36","N.Foles","","348","0.043","-0.038","-0.051","41.7%","67.6","65.9","1.7","8.1"
"37","C.Wentz","","565","0.011","-0.054","-0.075","42.5%","60.2","63.8","-3.6","8.9"
"38","A.Smith","","290","0.022","-0.079","-0.094","42.8%","70.6","71.4","-0.8","5.2"
"39","M.Glennon","","195","0.006","-0.090","-0.104","44.1%","64.9","68.6","-3.7","8.4"
"40","D.Haskins","","280","-0.004","-0.085","-0.112","40.0%","63.2","68.7","-5.5","6.8"
"41","S.Darnold","","447","0.014","-0.100","-0.120","42.3%","64.2","66.1","-1.9","7.8"
