"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","PIT","-0.122","40.2%","-0.091","43.9%","-0.187","32.1%"
"2","","GB","-0.112","39.4%","-0.087","40.0%","-0.151","38.5%"
"3","","LAC","-0.109","39.1%","-0.083","40.6%","-0.148","36.7%"
"4","","CHI","-0.106","41.7%","-0.068","44.9%","-0.175","35.8%"
"5","","NYG","-0.104","38.6%","-0.091","40.8%","-0.129","34.6%"
"6","","NYJ","-0.069","38.3%","0.036","41.1%","-0.242","33.8%"
"7","","LA","-0.058","39.8%","-0.019","42.5%","-0.129","34.9%"
"8","","MIN","-0.054","40.5%","-0.003","43.7%","-0.133","35.6%"
"9","","BAL","-0.048","39.9%","0.001","44.4%","-0.138","31.7%"
"10","","ATL","-0.047","42.8%","0.008","47.2%","-0.147","34.6%"
"11","","NO","-0.045","40.8%","0.016","44.3%","-0.134","35.8%"
"12","","SF","-0.042","41.8%","0.036","48.5%","-0.158","31.8%"
"13","","DET","-0.027","43.9%","-0.005","46.4%","-0.061","39.9%"
"14","","MIA","-0.027","38.3%","0.059","41.8%","-0.144","33.4%"
"15","","KC","-0.027","39.7%","0.015","41.7%","-0.098","36.5%"
"16","","CAR","-0.021","41.6%","0.053","46.7%","-0.113","35.4%"
"17","","ARI","-0.016","41.3%","0.054","43.8%","-0.099","38.4%"
"18","","NE","-0.015","46.0%","0.020","48.9%","-0.076","40.8%"
"19","","LV","-0.012","39.0%","0.057","42.7%","-0.096","34.5%"
"20","","TB","-0.008","43.3%","0.013","44.4%","-0.037","41.7%"
"21","","PHI","0.000","41.0%","0.086","43.9%","-0.143","36.2%"
"22","","TEN","0.002","43.5%","0.072","46.7%","-0.108","38.6%"
"23","","IND","0.011","48.0%","0.048","50.6%","-0.040","44.3%"
"24","","CLE","0.020","43.7%","0.103","47.7%","-0.079","38.9%"
"25","","WAS","0.021","44.4%","0.072","47.1%","-0.058","40.3%"
"26","","DAL","0.022","41.7%","0.122","45.7%","-0.141","35.3%"
"27","","CIN","0.022","42.2%","0.065","44.4%","-0.041","39.0%"
"28","","SEA","0.037","41.8%","0.108","45.5%","-0.070","36.2%"
"29","","BUF","0.062","46.0%","0.128","46.4%","-0.004","45.6%"
"30","","JAX","0.121","46.6%","0.231","51.3%","-0.037","39.9%"
"31","","DEN","0.122","41.7%","0.238","45.2%","-0.005","37.9%"
"32","","HOU","0.141","48.4%","0.264","52.4%","-0.045","42.2%"
