"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","BAL","-0.127","38.0%","-0.113","39.8%","-0.150","35.3%"
"2","","SF","-0.121","38.4%","-0.068","42.7%","-0.231","29.5%"
"3","","HOU","-0.108","38.2%","-0.087","40.5%","-0.146","34.3%"
"4","","NYJ","-0.087","38.8%","-0.042","42.4%","-0.149","33.9%"
"5","","CHI","-0.072","37.9%","-0.012","42.1%","-0.186","29.8%"
"6","","PIT","-0.069","38.9%","-0.043","41.7%","-0.111","34.4%"
"7","","JAX","-0.067","40.1%","0.019","44.5%","-0.193","33.7%"
"8","","DET","-0.065","41.6%","-0.057","44.8%","-0.079","35.8%"
"9","","SEA","-0.062","41.1%","-0.036","45.1%","-0.101","34.8%"
"10","","CIN","-0.047","40.6%","-0.006","43.2%","-0.110","36.7%"
"11","","PHI","-0.042","39.5%","0.000","40.3%","-0.108","38.4%"
"12","","ATL","-0.035","41.5%","0.036","45.8%","-0.165","33.5%"
"13","","MIA","-0.020","43.1%","0.037","45.9%","-0.120","38.1%"
"14","","KC","-0.015","41.1%","0.049","44.8%","-0.083","37.1%"
"15","","TEN","-0.011","41.5%","0.048","43.7%","-0.099","38.2%"
"16","","ARI","-0.009","42.4%","0.022","42.9%","-0.056","41.6%"
"17","","DAL","0.001","43.9%","0.068","47.2%","-0.119","37.9%"
"18","","DEN","0.007","43.0%","0.074","47.9%","-0.082","36.6%"
"19","","CLE","0.008","43.2%","0.038","43.4%","-0.025","42.9%"
"20","","NO","0.009","43.0%","0.044","45.8%","-0.065","36.9%"
"21","","GB","0.021","46.7%","0.024","47.8%","0.014","44.4%"
"22","","WAS","0.024","42.5%","0.082","46.3%","-0.057","37.3%"
"23","","LA","0.037","43.9%","0.085","46.2%","-0.024","41.0%"
"24","","MIN","0.041","45.0%","0.168","49.9%","-0.154","37.5%"
"25","","IND","0.051","47.2%","0.137","51.8%","-0.042","42.3%"
"26","","BUF","0.056","45.7%","0.086","48.3%","0.017","42.3%"
"27","","NYG","0.056","45.1%","0.128","46.9%","-0.064","42.2%"
"28","","LAC","0.062","44.2%","0.152","47.5%","-0.059","39.7%"
"29","","NE","0.065","46.5%","0.139","49.7%","-0.076","40.4%"
"30","","LV","0.086","44.3%","0.124","46.4%","0.020","40.5%"
"31","","CAR","0.111","47.6%","0.194","50.0%","0.002","44.5%"
"32","","TB","0.128","47.1%","0.211","50.4%","0.032","43.3%"
