"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","T.Brady","","564","0.167","0.280","0.277","49.8%","66.5","63.3","3.2","7.9"
"2","P.Rivers","","619","0.178","0.270","0.249","50.1%","67.6","61.7","5.9","8.6"
"3","A.Rodgers","","579","0.170","0.249","0.240","52.5%","67.2","61.4","5.9","9.4"
"4","M.Vick","","514","0.164","0.231","0.215","49.6%","64.2","58.1","6.1","9.6"
"5","P.Manning","","721","0.152","0.227","0.208","52.0%","66.4","62.2","4.2","8.7"
"6","B.Roethlisberger","","456","0.146","0.219","0.201","48.0%","63.3","59.7","3.7","9.6"
"7","J.Freeman","","581","0.129","0.202","0.181","48.4%","62.3","60.5","1.8","9.2"
"8","M.Ryan","","663","0.115","0.180","0.179","48.6%","63.0","62.3","0.6","8.4"
"9","V.Young","","197","0.122","0.181","0.173","46.7%","60.0","58.2","1.8","11.8"
"10","M.Cassel","","519","0.099","0.160","0.143","47.2%","59.7","60.5","-0.8","8.2"
"11","M.Schaub","","649","0.105","0.155","0.142","48.7%","64.6","64.1","0.6","7.8"
"12","D.Brees","","710","0.139","0.165","0.132","50.0%","69.7","63.6","6.0","7.7"
"13","J.Flacco","","586","0.107","0.128","0.116","45.1%","62.6","59.8","2.8","9.1"
"14","K.Collins","","310","0.085","0.123","0.109","46.5%","59.0","59.9","-0.8","10.0"
"15","T.Romo","","236","0.118","0.109","0.093","47.9%","69.8","63.7","6.1","7.3"
"16","E.Manning","","599","0.101","0.117","0.090","48.1%","63.6","61.1","2.5","9.2"
"17","J.Kitna","","376","0.107","0.138","0.088","47.6%","67.1","65.0","2.1","6.8"
"18","D.Garrard","","476","0.101","0.087","0.077","47.9%","65.2","60.7","4.5","8.7"
"19","K.Orton","","576","0.067","0.090","0.069","44.1%","59.0","61.0","-2.0","9.2"
"20","C.Palmer","","661","0.084","0.096","0.067","49.6%","62.2","61.3","0.9","8.5"
"21","J.Campbell","","428","0.071","0.073","0.066","42.1%","59.9","59.9","-0.0","8.6"
"22","S.Hill","","464","0.065","0.086","0.053","45.9%","62.8","64.8","-2.0","7.2"
"23","C.McCoy","","276","0.073","0.050","0.050","46.4%","61.4","59.4","2.0","8.9"
"24","J.Cutler","","549","0.072","0.054","0.031","45.2%","61.3","59.8","1.5","9.1"
"25","R.Fitzpatrick","","519","0.056","0.049","0.031","43.7%","58.6","59.7","-1.1","9.1"
"26","T.Smith","","192","0.012","0.038","0.030","38.5%","51.4","59.8","-8.4","10.3"
"27","M.Sanchez","","574","0.020","0.015","0.013","42.2%","55.6","61.0","-5.4","9.3"
"28","D.McNabb","","552","0.033","0.021","0.000","43.5%","59.0","62.5","-3.5","8.7"
"29","C.Henne","","564","0.049","0.017","-0.004","44.9%","62.3","62.6","-0.3","8.1"
"30","A.Smith","","391","0.037","0.013","-0.009","41.7%","60.8","63.0","-2.1","7.5"
"31","M.Hasselbeck","","505","0.042","0.005","-0.017","46.3%","60.6","61.4","-0.8","8.8"
"32","S.Bradford","","671","0.013","-0.026","-0.054","42.3%","60.8","65.1","-4.3","6.7"
"33","K.Kolb","","225","0.035","-0.053","-0.081","41.8%","63.2","62.4","0.8","8.4"
"34","B.Gradkowski","","186","-0.012","-0.072","-0.082","41.4%","53.5","60.9","-7.3","9.0"
"35","B.Favre","","414","0.018","-0.079","-0.118","44.4%","61.0","62.5","-1.6","8.6"
"36","D.Anderson","","370","-0.021","-0.132","-0.149","40.3%","52.6","60.7","-8.1","10.0"
"37","M.Moore","","164","0.005","-0.154","-0.186","40.9%","56.0","59.4","-3.4","8.8"
"38","J.Delhomme","","167","0.036","-0.168","-0.236","40.1%","66.0","63.8","2.1","7.5"
"39","J.Clausen","","366","-0.018","-0.288","-0.306","32.2%","54.9","63.7","-8.8","6.8"
