"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","626","0.240","0.413","0.411","54.8%","70.0","61.0","9.0","9.1"
"2","D.Brees","","720","0.206","0.333","0.317","55.1%","71.8","64.6","7.2","7.7"
"3","T.Brady","","710","0.186","0.326","0.315","55.9%","66.0","61.9","4.0","8.2"
"4","M.Schaub","","327","0.127","0.222","0.203","49.2%","62.7","62.8","-0.1","8.5"
"5","T.Romo","","586","0.140","0.193","0.176","49.3%","67.3","62.9","4.4","7.8"
"6","M.Ryan","","652","0.121","0.178","0.168","48.6%","62.6","60.6","2.0","9.1"
"7","E.Manning","","662","0.125","0.196","0.166","48.3%","61.5","60.0","1.5","9.7"
"8","P.Rivers","","664","0.139","0.197","0.164","50.3%","64.6","60.7","3.9","9.1"
"9","B.Roethlisberger","","599","0.123","0.169","0.152","47.9%","63.4","60.5","2.9","9.4"
"10","C.Newton","","700","0.101","0.161","0.145","46.9%","60.8","61.3","-0.5","9.6"
"11","J.Campbell","","194","0.117","0.155","0.144","48.5%","61.7","59.0","2.7","10.2"
"12","M.Stafford","","750","0.106","0.150","0.135","49.5%","64.3","63.2","1.1","8.3"
"13","M.Vick","","533","0.109","0.160","0.135","51.0%","61.7","60.6","1.1","9.2"
"14","J.Flacco","","627","0.080","0.125","0.109","44.5%","57.9","59.8","-1.9","9.3"
"15","C.Palmer","","381","0.093","0.110","0.087","48.3%","61.0","59.5","1.5","10.4"
"16","K.Orton","","287","0.070","0.098","0.076","48.4%","59.8","61.6","-1.9","7.9"
"17","A.Smith","","551","0.061","0.057","0.054","43.4%","61.6","62.4","-0.8","7.6"
"18","D.Orlovsky","","212","0.083","0.066","0.054","49.1%","64.2","61.5","2.7","7.8"
"19","M.Hasselbeck","","570","0.066","0.070","0.047","44.4%","61.8","62.5","-0.7","8.0"
"20","R.Fitzpatrick","","670","0.071","0.056","0.032","47.2%","63.0","61.9","1.2","7.7"
"21","M.Moore","","421","0.078","0.051","0.025","41.6%","61.0","58.2","2.9","10.1"
"22","A.Dalton","","607","0.050","0.038","0.025","43.7%","59.5","61.0","-1.5","8.4"
"23","J.Cutler","","369","0.057","0.052","0.020","44.2%","58.3","59.5","-1.1","8.8"
"24","T.Yates","","162","0.044","0.025","0.016","45.7%","62.6","64.3","-1.7","8.5"
"25","K.Kolb","","315","0.023","0.016","0.003","43.2%","59.1","64.1","-4.9","8.2"
"26","R.Grossman","","516","0.042","0.010","-0.009","44.2%","58.9","60.1","-1.2","9.2"
"27","T.Jackson","","547","0.053","0.001","-0.017","43.0%","61.3","59.9","1.4","8.9"
"28","D.McNabb","","191","0.019","-0.029","-0.033","41.4%","60.3","63.4","-3.1","7.9"
"29","C.McCoy","","577","0.019","-0.020","-0.035","43.0%","58.1","61.7","-3.6","7.4"
"30","J.Freeman","","656","0.032","-0.022","-0.048","47.1%","63.7","64.8","-1.0","7.3"
"31","M.Cassel","","327","0.027","-0.042","-0.052","40.7%","59.9","61.0","-1.1","9.1"
"32","M.Sanchez","","648","0.020","-0.011","-0.054","42.3%","57.4","61.2","-3.8","8.2"
"33","J.Beck","","164","0.013","-0.110","-0.114","43.3%","61.5","63.6","-2.0","8.4"
"34","C.Ponder","","360","-0.009","-0.068","-0.117","39.4%","55.2","62.0","-6.8","9.2"
"35","J.Skelton","","328","-0.007","-0.102","-0.125","42.7%","55.5","61.4","-5.9","9.7"
"36","C.Painter","","282","-0.019","-0.102","-0.128","41.1%","55.0","63.0","-8.0","8.4"
"37","B.Gabbert","","510","-0.035","-0.176","-0.190","35.3%","51.1","62.0","-10.9","7.8"
"38","T.Palko","","152","0.011","-0.191","-0.212","38.2%","60.6","63.2","-2.6","7.3"
"39","S.Bradford","","430","-0.019","-0.178","-0.224","38.1%","53.7","61.5","-7.9","9.2"
