"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","SF","-0.112","40.9%","-0.081","43.7%","-0.174","35.5%"
"2","","DAL","-0.087","41.4%","-0.059","44.6%","-0.126","36.9%"
"3","","NE","-0.085","41.8%","-0.077","42.7%","-0.098","40.3%"
"4","","PHI","-0.063","43.4%","-0.087","43.5%","-0.023","43.2%"
"5","","WAS","-0.059","39.9%","-0.013","41.7%","-0.129","37.1%"
"6","","NYJ","-0.045","41.4%","-0.027","43.1%","-0.071","38.9%"
"7","","BUF","-0.045","44.1%","-0.005","45.7%","-0.121","40.9%"
"8","","CIN","-0.043","42.2%","-0.022","42.6%","-0.078","41.6%"
"9","","DEN","-0.042","42.3%","-0.032","43.8%","-0.059","39.9%"
"10","","NO","-0.035","41.9%","-0.017","41.9%","-0.061","42.0%"
"11","","TB","-0.025","42.3%","0.013","44.5%","-0.084","38.9%"
"12","","JAX","-0.020","44.1%","0.040","46.4%","-0.117","40.4%"
"13","","IND","-0.018","45.0%","0.043","47.3%","-0.099","42.0%"
"14","","BAL","-0.002","44.4%","0.054","46.6%","-0.107","40.4%"
"15","","KC","-0.001","42.8%","0.036","44.5%","-0.076","39.4%"
"16","","MIN","0.005","45.1%","0.054","46.9%","-0.077","42.0%"
"17","","CAR","0.010","44.4%","0.070","46.4%","-0.079","41.6%"
"18","","HOU","0.010","45.8%","0.033","47.0%","-0.017","44.5%"
"19","","LAC","0.012","44.0%","-0.006","43.5%","0.038","44.8%"
"20","","ARI","0.013","47.7%","0.055","51.2%","-0.057","42.0%"
"21","","LA","0.015","45.0%","0.093","49.3%","-0.100","38.6%"
"22","","TEN","0.015","42.7%","0.114","47.2%","-0.199","33.0%"
"23","","PIT","0.021","43.0%","0.078","45.4%","-0.071","39.1%"
"24","","MIA","0.022","43.5%","0.089","46.7%","-0.110","37.3%"
"25","","CLE","0.029","44.6%","0.017","45.3%","0.045","43.6%"
"26","","SEA","0.031","42.3%","0.046","43.9%","0.012","40.2%"
"27","","GB","0.033","45.8%","0.024","45.2%","0.044","46.6%"
"28","","NYG","0.046","44.0%","0.048","44.4%","0.043","43.4%"
"29","","ATL","0.063","48.2%","0.121","49.5%","-0.012","46.6%"
"30","","LV","0.069","47.7%","0.150","49.5%","-0.060","44.8%"
"31","","DET","0.084","47.3%","0.125","48.8%","0.021","44.8%"
"32","","CHI","0.123","48.3%","0.212","51.7%","0.022","44.4%"
