"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","NE","0.192","48.8%","0.261","49.0%","0.102","48.5%"
"2","","HOU","0.107","47.5%","0.150","48.4%","0.040","46.1%"
"3","","LAC","0.095","44.6%","0.256","50.2%","-0.124","37.0%"
"4","","IND","0.095","47.2%","0.181","51.7%","-0.066","38.9%"
"5","","PHI","0.077","44.2%","0.105","46.2%","0.022","40.5%"
"6","","GB","0.076","45.9%","0.188","51.8%","-0.122","35.5%"
"7","","ATL","0.066","43.1%","0.160","48.1%","-0.066","36.2%"
"8","","TB","0.042","41.9%","0.161","47.5%","-0.140","33.3%"
"9","","NO","0.039","46.2%","0.121","49.9%","-0.117","39.2%"
"10","","PIT","0.033","40.3%","0.163","46.8%","-0.126","32.4%"
"11","","KC","0.032","42.2%","0.098","45.6%","-0.034","38.8%"
"12","","BAL","0.030","41.9%","0.137","44.9%","-0.102","38.1%"
"13","","JAX","0.018","45.0%","0.004","45.0%","0.034","45.0%"
"14","","DAL","-0.002","43.3%","0.048","46.1%","-0.086","38.5%"
"15","","NYG","-0.006","44.3%","0.080","47.7%","-0.118","39.9%"
"16","","LV","-0.009","39.7%","0.003","41.5%","-0.024","37.3%"
"17","","DEN","-0.016","39.5%","0.090","43.8%","-0.206","31.7%"
"18","","TEN","-0.017","40.0%","0.083","45.1%","-0.153","33.2%"
"19","","NYJ","-0.019","41.7%","0.014","42.5%","-0.056","41.0%"
"20","","CIN","-0.040","44.4%","0.058","49.1%","-0.192","37.2%"
"21","","DET","-0.043","40.5%","0.018","43.5%","-0.155","35.1%"
"22","","SF","-0.056","38.7%","-0.024","40.0%","-0.105","36.8%"
"23","","MIA","-0.068","41.8%","-0.016","43.8%","-0.148","38.7%"
"24","","CLE","-0.078","40.4%","-0.049","43.5%","-0.120","36.1%"
"25","","WAS","-0.081","40.8%","-0.047","42.8%","-0.150","36.7%"
"26","","CHI","-0.093","39.2%","-0.050","43.7%","-0.161","32.1%"
"27","","LA","-0.096","38.7%","-0.061","42.4%","-0.152","32.8%"
"28","","BUF","-0.106","40.1%","-0.083","41.0%","-0.142","38.5%"
"29","","MIN","-0.111","42.4%","-0.105","44.1%","-0.120","39.9%"
"30","","SEA","-0.113","38.5%","-0.066","43.6%","-0.194","29.7%"
"31","","ARI","-0.220","37.2%","-0.247","38.8%","-0.165","34.1%"
"32","","CAR","-0.249","33.5%","-0.274","34.4%","-0.215","32.2%"
