"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","J.Garoppolo","","198","0.204","0.348","0.335","54.5%","68.2","62.2","6.0","8.9"
"2","T.Brady","","681","0.163","0.261","0.244","52.3%","66.6","62.9","3.7","9.1"
"3","C.Wentz","","550","0.143","0.257","0.243","49.6%","60.8","60.3","0.5","10.0"
"4","D.Watson","","279","0.161","0.277","0.223","49.8%","62.4","60.1","2.3","11.1"
"5","P.Rivers","","633","0.134","0.226","0.220","49.8%","63.7","62.7","1.0","8.4"
"6","J.Goff","","541","0.122","0.220","0.201","46.6%","63.1","64.0","-0.9","8.0"
"7","B.Roethlisberger","","629","0.132","0.192","0.181","50.9%","64.9","62.0","2.9","9.0"
"8","D.Brees","","595","0.141","0.191","0.179","49.7%","73.0","68.3","4.7","6.4"
"9","A.Smith","","618","0.139","0.181","0.177","48.5%","69.5","64.4","5.0","7.8"
"10","C.Keenum","","569","0.131","0.181","0.172","49.2%","68.4","64.8","3.6","7.6"
"11","M.Ryan","","601","0.128","0.182","0.159","50.7%","66.3","63.3","3.0","8.9"
"12","A.Rodgers","","301","0.113","0.172","0.136","51.8%","65.8","65.0","0.8","7.0"
"13","B.Bortles","","622","0.075","0.127","0.113","47.4%","61.4","64.4","-3.0","7.8"
"14","J.Winston","","528","0.120","0.132","0.110","50.9%","64.8","59.9","4.9","10.7"
"15","R.Fitzpatrick","","193","0.073","0.103","0.097","47.2%","59.6","61.2","-1.6","9.1"
"16","M.Stafford","","674","0.089","0.112","0.082","46.9%","66.3","65.6","0.6","8.0"
"17","R.Wilson","","728","0.106","0.099","0.081","46.7%","64.7","60.1","4.6","9.9"
"18","J.McCown","","479","0.107","0.089","0.061","46.1%","68.9","63.4","5.5","7.8"
"19","K.Cousins","","641","0.079","0.082","0.060","46.2%","65.0","64.1","0.8","7.7"
"20","D.Carr","","588","0.065","0.062","0.058","44.9%","63.3","63.6","-0.3","8.3"
"21","M.Mariota","","559","0.080","0.088","0.057","47.2%","63.4","62.7","0.7","9.0"
"22","T.Taylor","","564","0.074","0.063","0.054","42.6%","63.5","62.3","1.3","8.6"
"23","C.Newton","","682","0.057","0.070","0.048","45.0%","60.2","62.6","-2.3","8.6"
"24","D.Prescott","","620","0.069","0.070","0.030","45.8%","63.9","64.1","-0.2","8.0"
"25","C.Palmer","","318","0.056","0.034","0.014","45.6%","61.7","61.7","-0.0","9.3"
"26","D.Stanton","","185","-0.004","-0.010","-0.016","41.1%","50.6","59.0","-8.3","10.7"
"27","A.Dalton","","581","0.032","-0.012","-0.029","43.0%","62.7","64.3","-1.7","8.3"
"28","J.Cutler","","478","0.039","-0.011","-0.035","43.5%","63.3","63.7","-0.4","8.4"
"29","J.Brissett","","599","0.012","-0.027","-0.055","41.1%","60.8","65.2","-4.5","7.5"
"30","J.Flacco","","605","0.029","-0.030","-0.056","43.0%","64.8","66.0","-1.2","6.8"
"31","T.Siemian","","430","0.028","-0.030","-0.062","41.9%","60.6","62.1","-1.5","8.7"
"32","B.Osweiler","","203","0.002","-0.030","-0.078","38.9%","57.8","64.0","-6.2","7.6"
"33","E.Manning","","642","0.008","-0.073","-0.087","44.1%","62.1","65.7","-3.6","7.3"
"34","M.Trubisky","","424","-0.002","-0.076","-0.093","40.6%","60.1","65.5","-5.4","7.8"
"35","B.Hoyer","","243","-0.006","-0.067","-0.093","39.5%","59.1","65.3","-6.2","7.8"
"36","C.Beathard","","274","-0.014","-0.094","-0.119","40.9%","55.7","62.8","-7.1","7.4"
"37","D.Kizer","","629","-0.010","-0.097","-0.119","39.0%","54.3","60.6","-6.3","9.0"
"38","B.Hundley","","398","0.008","-0.108","-0.125","43.0%","61.5","64.6","-3.0","7.6"
"39","T.Savage","","267","0.004","-0.082","-0.126","41.9%","56.8","61.0","-4.2","8.9"
"40","B.Gabbert","","223","-0.016","-0.165","-0.205","39.9%","56.2","63.6","-7.4","9.3"
"41","M.Glennon","","162","0.034","-0.165","-0.213","38.9%","66.9","65.2","1.7","6.2"
