"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Rodgers","","615","0.191","0.356","0.348","54.8%","66.2","63.1","3.1","8.1"
"2","T.Romo","","503","0.208","0.347","0.329","53.3%","70.7","64.0","6.7","9.0"
"3","B.Roethlisberger","","683","0.168","0.249","0.240","52.9%","68.3","62.9","5.5","8.7"
"4","T.Brady","","671","0.126","0.197","0.190","48.9%","65.0","63.4","1.6","8.1"
"5","P.Manning","","662","0.138","0.201","0.180","50.9%","66.5","63.2","3.3","8.5"
"6","R.Wilson","","615","0.133","0.182","0.180","45.9%","66.3","62.5","3.8","8.0"
"7","J.Flacco","","636","0.109","0.184","0.175","49.8%","63.7","64.4","-0.7","8.6"
"8","D.Brees","","736","0.139","0.203","0.173","52.0%","70.4","66.9","3.4","7.7"
"9","C.Palmer","","254","0.113","0.180","0.156","44.5%","64.4","64.1","0.3","9.0"
"10","A.Smith","","583","0.091","0.145","0.141","47.0%","66.4","67.8","-1.3","5.9"
"11","P.Rivers","","682","0.130","0.159","0.139","49.6%","67.3","62.5","4.9","8.6"
"12","R.Fitzpatrick","","398","0.101","0.147","0.138","48.0%","63.5","63.2","0.3","8.5"
"13","A.Luck","","729","0.110","0.162","0.135","49.0%","63.1","62.1","1.1","8.9"
"14","E.Manning","","669","0.099","0.135","0.117","46.5%","63.9","63.1","0.8","8.3"
"15","M.Ryan","","715","0.106","0.145","0.111","49.7%","67.0","65.6","1.4","7.8"
"16","K.Cousins","","232","0.071","0.120","0.092","48.3%","61.8","65.0","-3.2","8.7"
"17","M.Sanchez","","368","0.092","0.124","0.089","50.0%","65.1","64.8","0.3","8.4"
"18","R.Tannehill","","719","0.094","0.102","0.082","51.0%","66.7","64.4","2.2","7.6"
"19","D.Stanton","","292","0.052","0.091","0.077","42.1%","55.5","60.2","-4.7","11.0"
"20","M.Stafford","","707","0.047","0.078","0.065","45.7%","61.7","66.4","-4.7","8.1"
"21","N.Foles","","357","0.062","0.078","0.052","44.0%","60.6","62.6","-2.0","9.6"
"22","C.Newton","","612","0.053","0.070","0.049","48.5%","58.9","61.9","-3.0","9.8"
"23","C.Kaepernick","","667","0.052","0.053","0.039","44.4%","60.8","62.9","-2.1","9.7"
"24","A.Dalton","","586","0.075","0.068","0.031","46.9%","65.6","64.5","1.1","7.9"
"25","T.Bridgewater","","500","0.058","0.037","0.025","45.0%","65.4","65.4","0.0","7.9"
"26","K.Orton","","507","0.053","0.038","0.022","45.2%","64.9","65.9","-1.0","7.1"
"27","C.McCoy","","169","0.081","0.033","0.020","44.4%","71.7","67.3","4.4","7.2"
"28","J.Cutler","","666","0.062","0.044","0.001","47.3%","66.0","65.7","0.3","7.3"
"29","C.Whitehurst","","227","0.025","-0.001","-0.001","40.1%","58.3","61.9","-3.6","9.7"
"30","B.Hoyer","","507","0.013","0.007","-0.007","42.6%","55.4","61.7","-6.3","10.4"
"31","M.Glennon","","248","0.043","0.000","-0.010","42.3%","58.2","58.6","-0.4","11.0"
"32","G.Smith","","470","0.038","0.019","-0.015","42.3%","61.2","63.6","-2.5","8.3"
"33","J.McCown","","405","0.021","-0.041","-0.061","42.2%","57.5","59.8","-2.3","10.2"
"34","J.Locker","","187","0.025","-0.030","-0.070","46.0%","59.7","61.7","-2.0","9.8"
"35","R.Griffin III","","298","0.046","-0.063","-0.087","43.6%","69.3","66.3","3.0","6.9"
"36","A.Davis","","337","0.032","-0.023","-0.087","47.5%","64.3","65.3","-1.0","8.7"
"37","D.Carr","","672","-0.006","-0.068","-0.089","40.8%","59.1","65.3","-6.2","7.9"
"38","E.Manuel","","155","0.005","-0.055","-0.098","40.6%","58.9","63.6","-4.6","7.5"
"39","S.Hill","","272","0.016","-0.064","-0.101","44.9%","64.4","66.8","-2.4","8.0"
"40","B.Bortles","","614","-0.011","-0.089","-0.126","42.2%","59.3","66.1","-6.8","7.0"
"41","Z.Mettenberger","","210","0.012","-0.114","-0.156","40.5%","60.1","62.4","-2.3","8.6"
"42","M.Vick","","165","0.003","-0.275","-0.280","37.0%","56.1","60.8","-4.7","9.2"
