"","Team","Abbr","EPA/play","Success Rate (SR)","Dropback EPA","Dropback SR","Rush EPA","Rush SR"
"1","","CHI","-0.143","40.5%","-0.108","43.2%","-0.208","35.4%"
"2","","ARI","-0.095","40.0%","-0.102","41.0%","-0.086","38.7%"
"3","","DEN","-0.090","40.0%","-0.069","41.7%","-0.126","37.1%"
"4","","HOU","-0.079","38.1%","-0.042","39.2%","-0.149","36.1%"
"5","","SF","-0.075","40.9%","-0.031","45.0%","-0.154","33.8%"
"6","","CIN","-0.057","43.1%","-0.041","44.7%","-0.084","40.4%"
"7","","SEA","-0.053","42.9%","-0.042","44.6%","-0.074","39.6%"
"8","","ATL","-0.039","42.9%","-0.013","44.4%","-0.078","40.5%"
"9","","PIT","-0.038","41.8%","-0.008","44.6%","-0.086","37.4%"
"10","","LAC","-0.025","43.6%","0.066","46.4%","-0.180","38.6%"
"11","","LA","-0.023","44.9%","0.005","48.9%","-0.068","38.5%"
"12","","NE","-0.013","45.0%","0.090","48.5%","-0.188","39.2%"
"13","","BAL","-0.008","43.6%","0.057","46.8%","-0.094","39.3%"
"14","","NYJ","-0.006","40.3%","0.045","43.0%","-0.067","37.1%"
"15","","GB","0.003","42.1%","0.038","44.5%","-0.055","38.1%"
"16","","MIN","0.015","45.0%","0.111","50.1%","-0.161","35.5%"
"17","","CAR","0.016","44.3%","0.069","47.7%","-0.070","38.6%"
"18","","MIA","0.021","42.5%","0.079","45.5%","-0.080","37.3%"
"19","","CLE","0.022","44.4%","0.089","48.6%","-0.082","37.9%"
"20","","NYG","0.026","46.5%","0.082","49.2%","-0.053","42.7%"
"21","","TB","0.026","44.4%","0.140","50.6%","-0.196","32.1%"
"22","","WAS","0.041","45.4%","0.080","46.1%","-0.041","44.0%"
"23","","DET","0.045","42.9%","0.131","46.4%","-0.097","37.2%"
"24","","TEN","0.048","46.5%","0.092","50.2%","-0.013","41.2%"
"25","","BUF","0.074","43.5%","0.080","43.6%","0.065","43.4%"
"26","","DAL","0.076","44.5%","0.170","47.9%","-0.049","39.9%"
"27","","IND","0.079","44.6%","0.126","48.0%","0.007","39.5%"
"28","","PHI","0.086","44.9%","0.209","48.9%","-0.071","39.7%"
"29","","LV","0.090","43.5%","0.188","49.2%","-0.049","35.3%"
"30","","NO","0.095","45.4%","0.161","48.8%","-0.007","40.1%"
"31","","JAX","0.097","46.6%","0.180","51.7%","-0.002","40.5%"
"32","","KC","0.108","43.0%","0.256","49.0%","-0.061","36.2%"
