"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","M.Ryan","","46","0.313","0.644","0.644","56.5%","81.1","71.0","10.0","6.8"
"2","D.Watson","","43","0.315","0.606","0.606","60.5%","77.8","65.2","12.6","9.1"
"3","P.Mahomes","","35","0.282","0.482","0.482","68.6%","80.8","67.7","13.1","6.2"
"4","R.Tannehill","","45","0.237","0.471","0.438","60.0%","73.2","67.7","5.4","7.5"
"5","T.Brady","","28","0.204","0.405","0.405","46.4%","65.4","62.4","3.0","8.9"
"6","M.Stafford","","38","0.182","0.391","0.391","52.6%","61.3","61.7","-0.4","8.7"
"7","J.Garoppolo","","36","0.183","0.368","0.368","52.8%","71.9","70.8","1.1","4.5"
"8","J.Burrow","","43","0.150","0.362","0.362","48.8%","64.1","68.7","-4.6","8.8"
"9","P.Rivers","","48","0.171","0.327","0.327","50.0%","69.0","67.9","1.1","8.2"
"10","K.Murray","","36","0.017","0.287","0.287","47.2%","40.9","65.4","-24.5","10.5"
"11","L.Jackson","","41","0.102","0.223","0.223","46.3%","64.0","68.7","-4.7","6.6"
"12","D.Jones","","26","0.149","0.290","0.219","50.0%","66.7","67.4","-0.7","6.9"
"13","J.Allen","","38","0.075","0.180","0.180","50.0%","56.0","62.5","-6.5","10.2"
"14","N.Foles","","42","0.077","0.137","0.130","50.0%","63.9","67.1","-3.2","5.7"
"15","B.Roethlisberger","","28","0.072","0.105","0.105","39.3%","63.6","65.7","-2.0","7.9"
"16","K.Allen","","49","0.153","0.150","0.061","53.1%","77.5","67.8","9.7","5.8"
"17","J.Goff","","41","-0.004","0.011","0.007","39.0%","51.4","60.9","-9.6","12.3"
"18","K.Cousins","","41","0.077","0.042","-0.008","51.2%","68.6","65.5","3.1","9.5"
"19","G.Minshew II","","48","0.012","-0.016","-0.016","37.5%","56.8","61.9","-5.1","9.5"
"20","A.Dalton","","64","0.008","-0.042","-0.052","42.2%","65.4","70.0","-4.6","5.8"
"21","T.Bridgewater","","45","-0.011","-0.094","-0.094","35.6%","59.3","65.8","-6.6","9.1"
"22","R.Fitzpatrick","","30","0.028","-0.126","-0.126","50.0%","66.7","66.0","0.7","7.8"
"23","C.Wentz","","55","0.009","-0.105","-0.127","38.2%","53.8","56.7","-2.9","9.3"
"24","C.Newton","","38","0.021","-0.130","-0.161","50.0%","68.0","68.5","-0.5","6.0"
"25","D.Lock","","29","-0.035","-0.178","-0.181","34.5%","41.7","52.5","-10.9","16.3"
"26","A.Rodgers","","42","-0.037","-0.229","-0.317","35.7%","51.6","63.3","-11.7","9.6"
"27","J.Flacco","","50","-0.019","-0.404","-0.404","30.0%","53.8","63.7","-9.9","9.5"
"28","B.Mayfield","","26","-0.014","-0.439","-0.539","34.6%","58.8","68.2","-9.4","6.8"
