SEA	TE	15	63	48	76.2	478	4	41	7.6	10	3	20	6.7	0	2	2	7.9	117.8
CLE	TE	16	53	36	67.9	475	4	71	9	13.2	1	1	1	0	0	0	6.7	107.6
NYG	TE	15	73	46	63	408	3	30	5.6	8.9	1	-3	-3	0	1	1	6.8	102.5
CLE	TE	16	61	38	62.3	345	3	34	5.7	9.1	0	0	0	0	0	0	5.8	92.5
LV	TE	17	44	30	68.2	373	3	44	8.5	12.4	0	0	0	0	1	0	5	85.3
IND	TE	17	45	24	53.3	316	4	37	7	13.2	0	0	0	0	1	0	4.7	79.6
IND	TE	17	43	29	67.4	302	3	34	7	10.4	0	0	0	0	0	0	4.7	79.2
TEN	TE	15	43	34	79.1	291	2	24	6.8	8.6	0	0	0	1	2	1	5.3	79.1
TB	TE	17	57	30	52.6	245	4	18	4.3	8.2	0	0	0	0	0	0	4.6	78.5
DEN	TE	14	40	33	82.5	330	2	64	8.2	10	0	0	0	0	1	1	5.4	76
JAX	TE	11	52	35	67.3	408	0	28	7.8	11.7	0	0	0	0	1	1	6.9	75.8
TEN	TE	16	40	31	77.5	210	3	26	5.2	6.8	0	0	0	0	0	0	4.4	70
MIA	TE	17	41	34	82.9	357	0	25	8.7	10.5	2	3	1.5	0	0	0	4.1	70
WAS	TE	13	49	30	61.2	271	2	39	5.5	9	0	0	0	0	0	0	5.3	69.1
NE	TE	16	45	28	62.2	294	1	28	6.5	10.5	9	40	4.4	0	1	0	4.2	67.4
NYJ	TE	14	42	27	64.3	261	2	29	6.2	9.7	0	0	0	0	1	0	4.6	65.1
ATL	TE	13	31	26	83.9	221	3	33	7.1	8.5	0	0	0	0	3	1	4.9	64.1
NO	TE	13	43	27	62.8	263	2	32	6.1	9.7	0	0	0	0	1	1	4.9	63.3
CLE	TE	16	28	21	75	233	3	41	8.3	11.1	0	0	0	0	0	0	3.9	62.3
GB	TE	16	33	25	75.8	245	2	62	7.4	9.8	0	0	0	0	0	0	3.8	61.5
NYG	TE	16	39	26	66.7	257	1	60	6.6	9.9	0	0	0	0	0	0	3.7	59.7
LAC	TE	14	27	20	74.1	190	3	22	7	9.5	0	0	0	0	0	0	4.2	59
HOU	TE	9	28	20	71.4	178	3	27	6.4	8.9	0	0	0	0	0	0	6.2	55.8
WAS	TE	6	25	18	72	196	3	35	7.8	10.9	0	0	0	0	1	1	8.9	53.6
CAR	TE	16	35	20	57.1	180	1	30	5.1	9	3	11	3.7	1	0	0	3.3	53.1
NO	TE	14	22	13	59.1	159	4	27	7.2	12.2	0	0	0	0	0	0	3.8	52.9
