LAR	TE	16	62	41	66.1	417	1	40	6.7	10.2	1	2	2	1	1	1	5.8	92.9
HOU	TE	13	49	37	75.5	403	1	26	8.2	10.9	1	4	4	0	0	0	6.4	83.7
TEN	TE	16	53	39	73.6	387	1	45	7.3	9.9	0	0	0	0	0	0	5.2	83.7
IND	TE	13	47	28	59.6	250	3	20	5.3	8.9	2	3	1.5	2	0	0	6.4	83.3
JAX	TE	15	60	36	60	349	2	28	5.8	9.7	0	0	0	0	0	0	5.5	82.9
IND	TE	15	38	31	81.6	394	2	45	10.4	12.7	0	0	0	0	1	1	5.4	80.4
CIN	TE	16	53	40	75.5	349	1	23	6.6	8.7	0	0	0	0	1	1	4.9	78.9
PHI	TE	11	72	36	50	335	1	42	4.7	9.3	0	0	0	0	0	0	7	77.5
HOU	TE	16	28	21	75	312	4	44	11.1	14.9	0	0	0	0	0	0	4.8	76.2
NYJ	TE	16	46	31	67.4	287	3	26	6.2	9.3	0	0	0	0	2	2	4.6	73.7
SF	TE	10	46	26	56.5	231	4	26	5	8.9	0	0	0	0	0	0	7.3	73.1
PHI	TE	14	31	24	77.4	345	2	33	11.1	14.4	0	0	0	0	0	0	5	70.5
TB	TE	16	34	28	82.4	282	2	25	8.3	10.1	0	0	0	0	0	0	4.3	68.2
BUF	TE	12	44	24	54.5	288	3	36	6.5	12	0	0	0	0	2	2	5.6	66.8
SEA	TE	16	40	25	62.5	209	3	20	5.2	8.4	0	0	0	0	0	0	4.1	65.9
MIN	TE	12	37	28	75.7	334	1	25	9	11.9	0	0	0	0	1	1	5.4	65.4
IND	TE	14	33	23	69.7	251	3	28	7.6	10.9	0	0	0	0	1	1	4.6	64.1
CHI	TE	16	44	28	63.6	243	2	38	5.5	8.7	1	-3	-3	0	1	1	3.9	62
CLE	TE	15	38	24	63.2	238	3	35	6.3	9.9	0	0	0	0	2	2	4.1	61.8
SEA	TE	16	29	24	82.8	251	2	28	8.7	10.5	0	0	0	0	0	0	3.8	61.1
MIA	TE	15	29	26	89.7	208	2	19	7.2	8	0	0	0	0	0	0	3.9	58.8
JAX	TE	15	38	28	73.7	262	0	26	6.9	9.4	0	0	0	0	0	0	3.6	54.2
SEA	TE	11	37	24	64.9	239	1	22	6.5	10	0	0	0	0	0	0	4.9	53.9
CLE	TE	13	29	19	65.5	213	2	28	7.3	11.2	0	0	0	0	0	0	4	52.3
SF	TE	16	24	19	79.2	245	1	36	10.2	12.9	0	0	0	0	0	0	3.1	49.5
MIA	TE	16	22	12	54.5	150	3	43	6.8	12.5	0	0	0	0	0	0	2.8	45
MIN	TE	16	26	19	73.1	194	1	30	7.5	10.2	0	0	0	0	1	0	2.8	44.4
LAC	TE	13	20	10	50	159	3	26	8	15.9	0	0	0	0	0	0	3.4	43.9
HOU	TE	13	16	14	87.5	163	2	29	10.2	11.6	0	0	0	0	0	0	3.3	42.3
BUF	TE	10	16	12	75	119	3	38	7.4	9.9	0	0	0	0	0	0	4.2	41.9
CAR	TE	16	31	20	64.5	145	1	21	4.7	7.2	0	0	0	0	1	0	2.5	40.5
DET	TE	16	22	14	63.6	129	2	31	5.9	9.2	0	0	0	0	0	0	2.4	38.9
GB	TE	15	17	10	58.8	107	3	36	6.3	10.7	0	0	0	0	0	0	2.6	38.7
NO	TE	15	16	15	93.8	171	1	41	10.7	11.4	0	0	0	0	0	0	2.5	38.1
TB	TE	4	19	11	57.9	146	2	33	7.7	13.3	0	0	0	0	0	0	9.4	37.6
BAL	TE	9	17	14	82.4	113	2	21	6.6	8.1	0	0	0	0	0	0	4.1	37.3
LV	TE	16	9	7	77.8	140	2	47	15.6	20	0	0	0	0	0	0	2.1	33
LV	TE	16	17	13	76.5	69	2	15	4.1	5.3	0	0	0	0	0	0	2	31.9
NE	TE	12	20	13	65	199	0	50	10	15.3	0	0	0	0	1	1	2.6	30.9
DEN	TE	15	21	14	66.7	95	1	19	4.5	6.8	0	0	0	0	0	0	2	29.5
GB	TE	12	15	12	80	114	1	27	7.6	9.5	0	0	0	0	0	0	2.4	29.4
