"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","P.Manning","","39","0.317","0.617","0.617","61.5%","78.9","66.7","12.3","5.0"
"2","T.Brady","","38","0.242","0.599","0.599","55.3%","61.1","61.6","-0.5","10.4"
"3","J.Cutler","","28","0.314","0.549","0.546","53.6%","75.0","59.7","15.3","11.8"
"4","A.Dalton","","35","0.257","0.528","0.528","60.0%","64.5","58.4","6.1","8.1"
"5","A.Rodgers","","47","0.278","0.475","0.475","66.0%","75.6","62.9","12.7","7.9"
"6","C.Newton","","37","0.176","0.443","0.443","51.4%","62.5","66.6","-4.1","7.4"
"7","D.Brees","","58","0.190","0.418","0.418","53.4%","64.8","65.1","-0.3","7.0"
"8","R.Griffin III","","46","0.221","0.374","0.374","52.2%","76.5","68.9","7.6","6.5"
"9","M.Schaub","","29","0.179","0.323","0.323","55.2%","71.4","68.6","2.8","6.2"
"10","M.Vick","","37","0.202","0.321","0.321","51.4%","70.4","63.3","7.1","9.2"
"11","R.Tannehill","","46","0.161","0.244","0.244","54.3%","63.4","58.8","4.7","10.5"
"12","E.Manning","","49","0.134","0.222","0.217","49.0%","58.5","57.3","1.2","10.5"
"13","P.Rivers","","31","0.202","0.190","0.190","51.6%","78.3","62.3","15.9","7.0"
"14","M.Stafford","","61","0.076","0.144","0.144","45.9%","60.0","64.0","-4.0","9.1"
"15","R.Fitzpatrick","","45","0.086","0.142","0.142","42.2%","56.4","58.4","-2.0","12.0"
"16","J.Flacco","","55","0.112","0.130","0.119","47.3%","60.9","57.3","3.5","11.9"
"17","M.Ryan","","50","0.058","0.036","0.036","44.0%","62.5","62.5","0.0","10.2"
"18","J.Freeman","","42","0.025","-0.015","-0.024","33.3%","61.5","64.3","-2.7","7.9"
"19","S.Bradford","","32","-0.004","-0.028","-0.032","43.8%","55.2","62.6","-7.4","9.1"
"20","C.Palmer","","38","0.029","-0.055","-0.055","31.6%","55.9","56.2","-0.3","10.7"
"21","A.Smith","","29","0.029","-0.094","-0.094","51.7%","57.1","56.4","0.7","12.3"
"22","C.Ponder","","31","-0.014","-0.105","-0.105","35.5%","61.5","68.6","-7.1","5.5"
"23","K.Kolb","","57","0.011","-0.086","-0.123","35.1%","60.4","63.1","-2.7","8.7"
"24","B.Weeden","","52","-0.020","-0.050","-0.127","40.4%","50.0","59.3","-9.3","10.0"
"25","M.Cassel","","48","0.005","-0.107","-0.184","43.8%","61.5","65.1","-3.6","6.7"
"26","B.Gabbert","","44","0.023","-0.192","-0.209","45.5%","67.6","68.0","-0.4","6.1"
"27","R.Wilson","","34","0.035","-0.296","-0.346","50.0%","68.0","67.1","0.9","7.2"
"28","T.Romo","","46","0.063","-0.164","-0.362","50.0%","73.8","66.7","7.1","8.2"
"29","M.Sanchez","","35","-0.081","-0.442","-0.475","31.4%","44.8","66.3","-21.4","7.0"
"30","M.Hasselbeck","","30","0.048","-0.212","-0.536","46.7%","70.8","66.8","4.0","7.1"
