"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","T.Romo","","33","0.363","0.668","0.668","60.6%","81.5","63.6","17.9","8.5"
"2","J.Cutler","","34","0.248","0.486","0.486","52.9%","65.4","58.6","6.7","11.3"
"3","R.Griffin III","","26","0.207","0.431","0.431","57.7%","61.9","59.8","2.1","10.6"
"4","B.Quinn","","27","0.295","0.419","0.419","55.6%","82.6","63.8","18.8","7.8"
"5","R.Wilson","","49","0.209","0.380","0.380","51.0%","62.2","57.0","5.2","11.3"
"6","E.Manning","","38","0.192","0.340","0.340","47.4%","62.5","58.3","4.2","12.1"
"7","C.Newton","","36","0.174","0.334","0.334","47.2%","55.6","54.3","1.3","13.3"
"8","A.Rodgers","","47","0.257","0.311","0.311","57.4%","79.4","61.8","17.6","9.7"
"9","B.Weeden","","41","0.220","0.294","0.294","56.1%","69.4","57.5","12.0","8.1"
"10","N.Foles","","36","0.184","0.270","0.270","44.4%","71.0","64.0","7.0","8.1"
"11","C.Palmer","","54","0.140","0.210","0.210","55.6%","66.7","63.5","3.1","9.5"
"12","C.Batch","","39","0.168","0.209","0.185","53.8%","69.4","61.2","8.2","9.3"
"13","T.Brady","","48","0.087","0.136","0.136","50.0%","60.0","61.4","-1.4","7.7"
"14","P.Manning","","43","0.127","0.141","0.114","60.5%","71.1","65.5","5.6","7.0"
"15","R.Fitzpatrick","","22","0.044","0.091","0.091","40.9%","52.9","59.0","-6.1","8.0"
"16","A.Luck","","60","0.024","0.103","0.074","46.7%","46.2","56.8","-10.6","11.2"
"17","C.Kaepernick","","46","0.075","0.060","0.007","50.0%","67.7","66.1","1.7","6.9"
"18","M.Schaub","","37","0.006","0.003","0.003","37.8%","60.0","67.3","-7.3","5.7"
"19","A.Dalton","","46","0.088","0.054","0.001","47.8%","69.4","65.1","4.4","6.4"
"20","M.Stafford","","48","0.019","-0.004","-0.004","43.8%","58.7","63.3","-4.6","9.3"
"21","S.Bradford","","45","0.025","-0.068","-0.068","44.4%","68.4","69.1","-0.6","7.1"
"22","J.Freeman","","46","-0.026","-0.034","-0.079","37.0%","46.2","57.3","-11.2","11.4"
"23","R.Tannehill","","37","-0.040","-0.091","-0.091","40.5%","46.4","58.4","-11.9","12.1"
"24","P.Rivers","","56","-0.011","-0.140","-0.150","44.6%","59.1","65.4","-6.3","6.2"
"25","M.Ryan","","34","-0.009","-0.152","-0.152","32.4%","56.3","62.3","-6.0","9.1"
"26","C.Ponder","","33","-0.028","-0.152","-0.186","45.5%","48.0","57.5","-9.5","11.1"
"27","J.Flacco","","40","-0.024","-0.191","-0.191","40.0%","47.1","56.0","-8.9","13.2"
"28","C.Henne","","53","-0.034","-0.219","-0.226","41.5%","45.2","56.2","-11.0","11.1"
"29","J.Locker","","62","-0.050","-0.211","-0.235","33.9%","46.7","60.4","-13.8","9.6"
"30","D.Brees","","54","0.007","-0.256","-0.292","42.6%","58.3","62.1","-3.8","10.9"
"31","R.Lindley","","34","-0.106","-0.615","-0.615","11.8%","32.3","59.8","-27.6","9.7"
"32","M.Sanchez","","25","-0.017","-0.659","-0.703","32.0%","50.0","61.8","-11.8","10.7"
