"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","M.Schaub","","33","0.265","0.607","0.607","45.5%","60.7","57.4","3.3","11.7"
"2","B.Roethlisberger","","51","0.287","0.511","0.511","58.8%","78.3","65.9","12.4","7.9"
"3","A.Dalton","","33","0.262","0.477","0.455","54.5%","70.4","60.8","9.6","9.6"
"4","J.Flacco","","47","0.285","0.489","0.449","57.4%","71.8","58.7","13.1","11.8"
"5","C.Ponder","","41","0.142","0.406","0.406","58.5%","60.0","68.3","-8.3","5.7"
"6","E.Manning","","38","0.273","0.401","0.401","60.5%","79.4","63.7","15.7","7.1"
"7","T.Brady","","50","0.215","0.400","0.400","60.0%","68.3","63.1","5.2","7.3"
"8","J.Locker","","48","0.203","0.386","0.371","43.8%","69.0","65.3","3.7","7.5"
"9","M.Ryan","","47","0.222","0.321","0.321","53.2%","76.9","66.1","10.8","6.6"
"10","M.Stafford","","45","0.214","0.273","0.273","62.2%","78.6","66.3","12.2","6.5"
"11","K.Kolb","","30","0.150","0.232","0.232","53.3%","70.8","67.5","3.4","6.6"
"12","C.Palmer","","38","0.174","0.240","0.213","55.3%","70.6","63.3","7.3","8.1"
"13","R.Fitzpatrick","","40","0.098","0.206","0.205","47.5%","62.9","67.0","-4.2","4.5"
"14","A.Luck","","52","0.078","0.209","0.189","42.3%","50.0","58.0","-8.0","12.3"
"15","P.Manning","","59","0.026","0.107","0.107","40.7%","51.0","61.4","-10.5","9.2"
"16","A.Rodgers","","54","0.076","0.056","0.056","50.0%","68.4","66.4","2.1","5.1"
"17","M.Sanchez","","51","0.021","0.049","0.043","45.1%","47.7","55.1","-7.4","11.3"
"18","R.Wilson","","29","0.018","0.040","0.040","41.4%","47.6","55.1","-7.4","11.0"
"19","R.Tannehill","","43","-0.010","0.066","0.021","37.2%","44.4","58.6","-14.2","10.5"
"20","A.Smith","","42","0.056","0.003","0.003","52.4%","68.6","66.7","1.9","6.7"
"21","R.Griffin III","","53","0.060","0.005","-0.004","54.7%","63.6","61.2","2.5","8.2"
"22","M.Cassel","","48","0.020","0.001","-0.015","43.8%","60.5","65.0","-4.6","7.9"
"23","B.Gabbert","","27","-0.055","-0.018","-0.018","37.0%","47.6","64.7","-17.1","6.9"
"24","J.Cutler","","36","-0.009","-0.021","-0.063","47.2%","54.8","63.6","-8.7","6.8"
"25","D.Brees","","41","-0.001","-0.058","-0.071","43.9%","55.6","61.3","-5.7","8.4"
"26","C.Newton","","40","-0.024","-0.119","-0.126","47.5%","53.3","62.0","-8.7","8.4"
"27","T.Romo","","45","0.034","-0.130","-0.149","42.2%","65.8","64.0","1.8","10.3"
"28","B.Weeden","","50","0.008","-0.159","-0.199","38.0%","62.8","65.7","-2.9","7.1"
"29","P.Rivers","","41","-0.027","-0.211","-0.211","29.3%","55.3","64.9","-9.6","7.7"
"30","J.Freeman","","35","-0.084","-0.373","-0.373","31.4%","37.0","58.5","-21.5","8.5"
"31","M.Vick","","47","-0.016","-0.319","-0.451","29.8%","45.9","54.5","-8.6","10.2"
"32","S.Bradford","","42","-0.037","-0.379","-0.463","35.7%","52.9","66.0","-13.0","7.0"
