"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"1",1,"Jonathan Taylor",IND,"RB1","1","11","2.8","2.2","+2"
"2",1,"Christian McCaffrey",SF,"RB2","1","18","3.2","3.8","-1"
"3",1,"Dalvin Cook",MIN,"RB3","2","31","8.1","7.2","-1"
"4",1,"Justin Jefferson",MIN,"WR1","1","26","8.5","5.7","+70"
"5",1,"Alvin Kamara",NO,"RB4","2","26","8.7","5.3","-1"
"6",2,"Tyreek Hill",MIA,"WR2","4","28","10.2","5.2","+1"
"7",2,"A.J. Brown",PHI,"WR3","3","29","10.8","5.6","+68"
"8",2,"Saquon Barkley",NYG,"RB5","2","49","11.5","10.6","-2"
"9",2,"Davante Adams",LV,"WR4","4","28","12.1","6.2","+1"
"10",2,"Najee Harris",PIT,"RB6","2","39","12.3","8.4","+1"
"11",2,"D'Andre Swift",PHI,"RB7","2","46","14.6","10.0","+8"
"12",2,"Nick Chubb",CLE,"RB8","4","36","14.7","6.5","-3"
"13",2,"DK Metcalf",SEA,"WR5","6","34","15.5","7.6","-5"
"14",3,"Stefon Diggs",BUF,"WR6","8","33","18.3","6.4","0"
"15",3,"Derrick Henry",TEN,"RB9","4","56","19.1","10.9","-10"
"16",3,"CeeDee Lamb",DAL,"WR7","4","36","19.3","8.7","0"
"17",3,"Ja'Marr Chase",CIN,"WR8","2","92","20.7","17.5","+11"
"18",3,"Antonio Gibson",WAS,"RB10","6","52","22.5","10.1","-3"
"19",3,"Joe Mixon",CIN,"RB11","4","51","23.7","10.3","+5"
"20",3,"Travis Kelce",KC,"TE1","10","62","24.0","14.8","-7"
"21",3,"Austin Ekeler",LAC,"RB12","5","50","24.4","12.4","+2"
"22",3,"Aaron Jones",GB,"RB13","9","81","26.8","14.4","0"
"23",3,"George Kittle",SF,"TE2","12","63","27.2","13.2","+2"
"24",4,"Patrick Mahomes II",KC,"QB1","16","52","28.7","8.5","-7"
"25",4,"Terry McLaurin",WAS,"WR9","17","48","29.8","5.5","+1"
"26",4,"DeAndre Hopkins",ARI,"WR10","10","75","31.0","14.7","-5"
"27",4,"Ezekiel Elliott",FA,"RB14","6","85","31.5","17.2","-15"
"28",4,"DJ Moore",CHI,"WR11","19","47","32.0","5.5","+16"
"29",4,"Calvin Ridley",JAC,"WR12","5","203","32.5","24.7","-11"
"30",4,"Chris Godwin",TB,"WR13","16","67","32.7","7.5","+1"
"31",4,"J.K. Dobbins",BAL,"RB15","13","112","34.6","17.8","-"
"32",4,"Javonte Williams",DEN,"RB16","3","115","35.5","22.0","+3"
"33",4,"Kyle Pitts",ATL,"TE3","4","71","30.2","18.6","+1"
"34",4,"Tee Higgins",CIN,"WR14","12","64","35.8","10.2","+17"
"35",4,"Cooper Kupp",LAR,"WR15","7","75","38.4","20.6","+22"
"36",4,"Keenan Allen",LAC,"WR16","25","66","38.8","7.9","+1"
"37",4,"Diontae Johnson",PIT,"WR17","16","73","39.8","9.2","+13"
"38",5,"Mike Evans",TB,"WR18","29","62","41.1","7.3","+2"
"39",5,"Amari Cooper",CLE,"WR19","32","69","41.2","8.7","+6"
"40",5,"Clyde Edwards-Helaire",KC,"RB17","15","95","42.3","18.8","-20"
"41",5,"Josh Allen",BUF,"QB2","20","57","43.0","9.6","-12"
"42",5,"David Montgomery",DET,"RB18","15","62","44.3","10.3","+51"
"43",5,"Darren Waller",NYG,"TE4","14","83","45.1","18.5","-16"
"44",5,"Mark Andrews",BAL,"TE5","12","72","45.5","21.8","+3"
"45",5,"Kyler Murray",ARI,"QB3","30","70","49.9","6.9","-15"
"46",5,"Cam Akers",LAR,"RB19","7","182","44.9","32.5","+2"
"47",5,"Deebo Samuel",SF,"WR20","10","92","51.3","26.8","+36"
"48",5,"Josh Jacobs",LV,"RB20","27","80","51.8","9.4","-15"
"49",5,"Jerry Jeudy",DEN,"WR21","34","101","52.5","11.8","0"
"50",5,"Allen Robinson II",PIT,"WR22","26","111","54.1","26.3","-18"
"51",5,"Miles Sanders",CAR,"RB21","21","102","54.7","17.1","-12"
"52",5,"Brandon Aiyuk",SF,"WR23","24","128","55.3","18.9","-16"
"53",5,"Michael Thomas",NO,"WR24","16","208","55.5","32.3","-15"
"54",5,"Jaylen Waddle",MIA,"WR25","19","196","56.9","34.6","+1"
"55",5,"Lamar Jackson",BAL,"QB4","39","86","57.4","8.8","-14"
"56",5,"DeVonta Smith",PHI,"WR26","35","129","52.9","15.8","+9"
"57",6,"Justin Herbert",LAC,"QB5","24","87","58.7","10.6","-14"
"58",6,"Chase Claypool",CHI,"WR27","32","155","59.7","19.0","-12"
"59",6,"Dak Prescott",DAL,"QB6","49","93","62.0","9.8","-7"
"60",6,"Courtland Sutton",DEN,"WR28","39","109","62.1","16.4","+39"
"61",6,"T.J. Hockenson",MIN,"TE6","19","86","62.1","10.7","-8"
"62",6,"Travis Etienne Jr.",JAC,"RB22","25","335","58.2","38.5","-"
"63",6,"Kareem Hunt",FA,"RB23","46","103","64.7","12.1","-4"
"64",6,"Tyler Lockett",SEA,"WR29","40","102","68.7","11.9","-4"
"65",6,"Robert Woods",HOU,"WR30","34","117","69.6","20.8","-11"
"66",6,"Joe Burrow",CIN,"QB7","42","105","70.2","12.8","+5"
"67",6,"Kenny Golladay",FA,"WR31","36","199","76.6","34.3","-11"
"68",6,"AJ Dillon",GB,"RB24","40","129","77.8","18.2","+43"
"69",6,"James Robinson",NE,"RB25","40","132","79.3","22.0","-7"
"70",6,"Odell Beckham Jr.",BAL,"WR32","47","122","79.7","15.9","-3"
"71",6,"Michael Pittman Jr.",IND,"WR33","34","157","80.7","32.1","+15"
"72",6,"Dallas Goedert",PHI,"TE7","62","127","80.8","12.0","+38"
"73",6,"JuJu Smith-Schuster",NE,"WR34","49","137","81.4","20.6","-12"
"74",7,"Russell Wilson",DEN,"QB8","54","121","82.1","13.8","-11"
"75",7,"Damien Harris",BUF,"RB26","51","115","82.1","13.7","-2"
"76",7,"Chris Carson",FA,"RB27","42","203","84.1","35.6","-34"
"77",7,"Noah Fant",SEA,"TE8","63","128","84.6","14.8","+4"
"78",7,"Michael Carter",NYJ,"RB28","37","186","75.8","23.1","-14"
"79",7,"Chase Edmonds",TB,"RB29","61","115","86.5","11.2","+28"
"80",7,"Adam Thielen",CAR,"WR35","42","165","86.8","20.8","-10"
"81",7,"Rashod Bateman",BAL,"WR36","39","226","82.7","34.7","+25"
"82",7,"Elijah Moore",CLE,"WR37","28","259","83.0","42.7","+3"
"83",7,"Leonard Fournette",FA,"RB30","42","185","91.1","25.5","+6"
"84",7,"DJ Chark Jr.",CAR,"WR38","41","196","91.6","29.4","-6"
"85",7,"Tyler Boyd",CIN,"WR39","66","129","91.8","15.6","-3"
"86",7,"Julio Jones",FA,"WR40","34","200","93.0","40.8","-28"
"87",7,"Brandin Cooks",DAL,"WR41","62","156","95.8","16.0","+32"
"88",7,"Marquise Brown",ARI,"WR42","38","206","96.3","34.6","+37"
"89",7,"Trevor Lawrence",JAC,"QB9","56","151","92.1","16.9","-20"
"90",7,"Aaron Rodgers",NYJ,"QB10","67","146","98.5","13.9","-11"
"91",7,"Melvin Gordon III",FA,"RB31","61","160","99.6","17.7","+21"
"92",7,"Tony Pollard",DAL,"RB32","57","174","100.1","22.8","+29"
"93",7,"Myles Gaskin",MIA,"RB33","57","211","100.6","35.1","-25"
"94",7,"Ronald Jones II",DAL,"RB34","59","237","102.1","31.3","-17"
"95",7,"Laviska Shenault Jr.",CAR,"WR43","62","186","102.6","27.0","-23"
"96",7,"Mike Gesicki",NE,"TE9","68","136","103.1","15.9","+22"
"97",7,"Darrell Henderson Jr.",FA,"RB35","46","180","103.3","26.9","+18"
"98",7,"Mike Williams",LAC,"WR44","38","192","103.6","38.3","+32"
"99",7,"Jalen Hurts",PHI,"QB11","65","292","104.2","25.9","+25"
"100",7,"Michael Gallup",DAL,"WR45","73","174","104.5","19.0","+20"
"101",7,"Matthew Stafford",LAR,"QB12","68","140","106.1","16.9","+2"
"102",7,"James Conner",ARI,"RB36","52","149","106.8","19.2","+25"
"103",7,"Justin Fields",CHI,"QB13","61","182","103.1","19.3","+19"
"104",7,"Trey Lance",SF,"QB14","62","156","99.5","19.1","-20"
"105",8,"William Fuller V",FA,"WR46","69","266","112.3","35.9","+9"
"106",8,"Trey Sermon",PHI,"RB37","49","328","108.8","51.1","-40"
"107",8,"Devin Singletary",HOU,"RB38","66","149","113.8","19.1","+25"
"108",8,"Darnell Mooney",CHI,"WR47","48","236","114.5","39.6","-14"
"109",8,"Corey Davis",NYJ,"WR48","79","208","115.3","23.0","+14"
"110",8,"Zack Moss",IND,"RB39","64","251","119.8","37.4","-23"
"111",8,"Ryan Tannehill",TEN,"QB15","73","192","120.2","20.1","+23"
"112",8,"Tua Tagovailoa",MIA,"QB16","91","183","120.6","15.9","+37"
"113",8,"Rondale Moore",ARI,"WR49","61","244","117.3","34.6","-22"
"114",8,"Irv Smith Jr.",CIN,"TE10","70","253","124.0","30.3","-"
"115",8,"Hunter Henry",NE,"TE11","60","161","124.2","17.8","-15"
"116",8,"Jarvis Landry",FA,"WR50","82","189","124.4","20.8","-28"
"117",8,"Deshaun Watson",CLE,"QB17","50","329","115.8","42.4","-27"
"118",8,"Curtis Samuel",WAS,"WR51","73","261","120.4","35.5","-5"
"119",8,"Kenyan Drake",FA,"RB40","80","309","131.4","33.0","+9"
"120",8,"Alexander Mattison",MIN,"RB41","83","248","127.9","26.5","+24"
"121",8,"Chosen Anderson",MIA,"WR52","73","210","133.2","34.3","-5"
"122",8,"Cole Kmet",CHI,"TE12","105","308","134.4","23.8","+30"
"123",8,"Logan Thomas",WAS,"TE13","79","261","131.3","24.9","-26"
"124",8,"Jonnu Smith",ATL,"TE14","78","251","137.8","33.0","+17"
"125",8,"Nyheim Hines",BUF,"RB42","110","283","142.9","26.9","-24"
"126",8,"Kenneth Gainwell",PHI,"RB43","84","299","134.6","32.9","-22"
"127",8,"DeVante Parker",NE,"WR53","82","247","139.0","26.2","+10"
"128",8,"Mike Davis",FA,"RB44","57","277","140.1","51.2","-48"
"129",8,"Tyler Higbee",LAR,"TE15","92","193","140.5","17.9","+22"
"130",8,"Amon-Ra St. Brown",DET,"WR54","41","268","132.1","53.4","+18"
"131",8,"Evan Engram",JAC,"TE16","94","252","144.9","27.4","+7"
"132",8,"Zach Wilson",NYJ,"QB18","91","268","140.9","30.8","+25"
"133",8,"Baker Mayfield",TB,"QB19","93","251","146.2","29.5","-28"
"134",9,"Kirk Cousins",MIN,"QB20","82","206","148.1","20.6","+51"
"135",9,"Rashaad Penny",PHI,"RB45","61","295","144.8","40.1","+31"
"136",9,"Terrace Marshall Jr.",CAR,"WR55","66","289","141.2","41.4","-44"
"137",9,"Kadarius Toney",KC,"WR56","66","289","137.1","53.2","+5"
"138",9,"Gabe Davis",BUF,"WR57","46","244","145.4","41.8","+7"
"139",9,"Christian Kirk",JAC,"WR58","82","240","144.0","32.7","+25"
"140",9,"Carson Wentz",FA,"QB21","116","202","153.1","19.4","+59"
"141",9,"Jalen Reagor",MIN,"WR59","67","267","150.0","48.2","-10"
"142",9,"Pat Freiermuth",PIT,"TE17","54","258","134.0","54.9","+16"
"143",9,"Robert Tonyan",CHI,"TE18","91","278","148.9","47.3","-45"
"144",9,"Jamaal Williams",NO,"RB46","120","312","153.6","26.6","-36"
"145",9,"Chuba Hubbard",CAR,"RB47","98","321","145.7","31.6","+5"
"146",9,"Raheem Mostert",MIA,"RB48","74","307","142.0","58.8","-70"
"147",9,"Zach Ertz",ARI,"TE19","106","282","161.1","32.9","-14"
"148",9,"Gus Edwards",BAL,"RB49","61","312","146.0","36.2","-53"
"149",9,"Derek Carr",NO,"QB22","103","280","164.6","31.4","+97"
"150",9,"Rhamondre Stevenson",NE,"RB50","76","326","152.2","62.2","-41"
"151",9,"Mecole Hardman Jr.",NYJ,"WR60","101","244","169.1","29.3","-5"
"152",9,"David Johnson",FA,"RB51","71","304","161.6","50.1","-17"
"153",9,"Marvin Jones Jr.",DET,"WR61","109","266","173.1","27.7","+3"
"154",9,"Austin Hooper",LV,"TE20","108","265","169.6","33.9","+16"
"155",9,"Mac Jones",NE,"QB23","101","321","153.8","40.0","-16"
"156",9,"Dawson Knox",BUF,"TE21","54","324","165.9","69.6","+89"
"157",9,"Sony Michel",FA,"RB52","98","323","158.1","34.9","-31"
"158",9,"Jakobi Meyers",LV,"WR62","81","289","174.0","49.5","-29"
"159",9,"Matt Ryan",FA,"QB24","115","254","167.5","27.3","+28"
"160",9,"J.D. McKissic",FA,"RB53","123","331","172.1","34.5","-6"
"161",9,"Sterling Shepard",NYG,"WR63","110","271","173.3","31.2","+16"
"162",9,"Adam Trautman",DEN,"TE22","92","299","170.0","41.8","-2"
"163",9,"Daniel Jones",NYG,"QB25","145","332","180.8","32.8","+63"
"164",9,"Phillip Lindsay",FA,"RB54","113","329","171.9","48.5","-9"
"165",9,"Antonio Brown",FA,"WR64","74","364","176.3","50.4","-63"
"166",9,"Bryan Edwards",NO,"WR65","94","271","185.1","34.4","-4"
"167",9,"Parris Campbell",NYG,"WR66","124","270","181.5","33.5","-6"
"168",9,"Gerald Everett",LAC,"TE23","128","320","185.2","38.1","+24"
"169",10,"Darius Slayton",NYG,"WR67","122","272","195.8","31.4","+6"
"170",10,"Rob Gronkowski",FA,"TE24","80","310","193.7","51.7","-23"
"171",10,"Tom Brady",FA,"QB26","89","233","153.0","32.6","-54"
"172",10,"Van Jefferson",LAR,"WR68","88","311","190.3","51.5","+37"
"173",10,"Jamison Crowder",NYG,"WR69","113","284","195.4","30.3","+3"
"174",10,"Elijah Mitchell",SF,"RB55","24","337","155.5","108.8","+9"
"175",10,"Tarik Cohen",FA,"RB56","119","328","181.1","53.2","-3"
"176",10,"Jared Goff",DET,"QB27","117","308","200.2","35.6","+126"
"177",10,"Denzel Mims",NYJ,"WR70","111","323","189.7","51.1","-24"
"178",10,"Hunter Renfrow",LV,"WR71","37","313","191.3","89.8","+93"
"179",10,"Sam Darnold",SF,"QB28","125","334","199.8","44.5","+43"
"180",10,"Blake Jarwin",FA,"TE25","133","334","198.4","53.5","+10"
"181",10,"Latavius Murray",BUF,"RB57","107","326","196.1","45.9","-18"
"182",10,"Nico Collins",HOU,"WR72","102","334","196.7","44.9","-9"
"183",10,"Cole Beasley",FA,"WR73","128","295","203.0","28.7","-5"
"184",10,"Dyami Brown",WAS,"WR74","116","386","201.0","50.5","-15"
"185",10,"Russell Gage",TB,"WR75","99","306","200.2","49.8","-20"
"186",10,"James White",FA,"RB58","132","337","208.1","46.9","+5"
"187",10,"Jameis Winston",NO,"QB29","125","337","220.0","42.7","+43"
"188",10,"T.Y. Hilton",FA,"WR76","138","277","207.5","29.8","-6"
"189",10,"Baltimore Ravens",BAL,"DST1","137","266","158.8","31.7","-49"
"190",10,"Marlon Mack",FA,"RB59","144","373","197.4","40.4","-16"
"191",10,"Nelson Agholor",BAL,"WR77","148","356","209.7","34.8","-23"
"192",10,"Pittsburgh Steelers",PIT,"DST2","140","288","167.3","36.0","-12"
"193",10,"Los Angeles Rams",LAR,"DST3","140","293","167.5","30.9","-57"
"194",10,"O.J. Howard",LV,"TE26","133","336","209.5","48.8","+25"
"195",10,"Jeff Wilson Jr.",MIA,"RB60","120","369","200.8","46.1","+22"
"196",10,"Chicago Bears",CHI,"DST4","140","288","175.9","32.1","+17"
"197",10,"New England Patriots",NE,"DST5","145","281","177.7","29.1","+8"
"198",10,"KJ Hamler",DEN,"WR78","157","362","221.2","33.1","-5"
"199",10,"Hayden Hurst",CAR,"TE27","136","337","222.2","48.3","+82"
"200",10,"Allen Lazard",NYJ,"WR79","138","305","216.1","29.6","+11"
"201",10,"New Orleans Saints",NO,"DST6","144","295","181.2","33.2","+14"
"202",10,"Ke'Shawn Vaughn",TB,"RB61","115","411","206.6","50.3","+1"
"203",10,"Justin Tucker",BAL,"K1","164","285","181.9","23.1","-15"
"204",10,"Amari Rodgers",HOU,"WR80","138","322","209.0","41.1","-37"
"205",10,"San Francisco 49ers",SF,"DST7","152","325","188.2","33.7","-4"
"206",10,"Tim Patrick",DEN,"WR81","129","323","224.7","46.4","+90"
"207",10,"Greg Zuerlein",NYJ,"K2","168","290","191.2","25.8","0"
"208",10,"Donovan Peoples-Jones",CLE,"WR82","120","371","226.7","54.3","+20"
"209",11,"Harrison Butker",KC,"K3","170","288","193.2","22.9","-66"
"210",11,"Buffalo Bills",BUF,"DST8","159","282","193.5","27.2","-14"
"211",11,"Denver Broncos",DEN,"DST9","145","308","201.8","29.1","-1"
"212",11,"Joshua Kelley",LAC,"RB62","164","336","223.5","41.7","-10"
"213",11,"Los Angeles Chargers",LAC,"DST10","145","303","199.7","36.4","+18"
"214",11,"Wil Lutz",NO,"K4","171","294","200.2","27.9","+26"
"215",11,"Salvon Ahmed",MIA,"RB63","126","322","220.4","48.7","-26"
"216",11,"Tre'Quan Smith",NO,"WR83","141","324","234.9","40.6","-30"
"217",11,"Dee Eskridge",SEA,"WR84","136","387","226.4","41.9","-38"
"218",11,"Jimmy Garoppolo",LV,"QB30","154","353","246.9","52.5","-"
"219",11,"Cleveland Browns",CLE,"DST11","145","312","220.6","27.1","+23"
"220",11,"Emmanuel Sanders",FA,"WR85","133","378","235.6","39.7","+16"
"221",11,"Dalton Schultz",HOU,"TE28","90","344","177.3","85.6","+72"
"222",11,"Jared Cook",FA,"TE29","136","365","243.6","42.5","-1"
"223",11,"Washington Commanders",WAS,"DST12","140","335","211.5","40.6","-23"
"224",11,"Giovani Bernard",FA,"RB64","166","325","237.6","42.9","-27"
"225",11,"Darrynton Evans",FA,"RB65","126","318","224.1","43.4","-41"
"226",11,"Boston Scott",PHI,"RB66","134","382","240.0","45.1","-10"
"227",11,"Preston Williams",FA,"WR86","174","365","247.7","41.1","+53"
"228",11,"Henry Ruggs III",FA,"WR87","81","425","137.6","48.7","-132"
"229",11,"Justin Jackson",FA,"RB67","126","371","238.7","48.9","+31"
"230",11,"Matt Prater",ARI,"K5","187","306","213.0","21.1","-5"
"231",11,"David Njoku",CLE,"TE30","139","322","239.4","39.9","+100"
"232",11,"A.J. Green",FA,"WR88","147","346","246.8","37.5","-14"
"233",11,"Minnesota Vikings",MIN,"DST13","155","314","226.2","30.1","+34"
"234",11,"Joshua Palmer",LAC,"WR89","83","323","219.5","65.2","-53"
"235",11,"Sammy Watkins",FA,"WR90","165","340","245.2","32.9","-27"
"236",11,"Indianapolis Colts",IND,"DST14","152","371","228.5","41.1","+12"
"237",11,"Kansas City Chiefs",KC,"DST15","176","317","229.8","27.8","-31"
"238",11,"James Washington",NO,"WR91","189","298","247.7","26.4","+21"
"239",11,"Josh Reynolds",DET,"WR92","157","365","245.5","36.5","+90"
"240",11,"Anthony Firkser",FA,"TE31","133","340","232.2","50.5","-42"
"241",11,"Philadelphia Eagles",PHI,"DST16","164","322","224.7","30.1","+51"
"242",11,"Darrel Williams",FA,"RB68","119","348","225.4","60.7","-15"
"243",11,"Khalil Herbert",CHI,"RB69","104","357","211.1","90.8","+46"
"244",11,"Quintez Cephus",DET,"WR93","157","346","251.6","37.5","+43"
"245",11,"Eric Ebron",FA,"TE32","142","343","226.6","46.4","+19"
"246",11,"Tevin Coleman",FA,"RB70","147","343","236.3","46.6","-51"
"247",11,"Robbie Gould",FA,"K6","195","396","233.3","33.3","+6"
"248",11,"Seattle Seahawks",SEA,"DST17","166","332","240.9","25.3","+145"
"249",11,"N'Keal Harry",FA,"WR94","169","364","245.6","37.3","-10"
"250",11,"Marquez Valdes-Scantling",KC,"WR95","156","323","238.8","42.7","-18"
"251",11,"Mason Crosby",FA,"K7","192","509","229.4","41.0","-31"
"252",11,"Harrison Bryant",CLE,"TE33","167","340","250.4","35.8","+69"
"253",11,"Jake Elliott",PHI,"K8","193","511","238.0","43.0","-4"
"254",11,"Brevin Jordan",HOU,"TE34","134","343","234.6","52.3","+34"
"255",11,"Taysom Hill",NO,"TE35","162","386","268.3","51.0","+22"
"256",11,"Ka'imi Fairbairn",HOU,"K9","183","516","236.3","46.5","-5"
"257",11,"Albert Okwuegbunam",DEN,"TE36","154","368","247.0","47.6","+91"
"258",11,"Benny Snell Jr.",FA,"RB71","177","339","248.0","43.3","+14"
"259",11,"Kylin Hill",FA,"RB72","179","358","242.1","42.8","-36"
"260",11,"Tampa Bay Buccaneers",TB,"DST18","164","382","233.5","37.3","-19"
"261",11,"Teddy Bridgewater",FA,"QB31","167","380","271.5","53.0","+94"
"262",11,"Green Bay Packers",GB,"DST19","211","350","262.2","24.5","-"
"263",12,"Tennessee Titans",TEN,"DST20","205","354","265.8","27.5","+81"
"264",12,"Ty Johnson",FA,"RB73","165","352","260.2","52.7","-21"
"265",12,"Brandon McManus",FA,"K10","196","373","250.6","29.8","+38"
"266",12,"Damien Williams",FA,"RB74","149","433","268.3","53.0","-22"
"267",12,"Anthony McFarland Jr.",PIT,"RB75","170","379","247.9","50.9","-5"
"268",12,"John Brown",FA,"WR96","147","371","215.2","45.7","-18"
"269",12,"Wayne Gallman Jr.",FA,"RB76","184","381","260.4","42.9","-12"
"270",12,"Dallas Cowboys",DAL,"DST21","195","380","271.7","31.3","-"
"271",12,"La'Mical Perine",KC,"RB77","167","351","249.0","53.3","-42"
"272",12,"Kendrick Bourne",NE,"WR97","124","361","257.5","60.9","+94"
"273",12,"Anthony Miller",PIT,"WR98","168","361","252.5","40.2","0"
"274",12,"DeeJay Dallas",SEA,"RB78","182","351","273.7","35.0","-36"
"275",12,"Arizona Cardinals",ARI,"DST22","200","375","275.8","31.4","-"
"276",12,"Tyler Johnson",FA,"WR99","151","364","260.2","37.8","+66"
"277",12,"Breshad Perriman",FA,"WR100","190","389","264.2","43.9","-11"
"278",12,"Jermar Jefferson",DET,"RB79","183","382","266.4","45.4","-43"
"279",12,"Mark Ingram II",FA,"RB80","132","357","261.6","54.0","+7"
"280",12,"Tylan Wallace",BAL,"WR101","155","388","262.8","43.5","-24"
"281",12,"Miami Dolphins",MIA,"DST23","165","432","270.4","47.2","+1"
"282",12,"Stephen Gostkowski",FA,"K11","179","345","243.8","29.3","-17"
"283",12,"Dan Arnold",PHI,"TE37","151","388","244.1","58.1","+14"
"284",12,"Graham Gano",NYG,"K12","217","510","253.0","44.1","+1"
"285",12,"Drew Lock",SEA,"QB32","178","392","282.0","41.2","+58"
"286",12,"Jaret Patterson",WAS,"RB81","110","395","251.2","79.8","-11"
"287",12,"Cam Newton",FA,"QB33","193","398","280.4","45.0","+70"
"288",12,"Chris Evans",CIN,"RB82","172","359","247.9","60.4","-19"
"289",12,"Matt Breida",NYG,"RB83","170","386","282.8","39.5","+17"
"290",12,"Larry Rountree III",LAC,"RB84","185","337","271.3","42.9","-66"
"291",12,"Malcolm Brown",FA,"RB85","156","400","286.3","48.4","-30"
