"RK",TIERS,"PLAYER NAME",TEAM,"POS","BEST","WORST","AVG.","STD.DEV","ECR VS. ADP"
"308",14,"Chris Boswell",PIT,"K12","223","295","245.2","26.2","-"
"309",14,"Keelan Cole Sr.",LV,"WR113","83","205","144.0","61.0","-"
"310",14,"Case Keenum",HOU,"QB35","146","246","200.7","41.4","-"
"311",14,"Geronimo Allison",FA,"WR114","217","286","246.0","22.3","-49"
"312",14,"Mike Davis",FA,"RB95","88","206","147.0","59.0","-"
"313",14,"Demarcus Robinson",FA,"WR115","133","268","203.3","55.3","-"
"314",14,"Maxx Williams",FA,"TE39","196","256","230.8","22.4","-50"
"315",14,"Green Bay Packers",GB,"DST19","195","289","231.3","37.8","-"
"316",14,"Jordan Leggett",FA,"TE40","164","287","232.8","44.1","-"
"317",14,"Zach Zenner",FA,"RB96","230","277","249.4","16.1","-80"
"318",14,"Sammie Coates",FA,"WR116","189","284","236.8","35.0","-"
"319",14,"Erik Swoope",FA,"TE41","215","248","237.3","13.3","-108"
"320",14,"Robert Turbin",FA,"RB97","227","263","238.5","14.4","-92"
"321",14,"De'Angelo Henderson Sr.",FA,"RB98","156","189","172.5","16.5","-100"
"322",14,"Lance Dunbar",FA,"RB99","208","285","244.5","29.4","-"
"323",14,"Dennis Pitta",FA,"TE42","218","229","222.7","4.6","-"
"324",14,"Rashard Higgins",FA,"WR117","172","264","224.7","38.7","-"
"325",14,"Cordarrelle Patterson",ATL,"RB100","221","292","247.0","26.8","-"
"326",14,"Danny Amendola",FA,"WR118","167","196","181.5","14.5","-"
"327",14,"Miami Dolphins",MIA,"DST20","222","297","248.5","29.6","-"
"328",14,"Charcandrick West",FA,"RB101","231","299","262.4","23.8","-"
"329",14,"Austin Ekeler",LAC,"RB102","167","214","190.5","23.5","-"
"330",14,"Brian Hill",FA,"RB103","208","250","231.7","17.6","-"
"331",14,"Ishmael Zamora",FA,"WR119","138","251","194.5","56.5","-73"
"332",14,"Cody Kessler",FA,"QB36","220","244","235.3","10.9","-"
"333",14,"Alfred Morris",FA,"RB104","216","257","235.7","16.8","-"
"334",14,"Ricky Seals-Jones",FA,"TE43","160","237","198.5","38.5","-"
"335",14,"Tyler Kroft",MIA,"TE44","171","227","199.0","28.0","-"
"336",14,"Jaron Brown",FA,"WR120","201","202","201.5","0.5","-"
"337",14,"Vernon Davis",FA,"TE45","230","288","258.0","20.7","-68"
