"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","K.Cousins","","36","0.305","0.736","0.736","61.1%","70.0","66.2","3.8","9.6"
"2","D.Carr","","33","0.236","0.529","0.529","51.5%","67.7","65.6","2.2","8.3"
"3","A.Rodgers","","48","0.210","0.518","0.518","52.1%","65.0","67.0","-2.0","5.4"
"4","D.Prescott","","41","0.263","0.476","0.476","65.9%","75.0","65.1","9.9","7.8"
"5","B.Osweiler","","45","0.178","0.336","0.336","51.1%","66.7","64.8","1.9","8.0"
"6","A.Luck","","35","0.138","0.335","0.335","45.7%","53.6","58.9","-5.3","9.7"
"7","J.Winston","","48","0.199","0.352","0.332","56.3%","61.5","56.7","4.8","11.3"
"8","T.Brady","","46","0.156","0.287","0.287","47.8%","63.2","62.4","0.7","8.5"
"9","A.Smith","","33","0.244","0.362","0.271","63.6%","77.4","65.0","12.4","6.9"
"10","E.Manning","","39","0.092","0.204","0.204","43.6%","58.3","63.5","-5.1","8.7"
"11","M.Mariota","","50","0.134","0.175","0.175","46.0%","69.4","64.9","4.5","8.7"
"12","C.Kessler","","20","0.085","0.154","0.154","30.0%","53.8","56.8","-3.0","12.8"
"13","R.Wilson","","40","0.107","0.144","0.144","40.0%","60.0","58.2","1.8","10.5"
"14","J.Flacco","","40","0.089","0.123","0.123","55.0%","65.7","65.9","-0.1","9.7"
"15","B.Roethlisberger","","39","0.095","0.114","0.114","46.2%","63.9","62.3","1.6","5.9"
"16","D.Brees","","51","0.125","0.091","0.091","56.9%","79.5","71.0","8.6","3.7"
"17","M.Stafford","","37","0.075","0.086","0.086","48.6%","72.7","72.9","-0.2","5.7"
"18","J.Cutler","","39","0.031","0.071","0.071","38.5%","58.6","65.7","-7.1","8.9"
"19","C.Kaepernick","","40","0.022","0.043","0.043","42.5%","53.3","60.2","-6.8","11.6"
"20","B.Bortles","","38","0.049","0.033","-0.025","42.1%","62.9","64.3","-1.4","7.6"
"21","C.Newton","","40","-0.047","-0.050","-0.050","40.0%","43.8","58.1","-14.3","9.1"
"22","S.Bradford","","34","0.048","-0.049","-0.051","47.1%","71.4","68.5","3.0","4.5"
"23","C.Wentz","","54","-0.031","-0.152","-0.152","37.0%","52.3","62.3","-10.0","8.9"
"24","A.Dalton","","49","-0.004","-0.106","-0.160","44.9%","60.0","65.3","-5.3","7.3"
"25","R.Tannehill","","43","0.060","-0.179","-0.180","44.2%","70.6","64.1","6.5","8.0"
"26","J.McCown","","36","-0.041","-0.120","-0.184","30.6%","51.9","63.8","-11.9","8.4"
"27","J.Goff","","37","-0.027","-0.192","-0.192","32.4%","58.6","68.2","-9.6","6.2"
"28","T.Taylor","","40","0.057","-0.209","-0.209","37.5%","70.4","64.7","5.7","5.7"
"29","C.Palmer","","47","-0.015","-0.127","-0.259","42.6%","54.1","61.2","-7.1","8.8"
