"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","M.Stafford","","42","0.297","0.507","0.507","64.3%","83.8","69.4","14.3","5.2"
"2","J.Winston","","37","0.278","0.504","0.504","56.8%","71.9","60.7","11.2","9.9"
"3","B.Roethlisberger","","38","0.245","0.432","0.393","60.5%","73.0","64.0","9.0","6.6"
"4","D.Brees","","47","0.207","0.399","0.393","61.7%","71.8","68.1","3.7","7.9"
"5","D.Carr","","43","0.169","0.376","0.376","48.8%","64.9","66.8","-2.0","7.1"
"6","J.Garoppolo","","41","0.196","0.333","0.333","51.2%","72.7","67.4","5.3","6.4"
"7","A.Luck","","53","0.206","0.329","0.329","50.9%","68.9","61.6","7.3","10.0"
"8","A.Rodgers","","41","0.170","0.309","0.309","53.7%","60.6","58.6","2.0","10.0"
"9","P.Rivers","","41","0.181","0.268","0.268","56.1%","69.4","62.8","6.6","6.1"
"10","S.Hill","","35","0.112","0.251","0.251","48.6%","54.5","59.4","-4.9","10.4"
"11","A.Dalton","","40","0.195","0.239","0.239","52.5%","76.7","65.7","11.0","8.1"
"12","E.Manning","","31","0.143","0.239","0.239","54.8%","67.9","66.2","1.6","6.8"
"13","B.Gabbert","","47","0.091","0.184","0.184","46.8%","62.9","66.9","-4.0","5.6"
"14","M.Ryan","","44","0.108","0.163","0.163","50.0%","71.1","70.4","0.6","6.4"
"15","B.Bortles","","46","0.093","0.161","0.160","43.5%","61.5","63.5","-2.0","9.5"
"16","C.Palmer","","44","0.117","0.159","0.159","52.3%","64.9","62.4","2.4","10.1"
"17","A.Smith","","56","0.145","0.150","0.145","51.8%","75.6","67.4","8.2","6.9"
"18","B.Osweiler","","40","0.108","0.138","0.138","50.0%","62.9","60.5","2.4","11.5"
"19","C.Wentz","","43","0.058","0.072","0.072","44.2%","59.5","61.7","-2.2","6.7"
"20","D.Prescott","","47","0.029","0.061","0.061","44.7%","58.1","65.0","-6.9","9.4"
"21","K.Cousins","","45","0.074","0.047","0.047","60.0%","69.8","67.5","2.2","6.6"
"22","R.Fitzpatrick","","45","0.006","0.037","0.037","40.0%","55.9","65.3","-9.4","5.9"
"23","J.Flacco","","40","0.069","0.033","0.017","45.0%","68.8","66.5","2.3","7.7"
"24","T.Siemian","","32","0.056","0.009","0.009","56.3%","69.2","67.8","1.5","4.8"
"25","C.Newton","","48","0.032","0.024","0.005","41.7%","58.1","62.0","-3.9","8.0"
"26","M.Mariota","","48","0.087","0.132","-0.093","58.3%","61.0","62.0","-1.0","7.7"
"27","R.Wilson","","53","0.015","-0.104","-0.123","49.1%","65.9","67.7","-1.9","5.1"
"28","R.Tannehill","","39","0.011","-0.133","-0.133","28.2%","59.3","61.5","-2.3","8.3"
"29","T.Taylor","","30","0.032","-0.184","-0.184","30.0%","68.2","67.0","1.2","5.9"
"30","J.Cutler","","38","0.020","-0.208","-0.212","36.8%","57.1","58.3","-1.2","10.9"
"31","R.Griffin III","","34","-0.037","-0.243","-0.243","29.4%","46.2","57.8","-11.6","11.0"
"32","C.Keenum","","40","-0.064","-0.590","-0.608","22.5%","48.6","68.3","-19.7","5.5"
