"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","B.Roethlisberger","","31","0.360","0.636","0.636","54.8%","81.5","62.5","19.0","10.5"
"2","M.Ryan","","42","0.320","0.635","0.586","57.1%","75.7","63.8","11.9","12.1"
"3","R.Wilson","","36","0.259","0.434","0.434","55.6%","71.9","60.4","11.4","9.1"
"4","B.Hoyer","","39","0.244","0.386","0.386","59.0%","77.8","66.5","11.2","6.6"
"5","P.Lynch","","27","0.177","0.311","0.311","51.9%","58.3","55.2","3.1","13.1"
"6","D.Prescott","","38","0.193","0.294","0.294","55.3%","71.9","64.8","7.1","5.6"
"7","S.Bradford","","40","0.152","0.259","0.259","47.5%","72.2","70.3","1.9","6.1"
"8","T.Taylor","","47","0.180","0.249","0.249","48.9%","71.1","63.4","7.6","8.2"
"9","B.Bortles","","48","0.096","0.237","0.237","52.1%","57.6","64.4","-6.9","6.3"
"10","D.Brees","","38","0.128","0.234","0.222","55.3%","63.9","64.7","-0.8","5.6"
"11","K.Cousins","","33","0.177","0.244","0.191","57.6%","77.8","70.3","7.5","4.6"
"12","P.Rivers","","49","0.140","0.188","0.188","46.9%","65.1","60.5","4.6","7.9"
"13","D.Carr","","40","0.134","0.156","0.156","42.5%","71.4","65.6","5.8","7.4"
"14","D.Anderson","","27","0.204","0.275","0.154","55.6%","73.9","63.6","10.3","7.8"
"15","C.Kessler","","45","0.137","0.136","0.136","51.1%","73.7","65.9","7.8","4.6"
"16","R.Fitzpatrick","","50","0.072","0.125","0.125","40.0%","56.1","59.5","-3.4","9.6"
"17","C.Keenum","","38","0.091","0.145","0.113","44.7%","62.1","63.3","-1.3","9.7"
"18","A.Dalton","","35","0.127","0.096","0.096","45.7%","71.0","62.4","8.6","7.0"
"19","B.Osweiler","","40","0.112","0.118","0.087","55.0%","69.4","65.0","4.4","7.8"
"20","A.Luck","","55","0.083","0.084","0.080","43.6%","67.5","66.1","1.4","5.6"
"21","B.Gabbert","","35","0.086","-0.006","-0.006","48.6%","69.6","61.7","7.9","10.9"
"22","A.Smith","","58","0.023","0.021","-0.018","44.8%","61.2","66.6","-5.3","6.0"
"23","C.Palmer","","39","0.070","-0.004","-0.020","48.7%","65.7","61.0","4.7","10.0"
"24","C.Newton","","32","-0.012","-0.025","-0.025","40.6%","56.0","65.0","-9.0","8.4"
"25","M.Mariota","","39","-0.031","-0.025","-0.035","41.0%","46.4","58.8","-12.4","11.4"
"26","M.Stafford","","43","0.017","-0.038","-0.038","51.2%","63.9","67.1","-3.2","7.3"
"27","J.Flacco","","60","0.020","-0.067","-0.069","43.3%","64.0","65.5","-1.5","6.5"
"28","J.Winston","","49","-0.005","-0.203","-0.226","32.7%","48.6","54.2","-5.6","12.6"
"29","J.Brissett","","36","0.037","-0.233","-0.233","27.8%","63.0","61.2","1.8","9.5"
"30","E.Manning","","46","-0.053","-0.260","-0.260","37.0%","55.6","70.3","-14.7","6.9"
"31","R.Tannehill","","31","0.004","-0.338","-0.346","32.3%","60.0","65.2","-5.2","5.7"
