"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","A.Luck","","34","0.427","0.923","0.923","67.6%","78.6","62.4","16.1","7.3"
"2","A.Dalton","","32","0.424","0.858","0.858","65.6%","79.3","60.4","18.9","9.0"
"3","M.Stafford","","49","0.220","0.379","0.379","55.1%","73.2","66.0","7.2","7.0"
"4","A.Smith","","27","0.264","0.382","0.357","55.6%","84.0","69.0","15.0","8.5"
"5","J.Winston","","34","0.203","0.328","0.328","61.8%","66.7","59.7","7.0","9.3"
"6","J.Flacco","","48","0.214","0.324","0.324","54.2%","80.0","70.8","9.2","5.4"
"7","B.Roethlisberger","","39","0.141","0.290","0.290","48.7%","66.7","68.7","-2.0","5.7"
"8","M.Barkley","","25","0.173","0.272","0.272","52.0%","61.1","56.3","4.8","13.1"
"9","C.Palmer","","51","0.147","0.262","0.262","49.0%","69.8","68.9","0.8","6.4"
"10","D.Carr","","39","0.075","0.210","0.210","43.6%","54.3","63.0","-8.7","8.8"
"11","R.Wilson","","42","0.157","0.166","0.166","54.8%","74.3","65.0","9.3","6.7"
"12","M.Ryan","","44","0.141","0.230","0.158","61.4%","66.7","64.7","2.0","7.1"
"13","A.Rodgers","","35","0.144","0.108","0.097","48.6%","66.7","55.7","10.9","12.7"
"14","B.Osweiler","","42","0.081","0.095","0.095","45.2%","62.9","62.5","0.3","8.1"
"15","K.Cousins","","43","0.063","0.106","0.052","48.8%","61.8","65.3","-3.6","7.4"
"16","T.Brady","","49","0.061","-0.020","-0.020","44.9%","71.7","67.7","4.0","6.0"
"17","C.Wentz","","63","0.035","0.003","-0.021","46.0%","59.3","61.4","-2.1","7.8"
"18","S.Bradford","","52","0.054","-0.031","-0.031","50.0%","71.1","67.7","3.4","7.6"
"19","C.Newton","","39","-0.037","-0.081","-0.081","33.3%","45.2","56.8","-11.6","12.9"
"20","T.Taylor","","45","-0.036","-0.080","-0.101","44.4%","51.4","62.9","-11.4","9.5"
"21","P.Rivers","","33","0.029","-0.043","-0.120","48.5%","62.5","63.2","-0.7","9.5"
"22","D.Brees","","47","0.049","-0.142","-0.160","40.4%","73.8","69.2","4.6","7.3"
"23","D.Prescott","","27","0.035","-0.140","-0.175","44.4%","66.7","64.7","2.0","8.3"
"24","R.Tannehill","","44","0.070","-0.197","-0.248","43.2%","74.4","66.3","8.0","6.3"
"25","P.Lynch","","29","-0.019","-0.308","-0.308","37.9%","50.0","59.0","-9.0","11.8"
"26","E.Manning","","46","0.016","-0.258","-0.342","45.7%","61.5","63.8","-2.3","7.1"
"27","B.Petty","","26","-0.047","-0.289","-0.380","38.5%","44.0","58.0","-14.0","13.7"
"28","B.Bortles","","48","-0.077","-0.347","-0.463","29.2%","45.2","65.2","-20.0","6.3"
"29","J.Goff","","38","-0.075","-0.474","-0.474","18.4%","43.8","64.5","-20.8","8.0"
"30","C.Kaepernick","","17","-0.143","-0.688","-0.688","17.6%","20.0","55.0","-35.0","15.8"
