"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","D.Prescott","","31","0.397","0.798","0.798","67.7%","77.8","60.6","17.2","7.8"
"2","M.Ryan","","39","0.334","0.519","0.501","59.0%","73.5","53.0","20.6","12.6"
"3","R.Wilson","","35","0.307","0.426","0.426","62.9%","83.3","62.7","20.6","11.5"
"4","P.Rivers","","40","0.237","0.407","0.407","55.0%","72.7","63.9","8.8","5.6"
"5","D.Brees","","44","0.216","0.362","0.362","52.3%","71.8","64.5","7.3","7.9"
"6","J.Winston","","47","0.124","0.194","0.189","51.1%","62.2","60.8","1.4","9.4"
"7","T.Taylor","","53","0.203","0.188","0.173","52.8%","79.4","63.2","16.2","7.7"
"8","A.Rodgers","","53","0.108","0.147","0.147","49.1%","61.9","60.3","1.6","11.9"
"9","D.Carr","","42","0.108","0.127","0.127","50.0%","66.7","63.5","3.2","8.1"
"10","A.Luck","","43","0.093","0.111","0.111","51.2%","63.9","62.4","1.5","7.9"
"11","S.Bradford","","44","0.127","0.110","0.110","52.3%","77.5","69.8","7.7","5.4"
"12","R.Fitzpatrick","","38","0.082","0.124","0.087","55.3%","59.3","60.7","-1.4","9.0"
"13","B.Bortles","","51","0.054","0.065","0.056","47.1%","55.0","57.6","-2.6","10.4"
"14","C.Kaepernick","","48","0.052","0.124","0.053","47.9%","61.5","68.4","-6.9","6.2"
"15","T.Siemian","","42","-0.004","0.068","0.045","42.9%","50.0","63.3","-13.3","9.9"
"16","M.Stafford","","40","0.067","0.088","0.039","50.0%","65.7","67.5","-1.8","7.4"
"17","C.Newton","","45","0.043","0.034","0.034","42.2%","62.5","65.0","-2.5","8.8"
"18","R.Tannehill","","32","0.025","0.033","0.033","40.6%","60.7","66.3","-5.6","5.1"
"19","C.Kessler","","33","0.113","0.027","0.027","42.4%","70.4","59.7","10.7","8.9"
"20","E.Manning","","40","0.018","0.002","0.002","45.0%","61.1","66.1","-5.0","8.8"
"21","M.Mariota","","47","0.129","0.164","0.001","51.1%","64.3","60.0","4.3","11.3"
"22","C.Keenum","","51","0.001","-0.069","-0.069","43.1%","58.7","63.6","-4.9","8.1"
"23","B.Roethlisberger","","52","-0.026","-0.074","-0.088","38.5%","52.3","61.9","-9.7","12.1"
"24","C.Wentz","","53","0.025","-0.138","-0.153","35.8%","57.4","57.3","0.1","11.1"
"25","J.Flacco","","38","-0.004","-0.187","-0.187","34.2%","62.1","67.3","-5.2","7.7"
"26","N.Foles","","36","0.036","-0.373","-0.373","30.6%","60.6","60.3","0.3","7.1"
