"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","C.Palmer","","42","0.287","0.549","0.549","52.4%","70.3","59.8","10.4","9.3"
"2","P.Rivers","","44","0.274","0.541","0.541","47.7%","69.2","60.7","8.5","7.6"
"3","C.Kaepernick","","32","0.233","0.428","0.428","50.0%","62.5","55.4","7.1","13.0"
"4","M.Glennon","","26","0.226","0.380","0.380","42.3%","70.0","61.8","8.2","10.3"
"5","D.Brees","","36","0.198","0.316","0.316","52.8%","69.7","63.1","6.6","7.5"
"6","R.Fitzpatrick","","53","0.223","0.310","0.310","39.6%","73.2","61.5","11.6","8.0"
"7","A.Smith","","46","0.183","0.291","0.291","52.2%","70.3","64.8","5.5","6.5"
"8","B.Roethlisberger","","34","0.155","0.276","0.276","52.9%","66.7","65.4","1.2","6.5"
"9","M.Flynn","","43","0.161","0.261","0.261","44.2%","63.6","60.1","3.5","7.1"
"10","J.McCown","","55","0.197","0.280","0.202","61.8%","78.3","69.4","8.8","5.3"
"11","K.Clemens","","26","0.047","0.192","0.192","38.5%","45.5","57.9","-12.5","11.6"
"12","M.Ryan","","48","0.156","0.163","0.163","54.2%","78.9","69.7","9.2","5.4"
"13","T.Brady","","58","0.143","0.137","0.116","51.7%","70.8","62.1","8.7","8.5"
"14","C.Ponder","","40","0.119","0.094","0.094","42.5%","70.0","62.6","7.4","8.7"
"15","M.McGloin","","36","0.043","0.071","0.062","50.0%","59.4","64.4","-5.0","7.8"
"16","C.Henne","","40","0.119","0.057","0.057","47.5%","74.2","64.4","9.8","4.9"
"17","T.Romo","","45","0.031","0.040","0.040","48.9%","60.5","65.5","-5.0","8.8"
"18","C.Newton","","49","-0.005","0.020","0.017","40.8%","51.4","61.7","-10.3","9.9"
"19","M.Stafford","","53","0.039","0.098","0.011","47.2%","56.5","64.0","-7.4","8.8"
"20","R.Tannehill","","48","0.086","-0.019","-0.019","41.7%","68.3","59.8","8.5","11.4"
"21","J.Flacco","","32","0.080","0.002","-0.022","37.5%","65.4","59.2","6.2","11.4"
"22","E.Manning","","36","-0.004","-0.051","-0.051","36.1%","53.3","59.7","-6.4","10.7"
"23","S.Tolzien","","21","-0.083","-0.137","-0.137","28.6%","43.8","63.3","-19.5","7.6"
"24","P.Manning","","43","-0.007","-0.183","-0.183","37.2%","55.9","61.6","-5.7","6.6"
"25","A.Luck","","46","-0.029","-0.152","-0.213","39.1%","52.6","62.3","-9.6","8.5"
"26","B.Weeden","","34","-0.050","-0.145","-0.239","32.4%","43.3","56.7","-13.4","10.6"
"27","C.Keenum","","36","-0.031","-0.305","-0.305","36.1%","56.3","67.5","-11.3","6.9"
"28","J.Campbell","","24","0.019","-0.291","-0.438","33.3%","63.6","65.6","-2.0","4.1"
"29","R.Griffin III","","37","0.031","-0.478","-0.478","29.7%","61.5","63.0","-1.5","9.6"
"30","G.Smith","","29","-0.053","-0.478","-0.478","27.6%","40.9","57.7","-16.8","11.4"
