ARI	WR	16	154	80	51.9	1411	8	73	9.2	17.6	0	0	0	0	0	0	16.8	269.1
CAR	WR	16	129	79	61.2	1394	7	77	10.8	17.6	6	56	9.3	0	3	2	16.5	264
MIN	WR	16	120	87	72.5	967	6	52	8.1	11.1	51	342	6.7	2	2	2	16.4	261.9
PIT	WR	16	114	72	63.2	1193	8	95	10.5	16.6	5	57	11.4	0	1	1	15.2	243
NO	WR	14	107	80	74.8	1143	8	50	10.7	14.3	0	0	0	0	1	1	17.2	240.3
MIA	WR	16	142	82	57.7	1227	6	65	8.6	15	0	0	0	0	1	1	14.9	238.7
NYG	WR	15	131	74	56.5	1160	7	68	8.9	15.7	0	0	0	0	0	0	15.5	232
LAC	WR	16	115	60	52.2	1106	9	58	9.6	18.4	3	51	17	0	0	0	14.4	229.7
KC	WR	16	142	81	57	1159	5	52	8.2	14.3	1	12	12	0	1	0	14.3	228.1
TEN	WR	16	121	74	61.2	1023	7	57	8.5	13.8	2	5	2.5	1	0	0	14	224.8
BUF	WR	16	134	76	56.7	1004	7	55	7.5	13.2	0	0	0	0	0	0	13.6	218.4
CIN	WR	15	115	65	56.5	1057	7	58	9.2	16.3	5	53	10.6	0	1	0	14.5	218
GB	WR	13	101	67	66.3	949	9	79	9.4	14.2	0	0	0	0	0	0	16.6	215.9
DAL	WR	15	103	63	61.2	928	9	50	9	14.7	1	5	5	0	3	1	13.9	208.3
DAL	WR	14	80	54	67.5	858	11	74	10.7	15.9	0	0	0	0	0	0	14.7	205.8
ATL	WR	13	95	54	56.8	959	8	80	10.1	17.8	6	56	9.3	0	1	1	15.5	201.5
IND	WR	16	134	70	52.2	947	6	87	7.1	13.5	4	28	7	0	2	2	12.5	199.5
LAR	WR	15	150	70	46.7	966	5	44	6.4	13.8	0	0	0	0	1	0	13.1	196.6
PIT	WR	16	124	69	55.6	1108	2	79	8.9	16.1	7	41	5.9	0	0	0	12.2	195.9
IND	WR	16	132	75	56.8	960	4	56	7.3	12.8	0	0	0	0	0	0	12.2	195
WAS	WR	16	115	68	59.1	947	5	45	8.2	13.9	0	0	0	0	1	1	11.9	190.7
SF	WR	15	115	73	63.5	880	4	52	7.7	12.1	0	0	0	0	0	0	12.3	185
LV	WR	15	115	64	55.7	975	4	58	8.5	15.2	0	0	0	0	1	1	12.2	183.5
PHI	WR	15	104	58	55.8	961	4	62	9.2	16.6	7	41	5.9	0	1	1	12	180.2
BAL	WR	16	95	50	52.6	841	7	74	8.9	16.8	4	39	9.8	0	1	0	11.2	180
PHI	WR	13	96	63	65.6	859	5	59	8.9	13.6	1	1	1	0	1	1	13.6	177
DET	WR	16	110	73	66.4	757	3	47	6.9	10.4	11	85	7.7	0	1	1	10.8	173.2
NO	WR	14	73	52	71.2	627	8	47	8.6	12.1	0	0	0	0	0	0	11.9	166.7
NYJ	WR	16	101	51	50.5	654	8	38	6.5	12.8	3	27	9	0	2	1	10.3	165.1
BAL	WR	14	106	57	53.8	887	3	56	8.4	15.6	0	0	0	0	0	0	11.7	163.7
LAC	WR	12	70	43	61.4	856	5	52	12.2	19.9	0	0	0	0	0	0	13.2	158.6
BUF	WR	16	97	61	62.9	658	5	35	6.8	10.8	0	0	0	0	0	0	9.8	156.8
TB	WR	16	124	65	52.4	771	3	42	6.2	11.9	1	3	3	0	2	2	9.8	156.4
NYJ	WR	16	96	45	46.9	612	8	30	6.4	13.6	0	0	0	0	0	0	9.6	154.2
KC	WR	16	98	61	62.2	785	2	43	8	12.9	1	25	25	0	0	0	9.6	154
SEA	WR	16	85	51	60	788	4	55	9.3	15.5	1	-2	-2	0	0	0	9.6	153.6
ARI	WR	16	97	54	55.7	689	5	70	7.1	12.8	0	0	0	0	1	0	9.6	152.9
DEN	WR	16	94	44	46.8	612	8	56	6.5	13.9	1	1	1	0	1	1	9.5	151.3
NE	WR	15	90	51	56.7	702	5	63	7.8	13.8	0	0	0	0	0	0	10.1	151.2
DET	WR	16	85	48	56.5	607	6	57	7.1	12.6	2	15	7.5	0	1	0	9.3	148.2
CIN	WR	16	105	50	47.6	725	4	84	6.9	14.5	0	0	0	0	0	0	9.2	146.5
CLE	WR	16	120	61	50.8	709	2	76	5.9	11.6	3	15	5	0	0	0	9.1	145.4
GB	WR	16	55	38	69.1	635	7	70	11.5	16.7	0	0	0	0	1	0	9	143.5
DAL	WR	10	73	43	58.9	579	7	53	7.9	13.5	2	3	1.5	0	1	0	14.3	143.2
NO	WR	16	60	40	66.7	620	6	67	10.3	15.5	4	18	4.5	0	0	0	8.7	139.8
LV	WR	13	76	33	43.4	618	5	78	8.1	18.7	5	61	12.2	1	1	0	10.5	136.9
TEN	WR	15	94	45	47.9	592	5	54	6.3	13.2	0	0	0	0	0	0	8.9	134.2
WAS	WR	12	95	46	48.4	584	4	49	6.1	12.7	0	0	0	0	0	0	10.7	128.4
ARI	WR	16	98	51	52	586	2	45	6	11.5	3	27	9	0	1	0	7.8	124.3
PHI	WR	16	81	52	64.2	679	1	35	8.4	13.1	0	0	0	0	2	2	7.6	121.9
CHI	WR	14	69	37	53.6	727	2	81	10.5	19.6	0	0	0	0	1	1	8.6	119.7
MIA	WR	16	85	51	60	537	3	41	6.3	10.5	2	9	4.5	0	5	2	7.5	119.6
GB	WR	16	56	37	66.1	445	6	35	7.9	12	0	0	0	0	0	0	7.3	117.5
CLE	WR	16	67	41	61.2	518	4	45	7.7	12.6	7	25	3.6	0	3	1	7.3	117.3
CAR	WR	16	56	36	64.3	613	3	91	10.9	17	0	0	0	0	0	0	7.2	115.3
NYG	WR	12	77	39	50.6	523	4	47	6.8	13.4	0	0	0	0	0	0	9.6	115.3
DEN	WR	11	70	32	45.7	551	4	47	7.9	17.2	1	5	5	0	0	0	10.1	111.6
IND	WR	16	96	54	56.2	514	1	27	5.4	9.5	0	0	0	0	0	0	7	111.4
