BUF	WR	16	142	82	57.7	1073	10	45	7.6	13.1	0	0	0	0	1	1	15.5	247.3
ARI	WR	16	173	90	52	1137	6	41	6.6	12.6	0	0	0	0	0	0	15.1	241.7
WAS	WR	16	145	93	64.1	1115	6	56	7.7	12	5	-6	-1.2	0	3	2	14.7	235.9
DAL	WR	16	119	69	58	1041	7	69	8.7	15.1	7	93	13.3	1	1	1	14.3	228.4
NO	WR	15	132	84	63.6	1022	7	43	7.7	12.2	1	1	1	0	0	0	15.2	228.3
PHI	WR	16	115	70	60.9	964	10	83	8.4	13.8	3	36	12	0	1	1	14.2	228
CIN	WR	14	139	72	51.8	983	9	78	7.1	13.7	0	0	0	0	0	0	16	224.3
TB	WR	16	128	64	50	955	11	58	7.5	14.9	0	0	0	0	3	2	13.8	221.5
NE	WR	15	123	86	69.9	848	7	35	6.9	9.9	0	0	0	0	1	0	14.3	213.8
NYG	WR	16	92	60	65.2	944	9	92	10.3	15.7	1	2	2	0	1	1	12.9	206.6
MIN	WR	14	109	71	65.1	868	5	53	8	12.2	18	107	5.9	1	1	1	14.6	204.5
MIA	WR	14	146	86	58.9	1014	3	46	6.9	11.8	2	3	1.5	0	2	1	14.6	203.7
PHI	WR	14	96	47	49	1056	6	91	11	22.5	16	104	6.5	1	4	1	14.5	203
NO	WR	16	95	66	69.5	763	8	80	8	11.6	0	0	0	0	2	1	11.8	188.3
BAL	WR	16	109	64	58.7	837	7	61	7.7	13.1	2	2	1	0	1	1	11.7	187.66
MIA	WR	16	125	79	63.2	820	5	29	6.6	10.4	2	-3	-1.5	0	3	2	11.7	186.7
NYJ	WR	16	101	53	52.5	904	7	74	9	17.1	1	4	4	0	1	1	11.6	185.8
BAL	WR	16	100	61	61	802	7	42	8	13.1	0	0	0	0	0	0	11.4	183.2
IND	WR	14	118	67	56.8	784	6	57	6.6	11.7	2	6	3	0	0	0	13	182
LAR	WR	16	123	85	69.1	689	3	36	5.6	8.1	7	81	11.6	0	2	1	11.1	178
JAX	WR	16	101	66	65.3	820	4	50	8.1	12.4	12	114	9.5	0	3	3	11.1	177.4
NE	WR	15	92	61	66.3	818	6	79	8.9	13.4	0	0	0	0	1	1	11.8	176.8
CHI	WR	16	100	51	51	960	5	67	9.6	18.8	1	2	2	0	1	1	11	175.2
CIN	WR	14	126	67	53.2	831	4	42	6.6	12.4	0	0	0	0	0	0	12.4	174.1
TEN	WR	12	73	42	57.5	775	9	80	10.6	18.5	0	0	0	0	1	1	14.5	173.5
IND	WR	9	72	58	80.6	649	8	73	9	11.2	0	0	0	0	1	1	18.8	168.9
SF	WR	16	101	55	54.5	741	6	60	7.3	13.5	0	0	0	0	0	0	10.3	165.1
DEN	WR	16	112	65	58	875	2	50	7.8	13.5	0	0	0	0	1	0	10.3	164.5
PIT	WR	16	94	59	62.8	755	5	43	8	12.8	1	-2	-2	0	1	1	10.1	162.3
NYJ	WR	12	95	52	54.7	746	6	52	7.9	14.3	2	17	8.5	0	2	2	13.4	160.3
DET	WR	14	86	55	64	625	6	58	7.3	11.4	7	81	11.6	0	2	2	11.3	157.6
SEA	WR	14	110	65	59.1	751	2	68	6.8	11.6	1	0	0	0	0	0	10.9	152.1
WAS	WR	15	86	44	51.2	871	3	76	10.1	19.8	0	0	0	0	1	1	9.8	147.1
TEN	WR	16	94	42	44.7	687	6	71	7.3	16.4	1	-8	-8	0	0	0	9.1	145.9
GB	WR	16	87	50	57.5	679	5	66	7.8	13.6	0	0	0	0	3	1	9.1	145.9
LAC	WR	11	77	37	48.1	717	6	55	9.3	19.4	0	0	0	0	1	0	13.2	144.7
HOU	WR	16	80	51	63.8	621	5	35	7.8	12.2	0	0	0	0	0	0	8.9	143.1
DEN	WR	16	105	59	56.2	627	3	41	6	10.6	6	61	10.2	0	4	2	8.9	141.8
JAX	WR	14	80	43	53.8	562	7	39	7	13.1	0	0	0	0	1	1	9.9	139.2
NO	WR	16	66	44	66.7	638	5	55	9.7	14.5	4	14	3.5	0	0	0	8.7	139.2
DAL	WR	12	73	45	61.6	561	6	46	7.7	12.5	1	0	0	0	2	1	11.3	135.1
ARI	WR	13	87	47	54	718	1	37	8.3	15.3	3	35	11.7	1	0	0	10.4	134.98
CIN	WR	15	74	52	70.3	600	3	64	8.1	11.5	0	0	0	0	0	0	8.7	130
LAR	WR	14	91	53	58.2	620	2	41	6.8	11.7	3	28	9.3	0	0	0	9.3	129.8
GB	WR	15	86	51	59.3	565	4	61	6.6	11.1	0	0	0	0	1	1	8.6	129.5
HOU	WR	15	78	51	65.4	562	3	47	7.2	11	2	7	3.5	0	2	0	8.5	127.9
SF	WR	16	80	44	55	698	2	65	8.7	15.9	2	17	8.5	0	2	1	7.8	125.5
CHI	WR	14	70	46	65.7	561	3	48	8	12.2	2	9	4.5	0	1	0	8.6	121
NYG	WR	9	75	48	64	529	3	45	7.1	11	0	0	0	0	0	0	13.2	118.9
DAL	WR	15	64	37	57.8	530	5	63	8.3	14.3	0	0	0	0	3	2	7.9	118
BUF	WR	13	84	37	44	578	4	54	6.9	15.6	0	0	0	0	2	1	9	116.8
PHI	WR	16	75	51	68	573	1	34	7.6	11.2	0	0	0	0	0	0	7.3	116.3
LV	WR	14	78	41	52.6	609	2	70	7.8	14.9	1	43	43	0	2	1	8.3	116.2
CHI	WR	16	73	40	54.8	475	4	39	6.5	11.9	7	30	4.3	0	0	0	7.2	114.5
MIA	WR	12	73	43	58.9	615	1	54	8.4	14.3	2	27	13.5	0	1	1	9.3	111.2
CAR	WR	14	99	46	46.5	554	2	39	5.6	12	1	9	9	0	3	2	7.9	110.3
LV	WR	16	54	25	46.3	470	2	52	8.7	18.8	10	155	15.5	2	3	1	6.8	109.5
GB	WR	16	64	45	70.3	582	2	80	9.1	12.9	0	0	0	0	3	3	6.8	109.2
SEA	WR	15	49	30	61.2	494	4	87	10.1	16.5	2	17	8.5	0	0	0	7.3	109.1
CAR	WR	15	67	37	55.2	508	3	88	7.6	13.7	3	2	0.7	0	1	0	7.1	106
ATL	WR	11	73	41	56.2	505	2	43	6.9	12.3	0	0	0	0	0	0	9.4	103.5
IND	WR	13	57	36	63.2	355	5	33	6.2	9.9	0	0	0	0	1	0	7.8	101.5
CLE	WR	15	74	36	48.6	483	2	41	6.5	13.4	1	-3	-3	0	1	1	6.6	99.16
TEN	WR	16	63	28	44.4	393	5	37	6.2	14	0	0	0	0	0	0	6.1	97.3
CAR	WR	14	77	38	49.4	468	1	44	6.1	12.3	1	60	60	0	0	0	6.9	96.8
NYJ	WR	14	86	41	47.7	433	2	49	5	10.6	4	-3	-0.8	0	1	0	6.9	96
NE	WR	16	46	24	52.2	432	3	65	9.4	18	5	62	12.4	0	1	1	5.6	89.4
BAL	WR	16	57	30	52.6	398	3	56	7	13.3	0	0	0	0	1	0	5.5	87.8
BUF	WR	8	53	33	62.3	400	2	37	7.5	12.1	3	23	7.7	0	1	0	10.9	87.3
NO	WR	16	59	34	57.6	464	1	57	7.9	13.6	3	8	2.7	0	0	0	5.4	87.2
LAC	WR	9	42	28	66.7	514	1	49	12.2	18.4	0	0	0	0	0	0	9.5	85.4
BUF	WR	15	47	31	66	353	3	37	7.5	11.4	0	0	0	0	0	0	5.6	84.3
TB	WR	15	38	25	65.8	395	2	64	10.4	15.8	6	35	5.8	0	1	0	5.3	80
LAR	WR	14	75	34	45.3	344	2	32	4.6	10.1	2	-14	-7	0	0	0	5.6	79
CLE	WR	14	49	29	59.2	310	3	46	6.3	10.7	0	0	0	0	0	0	5.6	78
CLE	WR	16	63	40	63.5	346	0	25	5.5	8.6	3	9	3	1	3	2	4.8	77.5
PIT	WR	13	50	28	56	376	2	35	7.5	13.4	0	0	0	0	2	1	5.8	75.6
LV	WR	15	65	26	40	366	1	69	5.6	14.1	4	48	12	0	1	1	4.8	71.4
SEA	WR	11	43	31	72.1	354	0	36	8.2	11.4	0	0	0	0	0	0	6	66.4
LAR	WR	5	42	23	54.8	306	2	39	7.3	13.3	1	6	6	0	0	0	13.2	66.2
LAC	WR	10	46	23	50	371	1	59	8.1	16.1	3	-2	-0.7	0	1	1	6.6	65.9
CLE	WR	15	39	23	59	292	1	65	7.5	12.7	20	66	3.3	0	7	0	4.4	65.56
ARI	WR	15	49	24	49	307	2	74	6.3	12.8	0	0	0	0	2	1	4.3	64.7
CIN	WR	5	25	20	80	277	3	59	11.1	13.8	1	2	2	0	2	2	12.4	61.9
ARI	WR	10	59	26	44.1	291	1	36	4.9	11.2	2	5	2.5	0	0	0	6.2	61.6
DEN	WR	10	39	22	56.4	283	2	31	7.3	12.9	2	1	0.5	0	3	2	5.8	58.4
LAC	WR	5	24	14	58.3	248	3	58	10.3	17.7	1	14	14	0	0	0	11.6	58.2
CIN	WR	15	37	25	67.6	345	0	53	9.3	13.8	1	-2	-2	0	1	1	3.8	57.3
PIT	WR	16	39	22	56.4	253	0	34	6.5	11.5	1	2	2	0	2	0	3.6	57.18
MIN	WR	6	42	17	40.5	280	2	46	6.7	16.5	0	0	0	0	0	0	9.5	57
ATL	WR	16	53	22	41.5	294	1	46	5.5	13.4	2	-5	-2.5	0	0	0	3.6	56.9
LAR	WR	8	37	20	54.1	306	1	46	8.3	15.3	0	0	0	0	0	0	7.1	56.6
ATL	WR	16	31	19	61.3	166	3	21	5.4	8.7	0	0	0	0	0	0	3.4	53.6
LAC	WR	7	39	21	53.8	259	1	49	6.6	12.3	0	0	0	0	0	0	7.6	52.9
TEN	WR	11	43	20	46.5	266	1	30	6.2	13.3	0	0	0	0	0	0	4.8	52.6
MIN	WR	14	54	28	51.9	252	0	30	4.7	9	1	-8	-8	0	2	0	3.7	52.4
NYG	WR	7	43	24	55.8	223	1	17	5.2	9.3	0	0	0	0	0	0	7.5	52.3
TB	WR	16	33	17	51.5	250	2	43	7.6	14.7	0	0	0	0	2	1	3.2	52
LAC	WR	10	23	13	56.5	262	2	55	11.4	20.2	0	0	0	0	0	0	5.1	51.2
MIN	WR	16	34	20	58.8	240	1	31	7.1	12	0	0	0	0	0	0	3.1	50
KC	WR	13	43	22	51.2	213	1	26	5	9.7	0	0	0	0	0	0	3.8	49.3
TB	WR	12	40	25	62.5	248	0	27	6.2	9.9	1	2	2	0	1	1	4	48
NYJ	WR	16	7	4	57.1	44	0	23	6.3	11	38	299	7.9	1	1	1	2.9	46.54
BUF	WR	15	41	18	43.9	213	1	40	5.2	11.8	3	1	0.3	0	0	0	3	45.4
