DAL	WR	16	159	93	58.5	1233	13	79	7.8	13.3	1	1	1	0	3	1	18.3	292.4
CHI	WR	16	149	89	59.7	1421	7	80	9.5	16	16	105	6.6	0	3	1	17.7	283.6
DEN	WR	16	136	87	64	1288	11	61	9.5	14.8	0	0	0	0	2	1	17.5	279.8
HOU	WR	16	181	109	60.2	1407	5	62	7.8	12.9	0	0	0	0	0	0	17.5	279.7
WAS	WR	16	182	113	62.1	1346	5	53	7.4	11.9	2	19	9.5	0	1	1	17.3	277.5
PHI	WR	16	126	82	65.1	1332	9	61	10.6	16.2	3	2	0.7	0	1	0	16.8	269.4
GB	WR	16	127	85	66.9	1314	8	76	10.3	15.5	0	0	0	0	0	0	16.5	264.4
NE	WR	16	151	105	69.5	1056	6	44	7	10.1	2	11	5.5	0	6	0	15.7	251.7
SF	WR	16	129	85	65.9	1179	7	63	9.1	13.9	2	11	5.5	0	0	0	15.4	246
TB	WR	16	160	78	48.8	1224	7	60	7.6	15.7	1	0	0	0	1	0	15.2	242.4
ARI	WR	16	135	82	60.7	954	10	75	7.1	11.6	2	8	4	0	1	1	14.8	236.2
IND	WR	16	138	82	59.4	1083	5	73	7.8	13.2	2	6	3	0	1	0	13.8	220.9
LAC	WR	15	104	71	68.3	1046	8	43	10.1	14.7	0	0	0	0	2	2	14.6	219.6
TEN	WR	16	139	94	67.6	1079	2	45	7.8	11.5	0	0	0	0	2	0	13.4	213.9
DEN	WR	13	111	73	65.8	778	10	33	7	10.7	0	0	0	0	1	1	16.1	208.8
BAL	WR	16	137	65	47.4	1128	4	74	8.2	17.4	0	0	0	0	1	0	12.7	203.8
MIA	WR	16	134	76	56.7	1016	4	50	7.6	13.4	0	0	0	0	0	0	12.6	201.6
ATL	WR	16	132	85	64.4	1067	2	80	8.1	12.6	0	0	0	0	3	2	12.5	199.7
MIA	WR	16	141	73	51.8	930	5	57	6.6	12.7	3	33	11	0	0	0	12.5	199.3
NO	WR	15	111	75	67.6	943	5	35	8.5	12.6	0	0	0	0	0	0	13.3	199.3
ARI	WR	16	111	65	58.6	1041	5	91	9.4	16	0	0	0	0	0	0	12.4	199.1
NYG	WR	14	122	73	59.8	998	4	70	8.2	13.7	0	0	0	0	1	1	13.9	194.8
CIN	WR	16	80	51	63.8	712	10	45	8.9	14	8	65	8.1	0	0	0	11.8	188.7
SEA	WR	16	99	64	64.6	898	5	80	9.1	14	3	31	10.3	0	3	0	11.7	186.9
PHI	WR	16	83	47	56.6	835	8	63	10.1	17.8	0	18	0	0	0	0	11.5	184.3
PIT	WR	16	112	67	59.8	740	6	55	6.6	11	1	25	25	0	1	0	11.3	181.5
LV	WR	16	99	60	60.6	888	4	66	9	14.8	2	17	8.5	0	1	1	10.8	172.5
MIN	WR	15	106	68	64.2	804	4	70	7.6	11.8	0	0	0	0	0	0	11.5	172.4
TEN	WR	16	105	58	55.2	919	3	77	8.8	15.8	0	0	0	0	0	0	10.5	167.9
PIT	WR	16	76	46	60.5	602	10	36	7.9	13.1	1	-5	-5	0	0	0	10.4	165.7
CAR	WR	15	110	64	58.2	745	4	44	6.8	11.6	0	0	0	0	0	0	10.8	162.5
JAX	WR	13	123	66	53.7	777	3	59	6.3	11.8	0	0	0	0	0	0	12.4	161.7
SEA	WR	16	73	50	68.5	778	5	52	10.7	15.6	2	6	3	0	0	0	9.9	158.4
LAC	WR	15	67	47	70.1	631	8	54	9.4	13.4	3	21	7	0	1	1	10.5	158.2
GB	WR	14	93	59	63.4	817	3	83	8.8	13.8	0	0	0	0	2	1	11.2	156.7
KC	WR	15	103	57	55.3	673	5	34	6.5	11.8	0	0	0	0	0	0	10.3	154.3
ATL	WR	13	97	63	64.9	711	3	39	7.3	11.3	0	0	0	0	2	1	11.5	150.1
MIN	WR	16	77	45	58.4	469	4	79	6.1	10.4	12	158	13.2	3	0	0	9.4	149.7
DAL	WR	16	74	44	59.5	736	5	82	9.9	16.7	3	4	1.3	0	2	2	9.1	146
NYG	WR	15	101	56	55.4	896	0	57	8.9	16	0	0	0	0	0	0	9.7	145.6
LV	WR	13	86	46	53.5	695	5	73	8.1	15.1	0	0	0	0	0	0	11.2	145.5
BAL	WR	14	82	49	59.8	524	7	59	6.4	10.7	1	-2	-2	0	0	0	10.4	145.2
LV	WR	11	0	0	0	0	0	0	0	0	83	576	6.9	2	7	2	13	143.52
CAR	WR	16	85	49	57.6	627	5	79	7.4	12.8	2	15	7.5	0	1	0	9	143.2
HOU	WR	16	91	52	57.1	802	2	66	8.8	15.4	0	0	0	0	1	1	8.9	142.2
GB	WR	16	83	49	59	681	3	52	8.2	13.9	0	0	0	1	0	0	8.8	141.1
NYG	WR	16	78	41	52.6	611	6	37	7.8	14.9	0	0	0	0	3	1	8.5	136.1
BUF	WR	12	101	52	51.5	597	3	45	5.9	11.5	1	10	10	0	1	1	10.9	130.7
NE	WR	12	83	54	65.1	633	2	57	7.6	11.7	1	1	1	0	0	0	10.8	129.4
NO	WR	16	50	32	64	641	5	76	12.8	20	3	10	3.3	0	0	0	7.9	127.1
MIN	WR	16	100	48	48	726	1	51	7.3	15.1	0	0	0	0	1	0	7.9	126.6
