225	7651	Matthew Slater
225	19981	Daurice Fountain O
225	21295	Nsimba Webster
225	22602	Tutu Atwell
225	22276	DeMichael Harris
225	20963	Cody Thompson IR
225	19120	David Moore IR
225	21737	Tyrie Cleveland
225	18269	Geronimo Allison
225	22345	Dan Chisena
225	16640	John Brown
225	22415	Mason Kinsey
225	21969	Aaron Parker
225	19811	Marcell Ateman
225	22638	Dillon Stoner
225	21731	John Hightower
225	19184	JoJo Natson
225	21400	Steven Sims O
225	21967	Isaiah Coulter
225	22618	Marquez Stevenson IR
225	22340	Matt Cole
225	22991	Landen Akers
225	19054	Rodney Adams
225	22544	Pooka Williams Jr.
225	20487	Brandon Powell
225	19755	River Cracraft
225	20295	Vyncint Smith
225	20376	Jordan Veasy
225	23099	Michael Bandy
225	22635	Jalen Camp
225	21760	Isaiah Hodgins
225	22283	Josh Hammond
225	19922	Justin Watson Q
225	22615	Kawaan Baker SUS
225	22973	Austin Trammell
225	22311	Jeff Cotton Jr.
225	20762	Travis Fulgham
225	21751	Aaron Fuller
265	21294	Alex Bachman
266	13887	Travis Benjamin
266	22327	J.J. Koski
268	20722	Diontae Spencer
LAR	WR	17	191	145	75.9	1947	16	59	10.2	13.4	4	18	4.5	0	0	0	25.9	439.5
GB	WR	16	169	123	72.8	1553	11	59	9.2	12.6	0	0	0	0	0	0	21.5	344.3
SF	WR	16	121	77	63.6	1405	6	83	11.6	18.2	59	365	6.2	8	4	2	21.2	338.96
MIN	WR	17	167	108	64.7	1616	10	56	9.7	15	6	14	2.3	0	1	1	19.4	330.4
CIN	WR	17	128	81	63.3	1455	13	82	11.4	18	7	21	3	0	2	1	17.9	304.6
KC	WR	17	159	111	69.8	1239	9	75	7.8	11.2	9	96	10.7	0	2	1	17.4	296.5
BUF	WR	17	165	103	62.4	1225	10	61	7.4	11.9	0	0	0	0	1	0	16.8	285.5
PIT	WR	16	169	107	63.3	1161	8	50	6.9	10.9	5	53	10.6	0	2	2	17.2	274.4
TB	WR	16	114	74	64.9	1035	14	46	9.1	14	1	10	10	0	0	0	16.4	262.5
LV	WR	17	128	103	80.5	1038	9	54	8.1	10.1	3	3	1	0	5	1	15.2	259.1
LAC	WR	16	157	106	67.5	1138	6	42	7.2	10.7	0	0	0	0	1	0	16.1	257.8
LAC	WR	16	129	76	58.9	1146	9	72	8.9	15.1	0	0	0	0	0	0	15.4	246.6
MIA	WR	16	141	104	73.8	1015	6	57	7.2	9.8	2	3	1.5	1	2	1	15.4	245.8
SEA	WR	17	129	75	58.1	967	12	84	7.5	12.9	1	6	6	0	1	0	14.4	244.3
TB	WR	14	128	98	76.6	1103	5	44	8.6	11.3	4	21	5.2	1	2	2	17.3	242.4
SEA	WR	16	107	73	68.2	1175	8	69	11	16.1	2	9	4.5	0	0	0	15.1	241.4
IND	WR	17	129	88	68.2	1082	6	57	8.4	12.3	5	44	8.8	0	1	0	14	238.6
CAR	WR	17	163	93	57.1	1157	4	64	7.1	12.4	8	48	6	0	1	1	14	237.5
DAL	WR	16	120	79	65.8	1102	6	49	9.2	13.9	9	76	8.4	0	0	0	14.6	232.8
HOU	WR	16	134	90	67.2	1037	6	52	7.7	11.5	2	21	10.5	0	0	0	14.5	231.8
