ATL	WR	15	163	104	63.8	1593	6	79	9.8	15.3	1	1	1	0	2	1	19.8	297.4
NYG	WR	12	130	91	70	1305	12	80	10	14.3	7	35	5	0	1	1	24.6	295
GB	WR	16	127	91	71.7	1287	12	70	10.1	14.1	11	37	3.4	0	3	2	18.3	293.4
PHI	WR	16	144	86	59.7	1329	10	72	9.2	15.5	0	0	0	0	0	0	17.4	278.9
CHI	WR	16	145	85	58.6	1133	10	74	7.8	13.3	6	33	5.5	0	1	0	16.4	261.6
DET	WR	16	144	99	68.8	1331	4	73	9.2	13.4	5	30	6	0	1	0	16.2	259.1
IND	WR	15	131	82	62.6	1345	7	73	10.3	16.4	2	20	10	0	3	1	17.2	258.5
TB	WR	15	123	68	55.3	1051	12	56	8.5	15.5	0	0	0	0	0	0	16.3	245.1
HOU	WR	16	127	76	59.8	1210	6	76	9.5	15.9	0	0	0	0	2	1	14.4	231
DET	WR	13	128	71	55.5	1077	8	67	8.4	15.2	0	0	0	0	0	0	17.4	226.7
CAR	WR	16	145	73	50.3	1008	9	51	7	13.8	0	0	0	0	1	1	14.1	225.8
NE	WR	14	134	92	68.7	972	4	69	7.3	10.6	10	94	9.4	0	3	0	15.9	222.6
SF	WR	16	131	83	63.4	1062	5	76	8.1	12.8	1	4	4	0	0	0	13.7	219.6
BAL	WR	16	134	79	59	1065	6	80	7.9	13.5	0	0	0	0	1	1	13.7	219.5
MIA	WR	16	115	67	58.3	862	10	50	7.5	12.9	4	16	4	0	2	1	13.3	212.8
ATL	WR	14	124	80	64.5	921	7	39	7.4	11.5	0	0	0	0	3	1	15.2	212.1
NE	WR	16	119	74	62.2	953	7	56	8	12.9	2	13	6.5	0	1	1	13.2	210.6
WAS	WR	15	95	56	58.9	1169	6	81	12.3	20.9	4	7	1.8	0	0	0	14	209.6
CIN	WR	13	116	69	59.5	1041	6	81	9	15.1	2	2	1	0	3	2	15.8	205.3
PHI	WR	16	103	67	65	872	8	44	8.5	13	0	0	0	0	0	0	12.6	202.2
NYJ	WR	15	114	74	64.9	962	5	74	8.4	13	0	0	0	0	0	0	13.3	200.2
BUF	WR	16	128	65	50.8	982	6	84	7.7	15.1	2	8	4	0	1	1	12.4	198
BAL	WR	16	92	49	53.3	767	11	53	8.3	15.7	0	0	0	0	0	0	12	191.7
HOU	WR	15	146	85	58.2	936	3	35	6.4	11	0	0	0	0	3	3	12.7	190.6
NYG	WR	16	127	71	55.9	938	3	49	7.4	13.2	0	0	0	0	0	0	11.4	182.8
MIA	WR	16	112	84	75	758	5	25	6.8	9	2	-4	-2	0	7	4	11.3	181.4
LAC	WR	16	91	62	68.1	778	7	47	8.5	12.5	3	14	4.7	0	1	1	11.3	181.2
TB	WR	16	142	70	49.3	1002	2	50	7.1	14.3	0	0	0	0	1	1	11.3	180.2
CIN	WR	16	98	56	57.1	790	5	76	8.1	14.1	7	51	7.3	0	0	0	11.2	179.26
CHI	WR	13	106	61	57.5	721	8	47	6.8	11.8	0	0	0	0	1	1	13.8	179.1
NO	WR	16	99	59	59.6	902	5	57	9.1	15.3	0	0	0	0	1	1	11.1	177.2
LAC	WR	14	121	77	63.6	783	4	35	6.5	10.2	0	0	0	0	2	2	12.5	175.3
NO	WR	15	83	63	75.9	931	3	69	11.2	14.8	1	-2	-2	0	1	0	11.6	173.9
LAC	WR	16	92	52	56.5	856	6	59	9.3	16.5	0	0	0	0	0	0	10.8	173.6
LV	WR	16	111	73	65.8	666	6	42	6	9.1	0	0	0	0	2	1	10.8	173.6
MIN	WR	16	91	59	64.8	742	6	38	8.2	12.6	0	0	0	0	1	0	10.6	169.2
TEN	WR	14	93	57	61.3	715	6	48	7.7	12.5	4	54	13.5	0	1	1	12	167.9
SEA	WR	16	98	66	67.3	825	3	49	8.4	12.5	1	8	8	0	0	0	10.5	167.3
ARI	WR	16	99	47	47.5	841	6	63	8.5	17.9	1	2	2	0	3	1	10.3	165.3
BUF	WR	16	104	65	62.5	699	5	37	6.7	10.8	0	0	0	0	1	1	10.3	164.9
SF	WR	16	108	68	63	698	4	51	6.5	10.3	1	4	4	0	0	0	10.1	162.2
WAS	WR	16	105	68	64.8	752	3	70	7.2	11.1	0	0	0	0	0	0	10.1	161.2
CLE	WR	15	112	63	56.2	825	2	65	7.4	13.1	3	15	5	0	0	0	10.6	159
JAX	WR	16	97	51	52.6	677	6	63	7	13.3	0	0	0	0	0	0	9.7	154.7
IND	WR	15	116	64	55.2	779	2	80	6.7	12.2	0	0	0	0	1	1	10.1	151.9
ARI	WR	14	103	63	61.2	784	2	80	7.6	12.4	0	0	0	0	1	1	10.8	151.4
DAL	WR	16	65	37	56.9	621	8	51	9.6	16.8	0	0	0	0	0	0	9.2	147.1
ARI	WR	16	103	48	46.6	696	5	75	6.8	14.5	3	-6	-2	0	0	0	9.2	147
LAR	WR	16	84	48	57.1	748	3	63	8.9	15.6	2	14	7	0	0	0	8.9	142.2
LV	WR	16	99	47	47.5	693	4	77	7	14.7	0	0	0	0	0	0	8.8	140.3
NO	WR	10	69	53	76.8	550	3	50	8	10.4	7	73	10.4	1	1	0	13.9	139.3
KC	WR	15	95	60	63.2	754	0	37	7.9	12.6	0	0	0	0	2	0	9	135.4
PIT	WR	16	86	53	61.6	644	2	47	7.5	12.2	4	19	4.8	0	0	0	8.2	131.3
PIT	WR	10	48	26	54.2	549	8	94	11.4	21.1	3	12	4	0	0	0	13	130.1
