"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","R.Wilson","","34","0.370","0.846","0.846","64.7%","71.9","62.1","9.7","8.8"
"2","E.Manning","","35","0.375","0.596","0.578","68.6%","87.1","63.3","23.8","7.3"
"3","C.Newton","","29","0.334","0.534","0.534","55.2%","75.0","55.4","19.6","11.7"
"4","K.Cousins","","39","0.271","0.457","0.457","69.2%","77.4","65.0","12.4","7.4"
"5","D.Brees","","48","0.267","0.443","0.443","52.1%","75.6","63.3","12.3","6.9"
"6","T.Bridgewater","","42","0.235","0.431","0.431","52.4%","75.8","68.6","7.2","5.6"
"7","C.Palmer","","39","0.209","0.361","0.361","56.4%","71.4","65.3","6.1","9.1"
"8","R.Fitzpatrick","","40","0.125","0.300","0.300","47.5%","58.3","64.0","-5.7","7.6"
"9","J.Manziel","","39","0.176","0.290","0.290","56.4%","67.7","63.4","4.3","7.5"
"10","B.Roethlisberger","","43","0.215","0.283","0.283","55.8%","78.9","67.1","11.9","7.4"
"11","T.Taylor","","47","0.076","0.186","0.186","42.6%","51.4","58.2","-6.8","12.6"
"12","A.Smith","","34","0.130","0.166","0.166","44.1%","65.2","60.9","4.3","10.2"
"13","J.Winston","","38","0.081","0.160","0.160","55.3%","58.1","62.1","-4.1","9.1"
"14","A.Rodgers","","44","0.096","0.155","0.155","45.5%","66.7","67.8","-1.1","5.7"
"15","T.Brady","","36","0.115","0.110","0.110","52.8%","73.3","67.9","5.4","7.1"
"16","J.Cutler","","37","0.105","0.131","0.096","40.5%","61.3","59.0","2.3","12.1"
"17","B.Bortles","","39","0.050","0.153","0.031","43.6%","53.3","62.5","-9.2","9.2"
"18","R.Tannehill","","47","0.055","0.013","0.013","40.4%","61.0","60.0","1.0","11.5"
"19","P.Rivers","","50","0.013","-0.021","-0.021","30.0%","57.1","61.8","-4.7","9.2"
"20","B.Osweiler","","61","0.040","-0.049","-0.049","47.5%","68.6","67.1","1.5","5.9"
"21","A.McCarron","","39","0.104","0.034","-0.068","51.3%","71.0","62.3","8.6","9.0"
"22","S.Bradford","","43","0.026","-0.137","-0.137","34.9%","62.2","61.9","0.3","10.1"
"23","J.Clausen","","44","0.024","-0.150","-0.163","40.9%","57.5","57.5","0.0","9.6"
"24","C.Keenum","","26","0.023","-0.188","-0.188","34.6%","63.6","64.1","-0.4","9.0"
"25","M.Ryan","","39","0.029","-0.217","-0.217","41.0%","64.7","64.2","0.5","6.4"
"26","D.Carr","","33","-0.063","-0.229","-0.229","27.3%","41.4","57.6","-16.2","10.4"
"27","M.Mariota","","49","-0.001","-0.245","-0.245","34.7%","53.8","59.1","-5.2","10.5"
"28","M.Stafford","","52","-0.008","-0.168","-0.259","40.4%","66.7","72.6","-6.0","3.8"
"29","M.Hasselbeck","","41","-0.043","-0.125","-0.264","31.7%","51.4","63.6","-12.2","8.0"
"30","B.Gabbert","","42","0.041","-0.295","-0.295","40.5%","64.3","62.3","2.0","8.0"
"31","M.Cassel","","35","-0.031","-0.522","-0.554","22.9%","46.4","59.7","-13.3","9.1"
"32","B.Hoyer","","29","0.006","-0.604","-0.674","31.0%","50.0","57.2","-7.2","12.9"
