"","Player","Team","Plays","EPA+CPOE composite","Adj. EPA/play","EPA/play","Success rate","Cmp%","Expected cmp%","CPOE","Air yards"
"1","T.Taylor","","34","0.353","0.702","0.702","58.8%","72.4","58.2","14.2","10.7"
"2","T.Brady","","50","0.278","0.524","0.524","62.0%","80.5","70.4","10.1","4.7"
"3","E.Manning","","35","0.246","0.470","0.470","51.4%","71.9","64.8","7.1","7.8"
"4","C.Newton","","42","0.218","0.407","0.407","52.4%","64.5","59.1","5.4","10.8"
"5","D.Carr","","36","0.172","0.382","0.382","50.0%","62.5","64.2","-1.7","7.4"
"6","A.Rodgers","","46","0.202","0.377","0.377","60.9%","68.6","64.5","4.1","8.0"
"7","M.Ryan","","42","0.184","0.374","0.374","64.3%","68.6","67.7","0.9","7.1"
"8","C.Palmer","","37","0.199","0.330","0.330","51.4%","64.5","58.5","6.0","12.1"
"9","L.McCown","","44","0.243","0.319","0.319","56.8%","81.6","67.0","14.6","7.1"
"10","A.Dalton","","43","0.220","0.411","0.305","55.8%","62.5","57.0","5.5","11.0"
"11","B.Roethlisberger","","31","0.234","0.303","0.303","64.5%","83.3","69.3","14.0","6.5"
"12","P.Manning","","44","0.148","0.213","0.198","50.0%","73.8","69.3","4.5","6.2"
"13","J.McCown","","58","0.106","0.181","0.181","43.1%","57.1","58.2","-1.0","11.1"
"14","B.Bortles","","40","0.081","0.177","0.177","42.5%","51.5","56.8","-5.3","11.8"
"15","B.Weeden","","31","0.177","0.171","0.149","61.3%","84.6","72.0","12.6","5.2"
"16","R.Wilson","","38","0.176","0.129","0.129","44.7%","76.9","61.6","15.3","7.0"
"17","R.Mallett","","42","0.073","0.136","0.127","50.0%","61.5","65.5","-3.9","8.4"
"18","J.Flacco","","55","0.084","0.142","0.125","47.3%","66.7","68.9","-2.2","6.0"
"19","K.Cousins","","55","0.081","0.098","0.089","45.5%","61.2","61.1","0.1","9.6"
"20","M.Mariota","","50","0.102","0.116","0.011","48.0%","62.8","60.0","2.8","9.9"
"21","A.Smith","","57","-0.007","0.002","-0.004","36.8%","60.0","69.5","-9.5","6.3"
"22","T.Bridgewater","","25","0.006","-0.042","-0.042","40.0%","54.2","59.1","-4.9","8.2"
"23","S.Bradford","","31","-0.046","-0.057","-0.057","41.9%","50.0","63.7","-13.7","5.9"
"24","J.Winston","","40","-0.016","-0.061","-0.061","37.5%","48.6","56.9","-8.3","12.7"
"25","M.Stafford","","53","0.025","-0.090","-0.123","50.9%","68.9","69.0","-0.1","4.8"
"26","N.Foles","","32","0.025","-0.125","-0.125","40.6%","67.9","67.6","0.2","7.5"
"27","R.Fitzpatrick","","64","0.014","-0.151","-0.160","40.6%","60.3","62.1","-1.8","8.7"
"28","A.Luck","","39","0.033","-0.064","-0.178","43.6%","60.0","59.3","0.7","9.9"
"29","R.Tannehill","","53","-0.003","-0.236","-0.319","41.5%","53.1","58.5","-5.4","8.8"
"30","P.Rivers","","39","0.028","-0.180","-0.336","38.5%","61.8","61.2","0.6","7.6"
"31","J.Clausen","","22","-0.018","-0.436","-0.436","22.7%","52.9","63.0","-10.1","7.9"
"32","C.Kaepernick","","28","-0.061","-0.502","-0.647","46.4%","47.4","65.7","-18.4","7.3"
